m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,10.9,14.7,12.7,80.0,11.0,0.09
1,1,10.4,14.2,12.5,82.5,10.1,0.11
1,2,10.0,14.0,11.9,83.5,10.1,0.1
1,3,9.3,13.4,11.6,84.0,9.3,0.12
1,4,9.0,13.6,11.5,82.5,10.1,0.12
1,5,9.6,13.6,11.4,83.0,9.3,0.1
1,6,10.2,14.1,12.3,80.5,10.1,0.1
1,7,12.0,16.0,14.0,76.0,13.0,0.1
1,8,14.0,17.0,15.5,70.5,14.8,0.13
1,9,15.2,18.8,16.9,65.5,16.7,0.17
1,10,16.0,19.5,17.5,63.5,18.5,0.2
1,11,16.0,20.0,18.0,60.5,17.7,0.19
1,12,16.7,20.5,18.8,59.5,19.5,0.19
1,13,17.0,20.0,18.3,60.0,18.6,0.11
1,14,16.0,19.2,17.8,61.5,17.7,0.09
1,15,15.4,18.6,17.0,64.5,17.7,0.05
1,16,14.0,18.0,16.2,65.5,14.9,0.07
1,17,14.0,17.3,15.5,69.5,13.9,0.09
1,18,13.3,16.0,14.6,72.0,13.1,0.07
1,19,13.0,15.8,14.3,74.5,11.2,0.09
1,20,12.0,15.3,14.0,76.5,11.9,0.12
1,21,11.6,15.1,13.6,77.5,11.1,0.09
1,22,11.6,15.0,13.5,77.5,11.1,0.09
1,23,11.0,15.0,13.2,78.0,10.2,0.13
2,0,11.0,14.2,12.6,77.5,8.3,0.07
2,1,11.0,14.0,12.3,79.0,9.3,0.09
2,2,10.0,13.8,11.9,80.0,9.3,0.09
2,3,9.8,13.5,11.5,80.0,9.2,0.1
2,4,10.0,13.6,11.6,80.5,8.3,0.06
2,5,10.0,14.0,12.0,80.5,9.2,0.06
2,6,11.0,14.2,12.5,77.0,9.3,0.1
2,7,13.0,15.5,14.1,70.5,11.0,0.1
2,8,14.0,17.0,16.0,65.0,13.9,0.15
2,9,15.4,18.4,17.0,61.5,14.9,0.15
2,10,16.0,19.0,17.7,59.0,14.9,0.13
2,11,17.0,20.0,18.3,56.5,15.8,0.17
2,12,16.7,20.4,18.5,55.5,17.6,0.08
2,13,16.9,20.0,18.0,56.5,17.7,0.07
2,14,16.0,19.0,17.7,57.5,16.8,0.05
2,15,15.7,18.2,16.9,60.5,15.8,0.05
2,16,15.0,17.4,16.1,63.5,14.8,0.05
2,17,14.3,17.0,15.6,65.5,14.0,0.05
2,18,13.8,15.8,14.9,69.0,13.1,0.02
2,19,13.1,15.1,14.5,70.5,12.0,0.05
2,20,13.0,15.0,14.0,72.5,12.0,0.05
2,21,12.4,14.7,13.7,73.5,11.1,0.06
2,22,12.0,14.8,13.5,75.5,9.3,0.03
2,23,11.7,14.1,13.0,77.0,10.2,0.06
3,0,13.0,15.8,14.3,75.0,12.0,0.06
3,1,12.4,15.8,14.0,76.5,11.0,0.0
3,2,12.0,15.0,13.6,77.5,11.0,0.03
3,3,11.5,15.2,13.2,77.0,11.0,0.02
3,4,11.5,15.2,13.5,77.5,11.2,0.05
3,5,12.0,16.0,13.8,77.0,11.1,0.03
3,6,13.2,16.5,14.7,73.0,12.1,0.06
3,7,16.0,18.0,17.0,65.5,13.9,0.08
3,8,17.0,19.2,18.0,60.5,15.0,0.09
3,9,17.8,20.9,19.3,56.5,15.9,0.08
3,10,18.0,22.0,20.0,53.0,16.7,0.08
3,11,18.3,22.0,20.5,52.5,18.6,0.1
3,12,18.5,22.9,20.9,52.5,18.6,0.06
3,13,18.0,22.2,20.5,52.5,19.5,0.03
3,14,18.0,21.7,20.2,53.5,19.5,0.03
