m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,10.9,15.3,19.4,13.8,6.0,0.55,21.0
1,2,10.7,14.8,19.0,13.8,5.0,0.48,21.0
1,3,10.4,14.5,19.0,13.6,5.0,0.5,16.0
2,1,10.4,14.8,18.9,14.9,5.0,0.52,5.0
2,2,10.6,14.4,18.8,11.5,5.0,0.48,4.0
2,3,11.0,15.2,20.3,12.1,2.0,0.27,1.0
3,1,12.5,16.7,21.8,12.9,3.0,0.26,2.0
3,2,11.9,16.5,20.2,15.6,6.0,0.57,10.0
3,3,13.4,17.4,22.3,15.4,5.0,0.42,9.0
4,1,14.6,18.9,23.7,14.1,2.0,0.17,4.0
4,2,14.9,19.5,24.8,14.3,2.0,0.15,4.0
4,3,16.0,20.7,25.2,15.1,1.0,0.1,0.0
5,1,16.9,21.9,27.1,14.6,1.0,0.1,0.0
5,2,18.4,23.8,29.2,13.3,1.0,0.05,0.0
5,3,19.9,24.5,28.7,14.1,0.0,0.03,0.0
6,1,21.3,25.4,30.1,14.8,0.0,0.03,0.0
6,2,21.7,26.0,29.9,14.0,1.0,0.07,0.0
6,3,23.4,27.2,30.9,15.6,0.0,0.0,0.0
7,1,24.3,27.6,31.3,16.5,0.0,0.0,0.0
7,2,24.7,28.2,32.1,16.0,0.0,0.0,0.0
7,3,25.2,28.5,32.2,15.6,0.0,0.0,0.0
8,1,25.2,28.9,32.4,14.3,0.0,0.0,0.0
8,2,25.6,28.7,31.9,15.3,0.0,0.0,0.0
8,3,24.6,28.3,31.9,14.0,0.0,0.0,0.0
9,1,25.1,28.3,31.8,15.2,1.0,0.08,0.0
9,2,24.1,27.6,30.8,14.4,0.0,0.03,0.0
9,3,23.4,27.0,30.5,14.0,0.0,0.0,0.0
10,1,21.8,25.2,29.4,13.4,1.0,0.07,0.0
10,2,20.8,24.7,28.9,12.4,3.0,0.26,1.0
10,3,20.0,23.4,27.1,12.5,3.0,0.28,2.0
11,1,17.9,22.4,26.4,10.8,4.0,0.43,2.0
11,2,17.0,21.7,24.9,11.6,5.0,0.54,11.0
11,3,14.8,19.0,24.0,9.2,3.0,0.28,11.0
12,1,14.0,17.8,22.1,10.3,4.0,0.35,1.0
12,2,12.4,16.7,21.1,12.1,4.0,0.37,6.0
12,3,11.6,15.6,19.8,11.5,8.0,0.69,34.0
