m,coco,coco_pct
8,1.0,0.77
4,27.0,0.002
10,18.0,0.001
5,9.0,0.0
5,8.0,0.0
9,17.0,0.0
9,25.0,0.0
6,8.0,0.0
2,25.0,0.001
4,25.0,0.0
6,9.0,0.0
7,2.0,0.137
12,4.0,0.0
11,25.0,0.001
11,4.0,0.0
5,7.0,0.0
6,2.0,0.146
3,4.0,0.0
9,2.0,0.252
1,8.0,0.0
10,4.0,0.0
12,2.0,0.419
5,27.0,0.0
2,1.0,0.304
7,18.0,0.0
6,27.0,0.0
9,3.0,0.008
10,17.0,0.0
10,7.0,0.004
2,17.0,0.001
7,7.0,0.0
12,3.0,0.059
7,9.0,0.0
12,5.0,0.194
7,3.0,0.001
1,1.0,0.286
3,18.0,0.001
12,8.0,0.002
3,25.0,0.001
9,1.0,0.686
2,2.0,0.42
2,8.0,0.005
8,2.0,0.181
5,18.0,0.0
10,8.0,0.002
12,17.0,0.0
9,27.0,0.0
6,18.0,0.0
6,7.0,0.0
11,3.0,0.049
9,4.0,0.0
3,8.0,0.005
12,27.0,0.0
11,1.0,0.364
6,3.0,0.009
2,18.0,0.0
4,9.0,0.0
8,7.0,0.0
11,9.0,0.0
7,8.0,0.0
8,9.0,0.0
8,4.0,0.0
8,27.0,0.0
1,3.0,0.071
11,18.0,0.0
12,1.0,0.318
7,4.0,0.0
4,17.0,0.0
4,4.0,0.0
5,3.0,0.01
1,9.0,0.0
2,3.0,0.093
10,5.0,0.101
2,9.0,0.0
8,5.0,0.046
11,8.0,0.0
1,7.0,0.002
2,7.0,0.013
9,18.0,0.0
1,5.0,0.213
12,25.0,0.0
10,9.0,0.0
6,1.0,0.823
3,9.0,0.001
5,1.0,0.751
2,27.0,0.0
7,27.0,0.0
3,1.0,0.45
6,5.0,0.022
7,5.0,0.063
3,17.0,0.001
3,2.0,0.394
9,8.0,0.0
4,1.0,0.644
4,3.0,0.029
4,5.0,0.052
5,5.0,0.032
1,2.0,0.429
10,1.0,0.548
12,18.0,0.0
5,4.0,0.0
4,8.0,0.0
1,4.0,0.0
6,17.0,0.0
11,27.0,0.0
1,18.0,0.0
7,1.0,0.8
3,7.0,0.015
3,5.0,0.065
4,18.0,0.0
5,25.0,0.0
4,7.0,0.004
5,2.0,0.207
8,17.0,0.0
1,17.0,0.0
7,17.0,0.0
9,9.0,0.0
2,5.0,0.163
12,9.0,0.0
8,8.0,0.0
12,7.0,0.008
7,25.0,0.0
11,5.0,0.201
10,2.0,0.321
11,7.0,0.004
6,4.0,0.0
5,17.0,0.0
4,2.0,0.269
3,3.0,0.068
9,5.0,0.055
9,7.0,0.0
10,25.0,0.0
1,27.0,0.001
11,17.0,0.001
1,25.0,0.0
8,18.0,0.0
2,4.0,0.0
6,25.0,0.0
8,3.0,0.002
10,27.0,0.0
10,3.0,0.023
8,25.0,0.0
3,27.0,0.0
11,2.0,0.381
