m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,11.7,15.5,19.1,12.1,2.0,0.17,0.0
1,2,11.4,14.9,19.0,13.4,0.0,0.03,0.0
1,3,11.0,14.9,19.0,11.6,2.0,0.18,0.0
2,1,11.5,15.5,19.5,12.6,1.0,0.07,0.0
2,2,10.5,14.9,19.0,12.0,1.0,0.13,0.0
2,3,12.2,16.3,20.6,12.4,0.0,0.0,0.0
3,1,13.5,18.1,23.1,13.8,1.0,0.1,0.0
3,2,13.5,17.9,22.1,16.4,2.0,0.15,1.0
3,3,14.8,19.7,25.0,16.9,2.0,0.18,3.0
4,1,16.1,21.8,27.9,14.7,1.0,0.1,0.0
4,2,16.4,21.8,28.0,15.9,2.0,0.15,1.0
4,3,17.3,22.9,29.7,16.6,0.0,0.0,0.0
5,1,19.5,25.0,31.2,14.9,0.0,0.0,0.0
5,2,20.2,26.1,32.8,15.7,0.0,0.0,0.0
5,3,22.1,28.1,34.0,15.8,0.0,0.0,0.0
6,1,22.9,28.5,34.4,16.1,0.0,0.0,0.0
6,2,23.7,29.1,34.5,15.2,0.0,0.0,0.0
6,3,24.2,29.5,35.1,14.3,0.0,0.0,0.0
7,1,25.0,29.8,35.0,13.2,0.0,0.0,0.0
7,2,25.5,30.3,35.6,14.1,0.0,0.0,0.0
7,3,25.5,30.5,36.0,12.7,0.0,0.0,0.0
8,1,26.4,30.8,36.0,12.0,0.0,0.0,0.0
8,2,25.5,30.1,35.0,13.2,0.0,0.0,0.0
8,3,25.5,30.0,35.0,13.8,0.0,0.0,0.0
9,1,25.5,29.6,34.5,14.1,0.0,0.0,0.0
9,2,24.2,28.3,33.5,14.0,0.0,0.03,0.0
9,3,23.5,28.1,33.6,14.6,0.0,0.0,0.0
10,1,22.2,26.3,31.0,14.5,1.0,0.1,0.0
10,2,21.5,25.8,30.5,12.7,0.0,0.0,0.0
10,3,20.0,24.2,28.7,13.2,1.0,0.12,0.0
11,1,19.0,22.8,27.1,11.4,1.0,0.07,0.0
11,2,17.5,21.2,24.8,10.5,2.0,0.17,0.0
11,3,16.0,19.3,23.7,10.1,1.0,0.1,0.0
12,1,14.8,18.4,22.3,10.4,0.0,0.0,0.0
12,2,13.9,17.5,21.5,12.3,1.0,0.08,0.0
12,3,12.0,15.7,19.8,12.6,3.0,0.24,0.0
