m,m3,coco,coco_pct
11,3,17.0,0.0
12,1,27.0,0.0
12,1,2.0,0.414
8,3,18.0,0.0
1,2,4.0,0.0
4,2,3.0,0.033
5,2,4.0,0.0
1,2,3.0,0.075
6,2,4.0,0.0
4,1,1.0,0.593
2,1,2.0,0.37
8,2,7.0,0.0
6,2,2.0,0.169
12,2,3.0,0.044
6,2,25.0,0.0
8,2,2.0,0.226
11,2,18.0,0.0
5,1,5.0,0.048
11,3,3.0,0.061
6,3,9.0,0.0
9,1,1.0,0.683
10,1,27.0,0.0
10,2,1.0,0.587
2,3,27.0,0.0
4,2,9.0,0.0
3,1,2.0,0.324
12,1,18.0,0.001
7,3,18.0,0.0
4,2,17.0,0.0
8,3,5.0,0.051
4,2,4.0,0.0
10,3,5.0,0.157
12,2,7.0,0.007
12,2,8.0,0.001
4,2,8.0,0.0
2,3,18.0,0.0
2,3,5.0,0.122
7,2,9.0,0.0
11,2,5.0,0.215
3,1,1.0,0.553
8,1,7.0,0.0
2,2,2.0,0.455
12,1,9.0,0.0
8,2,5.0,0.039
12,3,4.0,0.0
4,3,27.0,0.0
3,1,7.0,0.007
1,1,5.0,0.333
10,3,7.0,0.012
8,2,27.0,0.0
9,2,7.0,0.0
3,3,5.0,0.061
12,3,1.0,0.266
7,3,5.0,0.072
2,1,4.0,0.0
4,2,25.0,0.0
8,1,8.0,0.0
5,3,27.0,0.0
3,2,3.0,0.093
8,1,9.0,0.0
6,2,1.0,0.815
5,1,4.0,0.001
12,1,5.0,0.175
2,2,1.0,0.234
2,2,5.0,0.176
5,1,27.0,0.0
2,3,3.0,0.083
11,3,1.0,0.372
10,2,7.0,0.0
10,3,1.0,0.441
8,2,1.0,0.733
2,3,4.0,0.0
12,1,8.0,0.0
6,1,25.0,0.0
9,2,3.0,0.01
10,1,18.0,0.0
12,1,3.0,0.033
7,2,5.0,0.061
1,1,2.0,0.379
2,3,2.0,0.436
9,3,8.0,0.0
12,3,3.0,0.096
6,1,5.0,0.024
11,2,17.0,0.002
9,1,9.0,0.0
11,2,1.0,0.31
11,2,27.0,0.0
8,2,18.0,0.0
6,3,7.0,0.0
1,1,1.0,0.23
2,2,27.0,0.0
9,2,18.0,0.0
5,3,1.0,0.814
2,2,4.0,0.0
9,1,8.0,0.0
5,1,2.0,0.26
11,3,25.0,0.002
10,1,17.0,0.0
11,1,9.0,0.0
5,1,9.0,0.0
7,2,3.0,0.001
8,2,17.0,0.0
7,1,9.0,0.0
7,1,3.0,0.002
7,1,7.0,0.0
6,3,8.0,0.0
11,1,1.0,0.41
10,2,17.0,0.0
6,1,9.0,0.0
1,2,18.0,0.001
4,1,17.0,0.0
9,1,25.0,0.0
3,3,4.0,0.001
11,3,2.0,0.352
2,1,3.0,0.082
4,3,25.0,0.001
4,2,1.0,0.647
7,2,25.0,0.0
4,3,9.0,0.0
1,1,3.0,0.057
10,3,9.0,0.0
1,3,9.0,0.0
3,3,3.0,0.074
7,3,8.0,0.0
12,3,2.0,0.405
12,1,17.0,0.0
1,1,4.0,0.0
9,2,4.0,0.0
10,1,1.0,0.627
4,2,5.0,0.065
7,3,7.0,0.0
2,2,7.0,0.012
6,1,2.0,0.146
3,2,8.0,0.012
2,1,18.0,0.001
12,3,17.0,0.0
4,1,18.0,0.0
8,3,1.0,0.745
12,3,9.0,0.0
3,2,18.0,0.001
11,3,7.0,0.006
7,3,3.0,0.0
11,3,5.0,0.207
4,3,2.0,0.258
1,3,25.0,0.0
8,1,17.0,0.0
11,1,3.0,0.039
9,1,2.0,0.268
1,3,5.0,0.159
11,1,8.0,0.0
10,3,17.0,0.0
10,1,5.0,0.05
8,3,7.0,0.0
9,3,4.0,0.0
2,1,17.0,0.001
1,1,17.0,0.001
1,2,27.0,0.002
7,2,1.0,0.814
2,3,7.0,0.017
2,3,17.0,0.001
1,3,18.0,0.0
8,3,17.0,0.0
9,3,3.0,0.004
5,2,9.0,0.0
2,2,9.0,0.0
4,1,5.0,0.051
2,1,7.0,0.009
8,2,8.0,0.0
10,3,3.0,0.033
4,1,8.0,0.0
12,2,27.0,0.0
6,1,18.0,0.0
5,1,3.0,0.011
9,1,3.0,0.01
1,3,1.0,0.336
3,1,27.0,0.0
1,3,17.0,0.0
12,2,5.0,0.188
8,1,25.0,0.0
9,2,9.0,0.0
12,2,18.0,0.0
5,1,8.0,0.0
9,1,7.0,0.0
10,3,27.0,0.0
1,2,8.0,0.0
11,2,25.0,0.001
3,1,18.0,0.0
6,1,8.0,0.0
4,3,3.0,0.008
9,3,9.0,0.0
10,1,7.0,0.0
4,3,18.0,0.0
9,3,7.0,0.0
10,2,27.0,0.0
6,3,3.0,0.001
7,1,4.0,0.0
10,1,2.0,0.299
5,3,2.0,0.153
7,1,5.0,0.054
4,3,7.0,0.002
12,1,25.0,0.0
5,3,8.0,0.0
1,2,7.0,0.004
8,2,9.0,0.0
7,1,18.0,0.0
9,2,25.0,0.0
12,3,27.0,0.0
12,1,4.0,0.0
1,3,27.0,0.0
5,2,17.0,0.0
5,3,3.0,0.011
9,3,5.0,0.072
1,1,8.0,0.001
5,1,17.0,0.0
1,2,5.0,0.151
9,3,17.0,0.0
8,1,18.0,0.0
9,2,17.0,0.0
8,3,3.0,0.004
11,1,2.0,0.369
3,3,27.0,0.0
3,1,9.0,0.0
1,2,25.0,0.0
7,1,17.0,0.0
4,3,5.0,0.04
8,2,3.0,0.002
7,3,17.0,0.0
10,1,25.0,0.0
11,1,7.0,0.001
3,1,25.0,0.002
10,2,8.0,0.0
2,3,9.0,0.0
3,1,8.0,0.001
11,1,18.0,0.0
8,3,4.0,0.0
2,2,17.0,0.002
11,3,8.0,0.0
2,2,25.0,0.0
5,1,25.0,0.0
7,3,9.0,0.0
9,2,27.0,0.0
6,3,27.0,0.0
9,1,27.0,0.0
5,2,27.0,0.0
11,3,18.0,0.001
3,2,7.0,0.013
7,3,2.0,0.145
3,2,1.0,0.426
6,1,7.0,0.0
7,3,4.0,0.0
1,3,7.0,0.001
5,2,5.0,0.027
6,2,5.0,0.011
2,3,1.0,0.338
10,3,4.0,0.0
2,2,8.0,0.006
3,2,25.0,0.0
4,1,9.0,0.0
9,2,8.0,0.0
10,2,2.0,0.314
9,1,5.0,0.039
3,3,1.0,0.378
3,2,17.0,0.002
4,2,7.0,0.01
7,2,7.0,0.0
3,3,9.0,0.0
3,2,9.0,0.002
11,3,27.0,0.0
11,2,2.0,0.422
12,2,25.0,0.0
10,2,9.0,0.0
9,1,4.0,0.0
8,3,9.0,0.0
6,1,27.0,0.0
5,2,2.0,0.214
1,2,1.0,0.286
7,2,18.0,0.0
6,1,1.0,0.807
7,2,8.0,0.0
2,3,25.0,0.001
4,3,8.0,0.0
2,1,9.0,0.0
11,2,7.0,0.005
11,1,17.0,0.0
11,1,25.0,0.001
8,1,2.0,0.116
3,1,4.0,0.0
3,3,17.0,0.001
1,3,4.0,0.0
6,3,1.0,0.846
12,2,9.0,0.0
3,2,27.0,0.001
11,3,9.0,0.0
3,2,2.0,0.393
1,2,9.0,0.0
5,2,25.0,0.0
3,3,18.0,0.001
5,1,7.0,0.0
4,2,18.0,0.001
6,3,17.0,0.0
6,2,17.0,0.0
6,2,18.0,0.0
1,1,18.0,0.0
4,1,27.0,0.006
7,3,25.0,0.0
11,1,4.0,0.0
12,2,2.0,0.439
4,2,27.0,0.0
6,1,17.0,0.0
7,3,1.0,0.783
5,3,7.0,0.0
1,1,9.0,0.0
9,3,2.0,0.213
9,2,2.0,0.274
1,1,7.0,0.001
12,3,5.0,0.218
6,3,5.0,0.03
12,2,1.0,0.322
5,2,7.0,0.0
2,1,5.0,0.188
7,2,27.0,0.0
9,1,18.0,0.0
6,3,2.0,0.123
7,1,1.0,0.804
6,3,25.0,0.0
6,1,3.0,0.023
4,1,25.0,0.0
1,3,3.0,0.078
11,1,5.0,0.181
3,2,5.0,0.057
8,3,2.0,0.2
8,3,27.0,0.0
12,3,25.0,0.0
6,3,18.0,0.0
2,1,27.0,0.0
10,2,18.0,0.0
7,1,27.0,0.0
5,3,17.0,0.0
1,1,27.0,0.0
3,2,4.0,0.0
10,1,4.0,0.0
10,3,8.0,0.007
12,3,7.0,0.011
1,2,2.0,0.482
5,1,18.0,0.0
10,2,25.0,0.0
3,1,17.0,0.0
2,2,18.0,0.0
4,1,4.0,0.0
2,1,25.0,0.002
10,1,3.0,0.024
5,2,8.0,0.0
4,3,1.0,0.692
6,2,7.0,0.0
8,1,5.0,0.048
5,3,25.0,0.0
8,1,27.0,0.0
8,2,25.0,0.0
10,3,25.0,0.001
11,3,4.0,0.0
5,1,1.0,0.68
3,3,25.0,0.0
9,2,1.0,0.663
1,3,2.0,0.426
8,1,3.0,0.0
4,2,2.0,0.245
5,3,9.0,0.0
3,3,2.0,0.457
10,3,2.0,0.348
6,3,4.0,0.0
8,3,8.0,0.0
11,2,8.0,0.0
5,3,4.0,0.0
2,3,8.0,0.003
9,3,18.0,0.0
7,2,2.0,0.124
10,2,5.0,0.089
11,1,27.0,0.0
4,3,17.0,0.0
11,2,4.0,0.0
6,2,3.0,0.005
4,1,2.0,0.306
10,2,4.0,0.0
11,2,9.0,0.0
7,1,2.0,0.141
5,3,5.0,0.022
12,3,18.0,0.001
12,2,17.0,0.0
10,1,9.0,0.0
10,3,18.0,0.002
5,2,3.0,0.006
5,2,1.0,0.753
9,3,25.0,0.0
12,1,7.0,0.006
7,1,25.0,0.0
6,1,4.0,0.0
10,1,8.0,0.0
3,3,8.0,0.003
1,3,8.0,0.0
6,2,9.0,0.0
11,2,3.0,0.046
7,2,17.0,0.0
9,3,1.0,0.712
8,2,4.0,0.0
7,2,4.0,0.0
1,2,17.0,0.0
7,3,27.0,0.0
4,1,7.0,0.0
8,1,1.0,0.836
12,2,4.0,0.0
9,1,17.0,0.0
6,2,8.0,0.0
12,1,1.0,0.372
5,3,18.0,0.0
