m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,11.5,15.5,19.1,0.0,7.0,0.0
1,1,2,11.9,15.7,19.0,0.0,11.6,0.0
1,1,3,11.5,15.0,19.0,0.0,13.8,0.33
1,1,4,11.9,15.5,19.5,0.0,8.6,0.33
1,1,5,10.5,15.5,19.0,0.0,9.4,0.0
1,1,6,12.4,15.6,19.5,0.0,19.3,0.0
1,1,7,12.3,15.4,19.1,0.0,12.9,0.0
1,1,8,11.8,14.9,19.7,0.0,16.9,0.33
1,1,9,11.3,14.3,18.0,0.0,12.9,0.33
1,1,10,10.5,14.3,18.5,0.0,10.1,0.33
1,2,11,11.0,14.8,18.5,0.0,10.2,0.0
1,2,12,13.3,15.9,20.5,0.0,11.0,0.0
1,2,13,11.8,15.7,20.5,0.0,14.8,0.0
1,2,14,12.0,15.0,18.5,0.0,14.4,0.33
1,2,15,12.4,14.9,18.0,0.0,17.3,0.0
1,2,16,11.7,14.9,19.0,0.0,19.4,0.0
1,2,17,11.0,14.2,18.2,0.0,14.4,0.0
1,2,18,10.4,14.9,19.5,0.0,11.6,0.0
1,2,19,11.0,14.8,19.0,0.0,12.3,0.0
1,2,20,10.5,14.8,19.0,0.0,10.8,0.0
1,3,21,11.0,15.2,20.0,0.0,8.8,0.33
1,3,22,11.5,14.9,18.7,0.0,11.0,0.33
1,3,23,10.5,14.8,18.6,0.0,11.8,0.0
1,3,24,12.0,15.4,18.5,0.0,13.0,0.0
1,3,25,10.0,14.3,19.0,0.0,10.4,0.33
1,3,26,10.3,14.3,19.5,0.0,16.1,0.33
1,3,27,10.0,15.1,21.8,0.0,15.5,0.0
1,3,28,11.0,14.4,18.0,0.0,11.1,0.0
1,3,29,11.4,14.9,18.5,0.3,10.6,0.5
1,3,30,11.2,15.2,19.0,0.0,15.9,0.0
1,3,31,11.2,14.7,18.2,0.4,16.8,0.5
2,1,1,10.5,15.5,20.0,0.0,12.7,0.0
2,1,2,10.5,14.9,19.3,0.1,11.6,0.5
2,1,3,11.7,15.4,20.5,0.0,15.1,0.0
2,1,4,11.5,16.5,23.0,0.0,11.6,0.0
2,1,5,12.8,18.1,22.6,0.0,13.2,0.0
2,1,6,13.5,16.2,20.0,0.0,15.5,0.0
2,1,7,12.0,16.4,21.1,0.0,14.4,0.0
2,1,8,12.2,17.2,22.0,0.0,12.6,0.0
2,1,9,13.6,16.1,19.8,0.0,12.0,0.0
2,1,10,10.9,15.1,20.0,0.0,11.4,0.0
2,2,11,10.5,15.2,21.0,0.8,14.2,0.5
2,2,12,11.6,16.2,21.5,0.0,12.8,0.0
2,2,13,11.0,16.1,21.1,0.0,13.4,0.0
2,2,14,11.0,15.0,19.1,0.8,13.1,0.5
2,2,15,11.9,14.4,19.0,0.0,12.1,0.0
2,2,16,11.0,15.2,18.4,0.0,14.6,0.0
2,2,17,10.9,14.8,18.4,0.0,14.9,0.0
2,2,18,10.5,14.8,18.5,0.0,12.1,0.0
2,2,19,11.5,14.5,18.0,0.0,10.2,0.0
2,2,20,10.5,15.1,18.9,0.0,10.1,0.0
2,3,21,12.0,16.1,20.5,0.0,10.8,0.0
2,3,22,12.1,16.6,21.5,0.0,10.5,0.0
2,3,23,12.9,17.0,21.0,0.0,9.9,0.0
2,3,24,11.5,16.5,20.2,0.0,10.8,0.0
2,3,25,12.7,17.4,22.2,0.0,12.7,0.0
2,3,26,12.5,17.8,23.5,0.0,15.9,0.0
2,3,27,13.5,17.5,23.0,0.0,12.4,0.0
2,3,28,13.4,17.9,23.5,0.0,11.7,0.0
2,3,29,13.5,18.5,24.5,0.0,15.7,0.0
3,1,1,13.8,19.0,24.5,0.0,12.8,0.0
3,1,2,14.0,18.4,24.7,0.0,14.0,0.0
3,1,3,13.0,18.3,22.1,0.0,17.1,0.0
3,1,4,13.0,18.6,24.7,0.0,12.1,0.0
3,1,5,14.8,20.2,26.3,0.0,13.1,0.0
3,1,6,13.3,19.5,24.0,0.0,16.5,0.0
3,1,7,14.4,17.5,21.6,0.0,12.8,0.0
3,1,8,13.5,18.1,23.2,0.0,16.6,0.0
3,1,9,13.9,19.1,26.5,0.0,15.2,0.0
3,1,10,15.8,19.9,25.0,0.0,17.0,0.0
3,2,11,14.5,18.6,23.6,0.0,14.5,0.0
3,2,12,13.5,17.6,21.5,0.0,17.1,0.0
3,2,13,14.0,18.4,22.6,0.0,17.4,0.0
3,2,14,13.5,17.6,21.5,0.2,16.0,0.5
3,2,15,14.9,18.7,23.0,0.0,14.6,0.0
3,2,16,14.4,18.4,22.4,0.0,14.4,0.0
3,2,17,13.8,17.5,21.8,0.0,17.3,0.0
3,2,18,12.8,16.7,22.0,0.6,13.2,0.5
3,2,19,13.0,16.6,22.0,0.0,18.3,0.0
3,2,20,13.5,17.9,23.1,0.1,16.7,0.5
3,3,21,13.0,19.3,24.7,0.0,16.2,0.0
3,3,22,14.5,21.6,28.0,0.0,11.1,0.0
3,3,23,15.5,21.0,26.8,0.0,17.0,0.0
3,3,24,15.5,17.8,21.5,1.4,17.5,1.0
3,3,25,13.3,17.7,21.5,1.4,16.3,0.5
3,3,26,13.9,18.5,25.0,0.0,17.0,0.0
3,3,27,14.6,19.7,26.5,0.0,14.4,0.0
3,3,28,15.5,21.2,26.6,0.0,14.8,0.0
3,3,29,15.0,19.8,24.1,0.2,17.0,0.5
3,3,30,14.8,19.1,24.0,0.0,16.9,0.0
3,3,31,15.0,20.2,25.2,0.0,17.8,0.0
4,1,1,14.3,19.7,26.6,0.0,13.8,0.0
4,1,2,16.9,21.4,26.1,0.0,13.4,0.0
4,1,3,16.0,21.5,27.3,0.0,14.1,0.0
4,1,4,16.0,22.8,29.5,0.0,20.8,0.0
4,1,5,16.5,22.8,28.5,0.0,16.4,0.0
4,1,6,16.0,22.2,29.6,0.0,12.9,0.0
4,1,7,19.5,23.4,29.7,0.0,15.9,0.0
4,1,8,17.0,22.1,29.5,0.1,14.6,0.5
4,1,9,16.2,20.0,25.5,0.1,15.5,0.5
4,1,10,15.3,19.2,25.0,0.0,14.7,0.0
4,2,11,15.5,20.2,24.8,0.3,14.0,0.5
4,2,12,15.5,19.3,25.0,0.6,17.6,0.5
4,2,13,15.3,21.7,28.5,0.0,16.3,0.0
4,2,14,16.0,21.0,27.0,0.0,17.4,0.0
4,2,15,16.4,21.3,27.5,0.0,16.3,0.0
4,2,16,16.3,23.0,30.0,0.0,17.0,0.0
4,2,17,18.0,24.7,30.5,0.0,15.4,0.0
4,2,18,19.3,25.4,32.0,0.0,13.4,0.0
4,2,19,17.8,23.3,28.5,0.1,14.7,0.5
4,2,20,16.9,21.8,27.5,0.0,15.2,0.0
4,3,21,16.5,21.5,26.7,0.0,17.9,0.0
4,3,22,16.7,22.3,29.2,0.0,22.4,0.0
4,3,23,16.2,22.0,27.7,0.0,16.6,0.0
4,3,24,17.0,22.9,31.0,0.0,19.2,0.0
4,3,25,17.0,22.9,28.3,0.0,15.5,0.0
4,3,26,18.2,22.7,29.3,0.0,16.6,0.0
4,3,27,17.5,23.5,30.0,0.0,14.2,0.0
4,3,28,17.7,24.5,30.8,0.0,13.1,0.0
4,3,29,18.9,24.3,31.0,0.0,15.4,0.0
4,3,30,18.6,25.0,33.0,0.0,19.0,0.0
5,1,1,20.8,26.7,33.5,0.0,12.8,0.0
5,1,2,19.5,25.9,32.1,0.0,14.9,0.0
5,1,3,20.0,26.6,34.0,0.0,16.4,0.0
5,1,4,20.5,26.8,33.9,0.0,13.3,0.0
5,1,5,19.4,23.9,30.0,0.0,16.4,0.0
5,1,6,18.9,24.2,29.3,0.0,15.2,0.0
5,1,7,18.5,23.2,29.5,0.0,13.9,0.0
5,1,8,19.5,24.2,31.0,0.0,15.1,0.0
5,1,9,19.1,24.2,30.6,0.0,14.9,0.0
5,1,10,21.9,26.0,31.4,0.0,14.4,0.0
5,2,11,19.9,25.0,31.5,0.0,14.3,0.0
5,2,12,19.1,24.4,31.0,0.0,15.8,0.0
5,2,13,18.9,24.3,31.0,0.0,18.5,0.0
5,2,14,19.6,24.4,31.0,0.0,19.0,0.0
5,2,15,18.8,25.2,32.0,0.0,19.2,0.0
5,2,16,20.5,27.6,36.0,0.0,14.8,0.0
5,2,17,21.5,27.0,33.6,0.0,15.6,0.0
5,2,18,21.8,28.7,35.6,0.0,16.0,0.0
5,2,19,22.0,28.8,35.0,0.0,15.5,0.0
5,2,20,23.6,30.5,38.0,0.0,15.3,0.0
5,3,21,23.1,29.6,37.5,0.0,15.8,0.0
5,3,22,22.9,28.8,36.0,0.0,16.8,0.0
5,3,23,23.5,28.1,34.0,0.0,14.7,0.0
5,3,24,22.1,28.7,34.0,0.0,15.2,0.0
5,3,25,20.1,26.5,32.7,0.0,14.9,0.0
5,3,26,20.8,26.8,34.2,0.0,17.0,0.0
5,3,27,21.9,28.1,34.1,0.0,17.7,0.0
5,3,28,21.9,26.4,32.6,0.0,16.2,0.0
5,3,29,22.1,27.0,33.1,0.0,15.5,0.0
5,3,30,21.7,27.5,34.0,0.0,15.3,0.0
5,3,31,22.7,28.9,35.0,0.0,16.1,0.0
6,1,1,23.0,29.3,34.7,0.0,16.1,0.0
6,1,2,23.7,28.2,34.0,0.0,16.5,0.0
6,1,3,21.9,27.6,33.5,0.0,16.9,0.0
6,1,4,22.5,27.5,33.2,0.0,18.4,0.0
6,1,5,22.4,26.8,32.6,0.0,15.7,0.0
6,1,6,21.8,27.4,33.2,0.0,16.2,0.0
6,1,7,22.8,29.3,36.0,0.0,14.7,0.0
6,1,8,23.3,28.8,35.5,0.0,16.1,0.0
6,1,9,23.9,29.7,35.8,0.0,14.7,0.0
6,1,10,24.2,30.3,36.8,0.0,13.3,0.0
6,2,11,24.0,29.8,36.0,0.0,13.2,0.0
6,2,12,23.7,29.2,34.5,0.0,13.8,0.0
6,2,13,24.4,28.9,33.5,0.0,15.6,0.0
