m,m3,coco,coco_pct,country,place
1,1,1.0,0.155,egypte,alexandrië
1,1,2.0,0.476,egypte,alexandrië
1,1,3.0,0.16,egypte,alexandrië
1,1,5.0,0.068,egypte,alexandrië
1,1,7.0,0.001,egypte,alexandrië
1,1,8.0,0.0,egypte,alexandrië
1,1,9.0,0.0,egypte,alexandrië
1,1,17.0,0.02,egypte,alexandrië
1,1,18.0,0.12,egypte,alexandrië
1,1,25.0,0.001,egypte,alexandrië
1,2,1.0,0.228,egypte,alexandrië
1,2,2.0,0.396,egypte,alexandrië
1,2,3.0,0.222,egypte,alexandrië
1,2,5.0,0.014,egypte,alexandrië
1,2,7.0,0.004,egypte,alexandrië
1,2,8.0,0.004,egypte,alexandrië
1,2,9.0,0.0,egypte,alexandrië
1,2,17.0,0.023,egypte,alexandrië
1,2,18.0,0.11,egypte,alexandrië
1,2,25.0,0.001,egypte,alexandrië
1,3,1.0,0.197,egypte,alexandrië
1,3,2.0,0.492,egypte,alexandrië
1,3,3.0,0.161,egypte,alexandrië
1,3,5.0,0.011,egypte,alexandrië
1,3,7.0,0.0,egypte,alexandrië
1,3,8.0,0.001,egypte,alexandrië
1,3,9.0,0.0,egypte,alexandrië
1,3,17.0,0.011,egypte,alexandrië
1,3,18.0,0.127,egypte,alexandrië
1,3,25.0,0.002,egypte,alexandrië
2,1,1.0,0.234,egypte,alexandrië
2,1,2.0,0.402,egypte,alexandrië
2,1,3.0,0.242,egypte,alexandrië
2,1,5.0,0.024,egypte,alexandrië
2,1,7.0,0.0,egypte,alexandrië
2,1,8.0,0.0,egypte,alexandrië
2,1,9.0,0.0,egypte,alexandrië
2,1,17.0,0.007,egypte,alexandrië
2,1,18.0,0.091,egypte,alexandrië
2,1,25.0,0.0,egypte,alexandrië
2,2,1.0,0.095,egypte,alexandrië
2,2,2.0,0.508,egypte,alexandrië
2,2,3.0,0.235,egypte,alexandrië
2,2,5.0,0.019,egypte,alexandrië
2,2,7.0,0.001,egypte,alexandrië
2,2,8.0,0.0,egypte,alexandrië
2,2,9.0,0.0,egypte,alexandrië
2,2,17.0,0.018,egypte,alexandrië
2,2,18.0,0.123,egypte,alexandrië
2,2,25.0,0.001,egypte,alexandrië
2,3,1.0,0.252,egypte,alexandrië
2,3,2.0,0.463,egypte,alexandrië
2,3,3.0,0.216,egypte,alexandrië
2,3,5.0,0.006,egypte,alexandrië
2,3,7.0,0.0,egypte,alexandrië
2,3,8.0,0.0,egypte,alexandrië
2,3,9.0,0.0,egypte,alexandrië
2,3,17.0,0.005,egypte,alexandrië
2,3,18.0,0.057,egypte,alexandrië
2,3,25.0,0.003,egypte,alexandrië
3,1,1.0,0.352,egypte,alexandrië
3,1,2.0,0.496,egypte,alexandrië
3,1,3.0,0.117,egypte,alexandrië
3,1,5.0,0.013,egypte,alexandrië
3,1,7.0,0.0,egypte,alexandrië
3,1,8.0,0.001,egypte,alexandrië
3,1,9.0,0.0,egypte,alexandrië
3,1,17.0,0.004,egypte,alexandrië
3,1,18.0,0.016,egypte,alexandrië
