m,m3,coco,coco_pct
4,1,18.0,0.0
3,1,27.0,0.003
3,3,18.0,0.008
12,3,2.0,0.159
1,2,18.0,0.0
11,2,3.0,0.005
10,2,5.0,0.0
7,2,25.0,0.0
9,2,18.0,0.0
11,2,5.0,0.0
1,3,7.0,0.0
8,3,27.0,0.0
12,1,27.0,0.0
8,1,5.0,0.001
3,3,2.0,0.069
12,3,25.0,0.0
12,3,1.0,0.832
6,1,27.0,0.001
11,2,1.0,0.883
1,3,27.0,0.0
6,1,1.0,0.96
2,2,1.0,0.852
2,1,7.0,0.0
7,2,2.0,0.003
1,1,7.0,0.0
5,2,2.0,0.083
5,1,1.0,0.945
4,3,27.0,0.0
11,1,5.0,0.0
9,1,1.0,1.0
8,1,7.0,0.0
7,3,25.0,0.0
12,1,2.0,0.122
6,1,18.0,0.0
12,2,1.0,0.871
11,1,3.0,0.0
1,3,2.0,0.142
5,3,1.0,0.949
5,3,7.0,0.0
3,2,27.0,0.003
2,3,2.0,0.079
7,2,18.0,0.0
8,3,3.0,0.0
8,1,25.0,0.0
6,2,8.0,0.0
12,1,8.0,0.0
6,2,7.0,0.0
11,3,8.0,0.0
5,3,2.0,0.048
6,3,1.0,1.0
3,1,3.0,0.003
2,2,5.0,0.002
8,3,5.0,0.0
1,1,27.0,0.0
4,2,8.0,0.0
5,2,3.0,0.005
5,2,1.0,0.912
4,2,18.0,0.0
9,2,25.0,0.0
9,1,27.0,0.0
1,2,2.0,0.183
7,3,1.0,0.995
2,2,3.0,0.009
7,3,27.0,0.0
5,3,5.0,0.0
5,1,7.0,0.0
8,2,2.0,0.0
2,2,8.0,0.0
8,3,18.0,0.0
7,2,5.0,0.0
2,3,1.0,0.896
12,3,5.0,0.0
5,2,7.0,0.0
11,2,27.0,0.0
11,3,5.0,0.0
10,2,2.0,0.047
1,3,3.0,0.009
1,3,8.0,0.001
5,2,18.0,0.0
2,2,18.0,0.0
2,2,2.0,0.137
2,1,8.0,0.001
5,2,5.0,0.0
12,1,7.0,0.0
5,3,27.0,0.0
11,3,2.0,0.128
2,2,25.0,0.0
2,3,25.0,0.0
6,2,5.0,0.0
11,2,25.0,0.0
7,1,27.0,0.0
12,2,8.0,0.0
3,3,7.0,0.0
9,3,27.0,0.0
5,1,5.0,0.002
4,3,8.0,0.0
5,1,3.0,0.004
3,1,1.0,0.899
8,2,5.0,0.0
11,2,2.0,0.111
3,1,5.0,0.005
4,1,27.0,0.0
2,1,2.0,0.093
7,2,1.0,0.997
3,2,1.0,0.858
7,2,8.0,0.0
2,3,7.0,0.0
10,2,18.0,0.0
3,3,25.0,0.0
1,2,5.0,0.0
11,3,27.0,0.0
10,3,5.0,0.001
8,2,25.0,0.0
2,1,3.0,0.008
2,1,5.0,0.002
9,3,1.0,0.98
4,3,5.0,0.009
9,1,2.0,0.0
9,1,5.0,0.0
8,3,8.0,0.0
12,3,27.0,0.0
9,3,5.0,0.0
9,3,3.0,0.001
3,3,1.0,0.909
9,3,18.0,0.0
5,1,27.0,0.0
6,3,18.0,0.0
6,3,8.0,0.0
6,2,25.0,0.0
1,1,25.0,0.0
8,2,18.0,0.0
6,3,25.0,0.0
5,1,2.0,0.049
12,1,3.0,0.001
12,2,25.0,0.0
4,1,25.0,0.0
11,1,25.0,0.0
9,3,2.0,0.02
7,1,8.0,0.0
1,1,18.0,0.0
6,2,2.0,0.001
2,3,5.0,0.0
8,3,1.0,0.998
4,3,25.0,0.0
4,1,3.0,0.005
3,3,3.0,0.009
8,1,3.0,0.0
6,1,7.0,0.0
3,3,5.0,0.002
4,1,8.0,0.0
11,1,2.0,0.05
7,1,5.0,0.0
5,3,25.0,0.0
9,3,25.0,0.0
5,3,8.0,0.001
5,1,25.0,0.001
9,2,2.0,0.002
8,2,7.0,0.0
3,2,2.0,0.099
7,1,2.0,0.0
3,1,18.0,0.0
2,1,1.0,0.886
8,3,25.0,0.0
1,1,5.0,0.0
2,3,18.0,0.005
11,1,1.0,0.943
9,1,18.0,0.0
3,1,25.0,0.0
6,3,7.0,0.0
10,1,3.0,0.0
6,1,2.0,0.03
1,3,25.0,0.0
3,2,7.0,0.001
11,2,7.0,0.0
8,2,3.0,0.0
7,2,3.0,0.0
4,1,2.0,0.073
11,1,18.0,0.007
3,1,8.0,0.0
12,1,18.0,0.0
10,2,27.0,0.0
7,1,18.0,0.0
6,2,1.0,0.999
9,1,7.0,0.0
8,1,1.0,0.999
8,2,1.0,1.0
12,3,8.0,0.0
9,2,7.0,0.0
