m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,9.6,13.4,11.6,57.5,2.7,0.0
1,1,9.0,13.0,11.0,61.5,2.7,0.0
1,2,8.0,12.0,10.0,63.0,2.7,0.0
1,3,7.3,11.4,9.4,63.0,2.7,0.0
1,4,7.0,11.0,9.0,64.5,2.7,0.0
1,5,7.0,11.0,9.0,66.0,1.9,0.0
1,6,9.0,13.0,10.8,59.5,2.7,0.0
1,7,12.0,16.0,14.0,54.5,3.8,0.0
1,8,15.0,18.0,16.5,48.5,4.7,0.0
1,9,16.3,20.4,18.4,43.0,6.5,0.0
1,10,18.0,22.0,20.0,39.0,9.2,0.0
1,11,18.0,23.0,21.0,35.5,8.3,0.0
1,12,19.0,24.4,21.8,33.0,9.4,0.01
1,13,19.0,25.0,22.0,32.5,9.3,0.0
1,14,19.0,25.0,22.0,33.0,10.1,0.0
1,15,18.2,23.9,20.9,35.0,7.4,0.01
1,16,16.0,21.0,18.6,40.5,6.5,0.0
1,17,15.0,20.0,17.5,47.0,5.6,0.0
1,18,14.0,18.4,16.2,47.5,4.7,0.0
1,19,13.0,17.0,15.5,49.0,5.4,0.0
1,20,12.0,16.0,14.5,52.5,4.5,0.0
1,21,11.8,15.6,13.7,53.5,4.5,0.0
1,22,11.0,15.0,12.5,55.0,3.8,0.0
1,23,10.0,14.0,12.0,57.0,2.7,0.0
2,0,11.0,14.3,12.7,51.5,3.0,0.0
2,1,10.0,13.0,12.0,54.5,3.0,0.0
2,2,10.0,13.0,11.5,56.0,3.0,0.0
2,3,9.0,12.0,10.7,56.5,2.7,0.0
2,4,8.0,11.0,10.0,60.0,3.0,0.0
2,5,9.0,12.0,10.0,58.5,3.5,0.0
2,6,11.0,14.0,13.0,54.0,3.8,0.0
2,7,14.0,17.0,15.7,48.0,4.8,0.0
2,8,16.0,20.0,18.0,43.5,7.4,0.0
2,9,18.0,22.0,19.8,37.5,9.2,0.0
2,10,19.0,23.0,21.5,34.5,11.0,0.0
2,11,20.0,25.0,22.5,31.0,11.1,0.0
2,12,20.8,25.9,23.1,28.5,11.9,0.0
2,13,21.0,26.0,23.5,27.5,14.1,0.0
2,14,21.0,26.0,23.5,27.0,13.9,0.0
