m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,9.9,13.1,11.6,64.0,2.3,0.0
1,1,1,9.0,12.0,11.0,66.8,2.7,0.0
1,1,2,8.9,12.0,10.2,69.3,2.7,0.0
1,1,3,8.2,11.0,9.5,68.8,2.4,0.0
1,1,4,7.5,10.5,9.0,70.0,2.7,0.0
1,1,5,8.0,11.1,9.5,70.0,2.4,0.0
1,1,6,9.6,12.6,11.1,65.5,2.7,0.0
1,1,7,12.0,16.0,14.3,58.5,3.6,0.0
1,1,8,15.0,18.5,16.5,53.0,4.7,0.0
1,1,9,16.3,20.3,18.4,47.8,4.8,0.0
1,1,10,18.0,22.5,20.0,43.3,7.9,0.0
1,1,11,19.0,23.0,21.0,38.5,8.8,0.0
1,1,12,19.5,24.5,21.9,36.3,9.8,0.03
1,1,13,19.1,24.5,22.0,36.0,8.3,0.0
1,1,14,19.0,24.5,22.0,36.3,8.7,0.0
1,1,15,18.4,23.5,20.9,39.3,5.9,0.03
1,1,16,16.5,21.0,18.5,45.3,5.6,0.0
1,1,17,15.0,19.0,17.0,50.0,5.2,0.0
1,1,18,14.0,18.2,16.2,52.0,4.7,0.0
1,1,19,13.5,17.0,15.5,54.0,4.8,0.0
1,1,20,12.0,16.0,14.0,53.8,4.7,0.0
1,1,21,12.0,15.1,13.7,55.0,4.8,0.0
1,1,22,11.0,14.0,12.5,58.8,3.3,0.0
1,1,23,10.0,13.5,11.8,61.8,2.7,0.0
1,2,0,9.0,13.2,11.6,58.0,2.7,0.0
1,2,1,8.0,12.5,10.5,60.8,2.7,0.0
1,2,2,8.0,11.5,9.8,63.0,2.7,0.0
1,2,3,6.9,11.2,9.1,62.5,2.7,0.0
1,2,4,6.5,10.5,8.8,64.0,2.7,0.0
1,2,5,6.5,11.0,8.8,65.5,2.3,0.0
1,2,6,8.9,13.0,10.9,59.3,2.7,0.0
1,2,7,12.5,16.0,14.0,54.0,3.8,0.0
1,2,8,14.2,18.0,16.1,48.8,5.9,0.0
1,2,9,16.3,20.3,18.4,43.5,6.1,0.0
1,2,10,18.0,21.5,20.0,38.5,7.9,0.0
1,2,11,18.5,23.0,21.0,35.8,9.8,0.0
1,2,12,18.9,23.6,21.5,33.5,9.4,0.0
1,2,13,19.0,24.5,22.0,32.3,9.4,0.0
1,2,14,19.0,24.5,21.8,32.0,10.3,0.0
1,2,15,18.1,23.1,20.9,34.8,9.4,0.0
1,2,16,16.0,21.0,18.5,39.0,6.1,0.0
1,2,17,15.0,20.0,17.5,45.5,5.6,0.0
1,2,18,14.2,18.8,16.8,47.3,5.2,0.0
1,2,19,13.0,17.0,15.0,48.3,5.6,0.0
1,2,20,12.0,16.0,14.5,53.3,5.6,0.0
1,2,21,11.6,16.0,13.6,54.8,4.7,0.0
1,2,22,10.5,15.0,12.8,56.0,3.8,0.0
1,2,23,10.0,14.0,12.0,57.8,2.7,0.0
1,3,0,9.5,13.9,11.4,55.5,1.8,0.0
1,3,1,9.0,13.0,11.0,57.0,2.7,0.0
1,3,2,8.0,12.0,10.0,58.5,2.7,0.0
1,3,3,7.3,11.0,9.2,58.5,2.7,0.0
1,3,4,6.0,11.0,8.5,61.5,4.5,0.0
1,3,5,6.0,11.0,8.5,62.0,2.0,0.0
1,3,6,8.0,12.6,10.5,58.0,2.7,0.0
1,3,7,12.0,16.0,14.0,51.0,2.8,0.0
1,3,8,14.0,18.5,16.5,44.5,3.8,0.0
1,3,9,16.6,20.8,18.4,40.5,7.4,0.0
1,3,10,18.0,22.0,20.0,37.0,9.2,0.0
