m,m3,coco,coco_pct
8,3,1.0,0.998
5,3,18.0,0.0
3,3,25.0,0.0
1,3,3.0,0.009
8,1,1.0,0.999
7,1,5.0,0.0
8,2,8.0,0.0
6,3,7.0,0.0
9,1,5.0,0.0
12,1,5.0,0.0
5,3,1.0,0.949
4,2,7.0,0.0
11,1,5.0,0.0
2,1,27.0,0.0
3,3,3.0,0.009
9,3,3.0,0.001
9,2,8.0,0.0
1,1,2.0,0.161
10,3,2.0,0.053
3,3,18.0,0.008
1,2,3.0,0.004
10,3,18.0,0.0
12,1,27.0,0.0
2,2,8.0,0.0
4,1,2.0,0.073
6,2,1.0,0.999
4,1,1.0,0.922
1,2,2.0,0.183
7,2,5.0,0.0
9,1,8.0,0.0
6,3,5.0,0.0
11,1,18.0,0.007
8,2,5.0,0.0
8,2,1.0,1.0
10,1,8.0,0.0
9,1,1.0,1.0
6,1,8.0,0.0
3,1,25.0,0.0
10,1,27.0,0.0
2,1,8.0,0.001
5,1,5.0,0.002
1,3,25.0,0.0
11,3,27.0,0.0
3,1,5.0,0.005
12,3,1.0,0.832
2,3,5.0,0.0
3,2,1.0,0.858
4,2,18.0,0.0
10,2,8.0,0.0
2,1,18.0,0.011
2,2,25.0,0.0
11,2,7.0,0.0
1,2,25.0,0.0
10,3,25.0,0.0
7,1,8.0,0.0
9,1,7.0,0.0
12,2,2.0,0.129
2,3,3.0,0.016
3,2,8.0,0.0
10,3,8.0,0.0
4,1,7.0,0.0
2,1,25.0,0.0
7,3,7.0,0.0
5,2,7.0,0.0
6,1,27.0,0.001
2,1,5.0,0.002
7,2,7.0,0.0
11,1,1.0,0.943
3,2,27.0,0.003
1,2,18.0,0.0
11,3,18.0,0.0
2,2,18.0,0.0
2,3,7.0,0.0
9,2,18.0,0.0
8,3,7.0,0.0
8,2,2.0,0.0
9,3,1.0,0.98
7,3,1.0,0.995
11,1,27.0,0.0
7,1,27.0,0.0
1,1,1.0,0.827
12,2,3.0,0.0
9,1,2.0,0.0
9,2,5.0,0.008
2,3,18.0,0.005
7,1,1.0,1.0
12,3,27.0,0.0
9,1,3.0,0.0
5,2,3.0,0.005
5,2,18.0,0.0
9,2,2.0,0.002
12,3,2.0,0.159
7,3,18.0,0.0
8,1,25.0,0.0
2,3,1.0,0.896
9,2,3.0,0.0
6,3,1.0,1.0
10,1,18.0,0.0
5,2,25.0,0.0
2,2,3.0,0.009
8,3,8.0,0.0
2,2,27.0,0.0
8,1,3.0,0.0
2,1,1.0,0.886
1,1,8.0,0.0
2,3,25.0,0.0
12,2,8.0,0.0
11,3,1.0,0.869
1,1,25.0,0.0
7,3,2.0,0.005
6,2,5.0,0.0
1,2,1.0,0.813
12,1,7.0,0.0
5,1,25.0,0.001
5,1,3.0,0.004
5,2,8.0,0.0
5,3,5.0,0.0
7,2,8.0,0.0
6,1,18.0,0.0
11,2,3.0,0.005
10,2,7.0,0.0
12,2,27.0,0.0
10,2,25.0,0.0
11,1,8.0,0.0
10,1,1.0,0.961
4,2,5.0,0.005
11,1,2.0,0.05
1,1,5.0,0.0
9,3,2.0,0.02
7,2,3.0,0.0
4,3,7.0,0.0
1,2,5.0,0.0
4,2,2.0,0.059
7,1,7.0,0.0
7,1,3.0,0.0
10,2,5.0,0.0
11,1,7.0,0.0
9,2,7.0,0.0
7,2,27.0,0.0
4,1,18.0,0.0
4,3,3.0,0.004
3,1,18.0,0.0
7,1,25.0,0.0
5,1,7.0,0.0
8,3,3.0,0.0
1,1,7.0,0.0
11,2,5.0,0.0
6,2,18.0,0.0
2,2,2.0,0.137
7,3,27.0,0.0
7,3,8.0,0.0
10,3,5.0,0.001
8,2,18.0,0.0
3,3,5.0,0.002
4,2,1.0,0.932
12,2,1.0,0.871
12,3,18.0,0.0
10,2,3.0,0.007
10,1,25.0,0.0
4,3,2.0,0.05
6,2,27.0,0.0
11,2,27.0,0.0
6,2,7.0,0.0
2,1,7.0,0.0
9,3,18.0,0.0
10,2,1.0,0.946
4,2,3.0,0.005
5,3,25.0,0.0
6,1,25.0,0.0
3,3,1.0,0.909
12,2,7.0,0.0
6,3,3.0,0.0
3,1,27.0,0.003
8,2,27.0,0.0
10,2,18.0,0.0
4,2,25.0,0.0
12,2,18.0,0.0
9,1,27.0,0.0
