m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,13.8,18.1,23.6,0.0,16.2,0.0
1,1,2,13.7,17.9,23.3,0.0,15.9,0.0
1,1,3,13.1,17.8,23.1,0.0,17.0,0.33
1,1,4,12.1,17.8,23.6,0.0,14.1,0.0
1,1,5,12.8,18.0,23.5,0.0,15.9,0.0
1,1,6,12.6,17.1,23.1,0.0,14.6,0.0
1,1,7,12.0,17.7,25.3,0.0,11.5,0.0
1,1,8,13.2,18.6,24.1,0.0,12.3,0.0
1,1,9,13.0,17.3,23.1,0.0,14.8,0.0
1,1,10,13.4,17.2,22.9,0.0,17.1,0.25
1,2,11,12.4,16.8,22.6,0.0,15.2,0.0
1,2,12,12.3,17.1,23.3,0.0,11.8,0.0
1,2,13,12.6,17.7,24.4,0.0,13.2,0.0
1,2,14,11.2,17.1,22.3,0.0,15.4,0.0
1,2,15,12.4,16.5,23.0,0.0,12.9,0.0
1,2,16,10.8,17.7,23.6,0.0,15.8,0.0
1,2,17,12.3,16.2,21.8,0.0,18.1,0.0
1,2,18,12.9,17.2,22.3,0.0,17.1,0.0
1,2,19,12.1,17.0,22.5,0.0,17.4,0.0
1,2,20,12.4,17.3,22.6,0.0,16.6,0.0
1,3,21,11.5,17.0,23.7,0.0,14.8,0.0
1,3,22,11.6,17.4,23.5,0.0,14.3,0.33
1,3,23,12.0,17.0,22.5,0.0,16.6,0.0
1,3,24,12.5,17.4,23.6,0.0,17.9,0.0
1,3,25,12.3,16.6,21.8,0.0,17.0,0.0
1,3,26,12.3,17.0,23.0,0.0,16.2,0.0
1,3,27,11.7,17.3,24.3,0.0,13.2,0.0
1,3,28,11.5,16.8,22.1,0.0,16.4,0.0
1,3,29,11.2,16.7,22.3,0.0,15.1,0.0
1,3,30,11.6,16.9,22.2,0.0,15.3,0.0
1,3,31,11.4,16.5,22.3,0.0,18.8,0.0
2,1,1,11.5,17.1,22.8,0.0,14.5,0.0
2,1,2,12.1,17.2,22.7,0.0,12.8,0.0
2,1,3,11.6,17.6,24.4,0.0,12.7,0.0
2,1,4,12.5,18.3,24.4,0.0,15.2,0.0
2,1,5,13.2,18.0,24.6,0.0,15.0,0.0
2,1,6,13.4,18.8,24.3,0.0,13.6,0.0
2,1,7,13.0,18.3,24.7,0.0,16.9,0.0
2,1,8,13.3,18.3,24.5,0.0,15.4,0.0
2,1,9,13.7,18.3,24.3,0.0,13.5,0.0
2,1,10,13.2,17.3,23.5,0.0,18.4,0.0
