m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,13.0,16.8,14.8,52.8,15.2,0.0
1,1,1,12.0,16.0,14.3,52.8,14.3,0.0
1,1,2,12.0,15.5,14.0,55.0,14.4,0.0
1,1,3,12.4,15.9,14.2,55.0,15.8,0.0
1,1,4,12.0,15.0,13.5,56.3,14.5,0.0
1,1,5,11.5,15.7,13.5,54.3,13.5,0.0
1,1,6,13.3,17.0,15.2,51.5,15.8,0.0
1,1,7,16.0,19.0,17.5,42.8,18.2,0.0
1,1,8,18.0,21.0,19.5,40.0,19.5,0.0
1,1,9,19.1,22.3,20.7,37.5,18.2,0.0
1,1,10,20.0,23.5,21.8,35.8,17.3,0.0
1,1,11,21.0,24.0,22.5,35.0,16.4,0.03
1,1,12,21.0,24.6,22.8,36.8,17.3,0.0
1,1,13,21.0,25.0,23.0,36.0,16.4,0.0
1,1,14,21.0,24.0,22.5,37.5,15.9,0.03
1,1,15,19.4,23.3,21.3,40.0,15.3,0.0
1,1,16,18.0,22.0,20.0,44.0,12.6,0.0
1,1,17,17.0,20.5,18.5,47.0,12.0,0.0
1,1,18,16.1,19.0,17.4,50.0,13.5,0.0
1,1,19,15.0,18.5,16.5,50.8,13.0,0.0
1,1,20,14.0,18.0,15.9,50.0,12.4,0.0
1,1,21,13.8,17.3,15.3,49.5,13.9,0.0
1,1,22,13.5,17.0,15.0,49.5,14.8,0.0
1,1,23,12.0,16.0,14.5,51.5,14.8,0.0
1,2,0,12.3,15.3,14.1,45.0,14.3,0.0
1,2,1,12.0,15.0,13.5,45.3,13.5,0.0
1,2,2,12.0,14.0,13.0,49.3,14.9,0.0
1,2,3,11.5,15.0,13.2,47.8,14.8,0.0
1,2,4,11.0,15.0,13.0,47.3,14.4,0.0
1,2,5,11.4,15.0,13.2,47.3,15.1,0.0
1,2,6,12.6,16.5,14.7,42.8,13.4,0.0
1,2,7,16.0,19.0,17.5,37.0,18.2,0.0
1,2,8,18.0,20.0,19.0,34.3,19.9,0.0
1,2,9,18.8,22.0,20.3,33.5,20.0,0.0
1,2,10,20.0,23.0,21.3,32.3,19.5,0.0
1,2,11,20.4,23.0,21.8,30.5,18.2,0.0
1,2,12,20.2,23.9,22.0,32.0,17.7,0.0
1,2,13,21.0,23.6,22.2,32.3,17.2,0.0
1,2,14,21.0,23.0,22.0,33.3,16.8,0.0
1,2,15,19.3,21.8,20.5,37.8,14.0,0.0
1,2,16,18.0,20.5,19.0,41.3,11.7,0.0
1,2,17,16.7,20.0,18.1,42.3,11.6,0.0
1,2,18,15.8,18.3,16.9,42.5,14.2,0.0
1,2,19,14.6,17.6,16.1,44.3,12.9,0.0
1,2,20,14.0,17.0,15.5,46.8,13.1,0.0
1,2,21,13.6,16.8,15.1,43.5,12.8,0.0
1,2,22,13.0,16.0,14.5,46.5,11.5,0.0
1,2,23,13.0,16.0,14.5,46.8,12.9,0.0
1,3,0,11.8,15.2,13.5,49.0,13.9,0.0
1,3,1,11.0,15.0,13.0,49.5,14.0,0.0
1,3,2,11.0,14.0,13.0,51.5,14.8,0.0
1,3,3,11.1,14.8,12.8,49.0,13.0,0.0
1,3,4,11.0,14.0,12.1,49.0,13.9,0.0
1,3,5,11.0,14.0,12.8,50.0,14.8,0.0
1,3,6,13.0,15.8,14.4,47.0,15.0,0.03
1,3,7,16.0,19.0,17.0,40.0,19.5,0.0
1,3,8,17.0,20.0,18.5,38.5,17.7,0.0
1,3,9,18.1,21.3,19.9,35.5,17.7,0.0
1,3,10,19.0,23.0,21.0,34.0,18.5,0.0
1,3,11,20.0,23.0,21.5,34.0,17.8,0.0
1,3,12,20.2,23.6,21.8,34.0,18.5,0.0
1,3,13,20.0,24.0,22.0,35.5,17.7,0.0
1,3,14,20.0,24.0,21.5,35.5,18.6,0.0
1,3,15,18.8,22.5,20.6,40.5,17.7,0.0
1,3,16,18.0,21.0,19.5,43.5,15.9,0.0
