m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,11.1,14.4,12.6,51.5,5.6,0.01
1,1,10.5,13.6,12.0,53.5,5.6,0.02
1,2,9.9,13.0,11.4,55.0,5.6,0.0
1,3,8.8,12.2,10.5,56.5,5.6,0.0
1,4,9.4,12.7,11.0,54.0,4.6,0.0
1,5,10.1,13.3,11.7,52.0,4.6,0.0
1,6,10.6,13.6,12.1,50.5,5.6,0.0
1,7,12.3,15.6,14.0,47.5,6.5,0.0
1,8,14.0,17.5,15.7,44.0,6.5,0.01
1,9,15.6,19.2,17.3,41.5,6.5,0.01
1,10,16.1,20.6,18.3,38.0,8.4,0.01
1,11,16.9,21.3,19.3,36.0,9.3,0.02
1,12,17.6,22.2,20.0,34.5,10.2,0.01
1,13,16.9,21.4,19.3,36.0,9.3,0.02
1,14,16.1,20.9,18.6,38.5,9.3,0.01
1,15,15.5,20.4,17.8,40.0,9.3,0.01
1,16,14.9,19.3,17.1,42.5,8.4,0.01
1,17,14.1,18.1,16.1,44.5,9.3,0.01
1,18,13.1,17.3,15.2,48.0,8.3,0.01
1,19,12.4,16.2,14.3,49.5,7.4,0.0
1,20,12.0,15.3,13.8,52.0,6.5,0.0
1,21,10.6,14.7,12.7,56.0,5.6,0.01
1,22,11.8,16.3,14.2,47.0,9.3,0.01
1,23,12.0,15.3,13.5,49.0,7.4,0.01
2,0,11.7,16.3,14.2,51.0,7.4,0.02
2,1,11.0,13.6,12.4,52.5,6.5,0.01
2,2,10.3,13.1,11.8,54.0,6.5,0.01
2,3,9.4,14.9,12.0,55.0,6.5,0.02
2,4,9.9,12.9,11.6,53.0,5.6,0.01
2,5,10.7,13.5,12.2,51.0,5.6,0.01
2,6,11.5,16.5,13.8,49.5,6.5,0.0
2,7,13.3,16.3,14.8,45.5,6.5,0.0
2,8,15.0,18.3,16.7,41.0,7.4,0.01
2,9,16.5,21.9,19.1,39.0,9.3,0.03
2,10,17.3,20.7,18.8,34.5,10.2,0.01
2,11,18.0,21.8,19.6,33.0,11.1,0.02
2,12,18.4,24.7,21.7,32.5,12.1,0.02
2,13,17.9,22.3,20.0,33.0,11.2,0.0
2,14,17.1,21.8,19.5,34.0,11.1,0.0
2,15,16.8,23.0,19.9,36.5,10.2,0.0
2,16,16.1,20.2,18.3,37.5,11.1,0.01
2,17,15.4,19.0,17.2,40.0,10.2,0.01
2,18,14.4,19.8,16.8,45.0,9.3,0.01
2,19,13.9,17.1,15.4,45.0,9.3,0.03
2,20,13.4,16.3,14.7,47.0,8.3,0.03
2,21,12.0,17.2,14.6,52.0,8.4,0.03
2,22,13.6,16.3,14.9,45.0,10.2,0.03
2,23,12.7,15.4,14.3,47.0,7.4,0.01
3,0,13.9,19.1,16.4,44.0,7.4,0.0
3,1,13.5,17.1,15.2,45.5,7.4,0.01
3,2,12.8,16.5,14.7,47.0,7.4,0.0
3,3,12.1,17.7,14.6,50.0,7.4,0.0
3,4,13.2,16.6,15.0,48.0,6.5,0.0
3,5,14.1,17.8,15.8,46.0,7.4,0.01
3,6,15.0,20.1,17.8,43.0,7.4,0.0
3,7,16.4,20.7,18.5,40.5,7.4,0.0
3,8,18.2,22.7,20.2,37.5,9.3,0.0
3,9,19.6,26.2,22.7,34.0,10.2,0.0
3,10,19.9,25.2,22.1,30.5,11.2,0.0
3,11,21.1,26.1,23.3,28.5,13.0,0.01
3,12,22.0,28.5,24.9,28.0,13.9,0.01
3,13,21.6,27.0,24.3,27.5,13.9,0.01
3,14,21.0,26.5,23.6,29.0,13.0,0.0
3,15,20.5,26.7,23.7,31.0,12.1,0.01
3,16,19.7,24.9,22.0,31.0,13.9,0.0
3,17,18.7,23.6,21.0,33.5,13.0,0.0
3,18,17.3,23.4,20.4,37.0,12.0,0.0
3,19,16.9,21.5,18.9,37.0,11.2,0.0
3,20,16.2,20.6,18.3,39.0,10.2,0.0
3,21,15.2,20.6,18.1,42.0,9.3,0.01
3,22,15.1,19.4,17.4,38.5,10.2,0.01
3,23,14.4,18.6,16.5,40.5,8.4,0.01
4,0,19.0,23.0,21.0,37.5,8.3,0.0
4,1,18.2,21.9,20.1,37.8,8.3,0.0
4,2,17.7,21.2,19.5,38.3,7.4,0.0
4,3,17.0,21.0,19.1,42.3,7.4,0.0
4,4,18.2,21.9,20.0,39.3,7.4,0.0
4,5,19.5,23.0,21.3,37.5,7.4,0.0
4,6,20.8,25.2,23.1,35.5,8.3,0.0
4,7,22.2,26.4,24.5,33.0,8.4,0.0
4,8,23.8,28.3,26.3,30.3,9.3,0.0
4,9,25.4,30.4,28.0,29.0,11.1,0.0
