m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,10.4,14.9,19.9,6.9,1.0,0.13,0.0
1,2,10.5,15.0,20.0,7.6,0.0,0.04,0.0
1,3,10.3,14.8,20.1,7.6,0.0,0.0,0.0
2,1,10.7,15.1,20.3,8.8,1.0,0.05,0.0
2,2,10.6,15.3,19.9,9.0,1.0,0.13,0.0
2,3,11.6,16.8,22.2,8.3,0.0,0.03,0.0
3,1,13.3,19.1,25.2,8.1,0.0,0.0,0.0
3,2,13.8,19.0,24.1,10.8,1.0,0.05,0.0
3,3,14.2,19.8,24.6,10.6,1.0,0.07,0.0
4,1,18.0,24.0,29.8,9.5,0.0,0.0,0.0
4,2,18.3,24.0,30.0,10.3,0.0,0.0,0.0
4,3,20.3,26.3,32.4,10.9,0.0,0.03,0.0
5,1,20.9,27.4,33.3,11.2,0.0,0.0,0.0
5,2,22.9,30.0,36.3,11.2,0.0,0.0,0.0
5,3,23.3,29.4,35.8,10.5,0.0,0.0,0.0
6,1,26.1,32.3,38.6,11.3,0.0,0.0,0.0
6,2,25.0,32.0,38.0,11.4,0.0,0.0,0.0
6,3,25.2,32.4,38.2,10.6,0.0,0.0,0.0
7,1,25.4,32.3,37.8,10.6,0.0,0.0,0.0
7,2,26.8,33.5,39.2,10.3,0.0,0.0,0.0
7,3,27.1,33.3,39.1,10.5,0.0,0.0,0.0
8,1,27.1,33.1,38.6,10.6,0.0,0.0,0.0
8,2,26.8,33.0,38.5,10.9,0.0,0.0,0.0
8,3,26.6,32.7,38.4,10.5,0.0,0.0,0.0
9,1,26.6,32.4,38.4,10.1,0.0,0.0,0.0
9,2,25.0,30.6,36.6,9.8,0.0,0.0,0.0
9,3,24.5,30.1,36.2,9.1,0.0,0.0,0.0
10,1,23.1,28.7,34.7,8.6,0.0,0.0,0.0
10,2,20.9,26.6,32.8,8.0,0.0,0.0,0.0
10,3,19.0,24.2,30.3,7.3,0.0,0.0,0.0
11,1,17.6,22.8,28.3,7.2,0.0,0.03,0.0
11,2,16.2,20.5,25.9,7.5,1.0,0.05,0.0
11,3,14.4,19.2,24.9,7.0,0.0,0.03,0.0
12,1,13.0,17.8,23.5,6.5,0.0,0.0,0.0
12,2,12.1,17.0,22.7,6.5,0.0,0.03,0.0
12,3,11.1,15.5,19.7,6.8,1.0,0.07,0.0
