m,m3,coco,coco_pct
5,3,23.0,0.0
2,3,8.0,0.026
12,2,23.0,0.0
6,3,26.0,0.0
8,3,26.0,0.0
9,1,2.0,0.358
4,3,15.0,0.0
3,1,2.0,0.392
8,3,25.0,0.003
4,1,8.0,0.011
10,3,14.0,0.0
1,2,17.0,0.0
12,1,7.0,0.067
5,2,26.0,0.0
7,2,7.0,0.005
3,1,26.0,0.0
5,3,26.0,0.0
8,1,3.0,0.017
1,1,9.0,0.007
12,2,13.0,0.0
6,3,9.0,0.0
7,2,17.0,0.0
11,3,27.0,0.0
2,3,23.0,0.0
8,2,18.0,0.0
9,2,4.0,0.002
11,3,9.0,0.023
4,2,13.0,0.0
3,3,12.0,0.0
1,3,8.0,0.018
12,3,26.0,0.0
12,1,12.0,0.0
9,3,4.0,0.018
4,2,17.0,0.0
11,2,3.0,0.295
7,1,23.0,0.0
6,1,7.0,0.002
4,3,17.0,0.0
9,2,26.0,0.0
11,1,14.0,0.0
7,1,17.0,0.0
7,1,25.0,0.001
6,1,14.0,0.0
11,2,12.0,0.0
6,2,26.0,0.001
10,3,7.0,0.016
11,1,18.0,0.002
8,1,12.0,0.0
10,2,4.0,0.014
2,3,4.0,0.1
11,2,9.0,0.01
10,2,14.0,0.0
7,2,18.0,0.003
8,3,27.0,0.0
1,1,3.0,0.233
8,3,1.0,0.708
5,3,12.0,0.0
2,3,27.0,0.0
4,2,8.0,0.007
6,3,18.0,0.005
11,1,7.0,0.017
2,1,26.0,0.0
9,2,12.0,0.0
7,3,26.0,0.0
8,1,9.0,0.0
2,1,2.0,0.426
3,3,14.0,0.0
2,3,3.0,0.29
2,3,7.0,0.028
6,2,14.0,0.0
5,2,17.0,0.0
6,3,2.0,0.3
12,3,1.0,0.163
3,2,12.0,0.0
4,3,3.0,0.226
11,3,25.0,0.01
9,3,1.0,0.404
7,3,7.0,0.011
10,3,9.0,0.007
8,2,23.0,0.0
2,1,14.0,0.002
8,3,2.0,0.22
11,3,23.0,0.0
5,1,1.0,0.199
12,3,18.0,0.002
2,2,17.0,0.0
1,2,3.0,0.273
12,3,27.0,0.0
4,2,12.0,0.0
10,3,15.0,0.0
6,3,25.0,0.002
2,3,25.0,0.001
7,1,2.0,0.229
10,2,9.0,0.009
2,3,2.0,0.358
12,3,25.0,0.0
12,2,2.0,0.396
7,2,15.0,0.0
9,3,2.0,0.383
8,1,4.0,0.001
2,2,18.0,0.0
10,1,14.0,0.0
11,2,17.0,0.0
11,2,23.0,0.0
11,1,27.0,0.0
3,2,8.0,0.008
12,3,7.0,0.053
11,2,26.0,0.0
8,3,3.0,0.029
11,3,3.0,0.313
7,2,27.0,0.0
