m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,8.0,10.9,14.4,14.9,5.0,0.49,18.0
1,2,7.1,9.8,13.3,16.5,6.0,0.59,17.0
1,3,6.7,10.0,13.4,16.4,6.0,0.55,28.0
2,1,6.5,9.9,13.5,18.3,5.0,0.51,33.0
2,2,6.7,9.7,13.1,16.8,5.0,0.53,33.0
2,3,7.3,10.6,14.4,17.8,5.0,0.5,12.0
3,1,7.4,11.4,15.8,13.2,4.0,0.44,14.0
3,2,8.3,11.6,15.4,19.3,5.0,0.53,15.0
3,3,8.5,12.6,16.8,16.2,4.0,0.34,12.0
4,1,10.5,15.1,19.2,16.4,3.0,0.34,9.0
4,2,10.7,15.3,20.0,13.6,2.0,0.17,1.0
4,3,11.2,16.6,21.9,13.7,2.0,0.2,0.0
5,1,13.4,17.4,21.9,15.5,3.0,0.31,4.0
5,2,14.9,20.2,25.7,10.1,1.0,0.13,1.0
5,3,16.0,20.6,25.5,11.5,2.0,0.22,5.0
6,1,17.2,22.0,26.7,11.9,1.0,0.07,0.0
6,2,18.6,23.0,27.3,13.4,2.0,0.23,5.0
6,3,20.0,24.7,28.7,16.1,0.0,0.04,0.0
7,1,20.8,25.1,29.1,14.5,1.0,0.09,1.0
7,2,21.3,25.5,29.5,18.5,0.0,0.04,0.0
7,3,22.1,26.2,29.7,16.4,0.0,0.04,0.0
8,1,22.1,26.3,30.5,17.3,0.0,0.0,0.0
8,2,21.7,25.0,29.6,18.1,0.0,0.04,0.0
8,3,20.6,25.3,29.3,13.7,2.0,0.14,1.0
9,1,20.7,23.8,27.4,16.3,2.0,0.25,2.0
9,2,19.1,22.8,27.5,15.2,2.0,0.19,1.0
9,3,18.0,21.6,26.0,13.6,2.0,0.21,6.0
10,1,16.9,20.5,25.4,13.4,2.0,0.21,3.0
10,2,15.8,18.9,23.2,13.4,4.0,0.39,9.0
10,3,14.0,17.7,21.7,12.1,3.0,0.29,3.0
11,1,14.1,17.2,21.2,12.1,3.0,0.33,10.0
11,2,12.2,15.7,19.8,12.3,4.0,0.39,8.0
11,3,11.4,14.6,18.9,16.2,4.0,0.43,7.0
12,1,10.1,13.6,17.0,14.7,5.0,0.47,13.0
12,2,9.9,13.3,16.4,15.0,6.0,0.55,29.0
12,3,7.8,11.2,15.2,13.9,5.0,0.47,20.0
