m,m3,coco,coco_pct
9,3,26.0,0.0
6,2,5.0,0.002
9,3,8.0,0.002
7,2,4.0,0.0
10,1,12.0,0.0
9,3,1.0,0.471
5,3,7.0,0.014
10,2,3.0,0.29
4,3,23.0,0.0
1,1,19.0,0.0
7,3,25.0,0.0
9,1,19.0,0.0
7,2,7.0,0.001
4,2,19.0,0.0
8,1,7.0,0.0
4,3,19.0,0.0
11,2,8.0,0.02
10,2,18.0,0.011
7,2,9.0,0.0
3,2,19.0,0.0
8,2,26.0,0.0
5,2,18.0,0.0
7,3,12.0,0.0
2,3,19.0,0.0
1,3,18.0,0.004
5,3,23.0,0.0
1,2,10.0,0.0
1,2,4.0,0.095
10,1,8.0,0.003
9,3,9.0,0.002
11,3,12.0,0.0
4,1,7.0,0.054
10,3,5.0,0.034
6,3,9.0,0.0
4,3,9.0,0.002
1,3,25.0,0.002
9,3,23.0,0.001
10,3,10.0,0.0
6,3,25.0,0.0
7,2,2.0,0.134
1,1,10.0,0.0
5,1,7.0,0.017
7,1,23.0,0.0
6,2,2.0,0.246
2,2,19.0,0.0
11,1,1.0,0.166
8,3,18.0,0.003
4,3,4.0,0.051
1,2,9.0,0.014
5,2,4.0,0.014
5,2,23.0,0.0
4,3,2.0,0.257
5,2,8.0,0.005
1,2,3.0,0.444
7,2,8.0,0.001
3,1,17.0,0.021
8,1,9.0,0.0
4,2,5.0,0.014
1,3,23.0,0.001
7,3,4.0,0.0
7,2,3.0,0.032
3,3,9.0,0.004
4,3,26.0,0.0
3,2,12.0,0.0
4,3,18.0,0.0
9,1,9.0,0.0
8,1,12.0,0.0
2,3,9.0,0.012
11,2,2.0,0.247
4,1,3.0,0.305
4,1,1.0,0.217
10,1,1.0,0.373
9,3,4.0,0.005
12,3,12.0,0.0
3,2,2.0,0.28
12,1,2.0,0.285
8,3,26.0,0.0
6,2,26.0,0.0
12,3,7.0,0.096
8,3,25.0,0.0
5,3,3.0,0.179
7,3,1.0,0.869
8,3,23.0,0.001
4,2,18.0,0.0
9,2,3.0,0.113
2,2,26.0,0.0
1,2,23.0,0.0
1,3,26.0,0.001
11,1,26.0,0.0
2,1,12.0,0.005
8,2,3.0,0.009
3,2,17.0,0.039
10,2,2.0,0.365
9,2,10.0,0.0
11,3,19.0,0.0
8,3,2.0,0.15
6,2,12.0,0.0
8,2,19.0,0.0
11,2,23.0,0.001
7,2,10.0,0.0
5,2,3.0,0.211
8,1,17.0,0.0
12,1,9.0,0.001
12,2,10.0,0.0
8,3,7.0,0.007
5,1,9.0,0.012
3,1,23.0,0.0
4,1,5.0,0.012
3,2,1.0,0.154
6,1,1.0,0.58
3,3,2.0,0.274
2,1,10.0,0.0
10,3,25.0,0.01
9,3,17.0,0.023
10,2,12.0,0.0
11,1,7.0,0.029
3,3,19.0,0.0
1,3,1.0,0.118
4,2,3.0,0.241
9,2,8.0,0.003
8,1,18.0,0.0
7,3,10.0,0.0
2,1,26.0,0.0
8,1,25.0,0.0
8,1,8.0,0.0
2,2,9.0,0.015
8,2,4.0,0.0
4,3,1.0,0.347
7,2,1.0,0.831
7,1,9.0,0.001
7,1,4.0,0.0
12,2,3.0,0.38
1,1,8.0,0.047
11,1,3.0,0.359
2,1,2.0,0.253
9,1,2.0,0.306
12,3,26.0,0.0
5,3,8.0,0.011
7,1,2.0,0.112
10,2,26.0,0.001
11,3,25.0,0.001
6,1,17.0,0.001
10,3,19.0,0.0
2,1,7.0,0.06
4,3,25.0,0.0
3,1,4.0,0.033
6,1,18.0,0.0
4,3,12.0,0.0
10,3,1.0,0.225
11,3,7.0,0.038
4,1,26.0,0.0
3,1,2.0,0.292
3,1,19.0,0.0
6,3,1.0,0.837
9,1,3.0,0.094
4,2,9.0,0.001
5,3,19.0,0.0
2,1,1.0,0.166
9,3,18.0,0.004
6,1,2.0,0.287
5,2,1.0,0.519
5,1,18.0,0.005
5,2,7.0,0.005
11,2,26.0,0.0
10,1,3.0,0.181
2,1,4.0,0.039
4,3,7.0,0.016
1,2,25.0,0.004
11,2,5.0,0.027
12,2,26.0,0.0
3,1,7.0,0.05
10,1,17.0,0.051
1,3,7.0,0.069
4,1,8.0,0.012
12,3,10.0,0.0
2,1,17.0,0.039
9,2,1.0,0.465
6,1,9.0,0.008
12,2,5.0,0.026
6,2,25.0,0.0
8,2,7.0,0.001
5,2,5.0,0.014
7,3,5.0,0.0
8,1,4.0,0.0
6,3,4.0,0.0
11,3,23.0,0.001
11,2,3.0,0.411
1,1,23.0,0.0
4,1,10.0,0.0
3,3,23.0,0.0
6,1,7.0,0.003
1,3,17.0,0.033
6,1,5.0,0.005
8,2,25.0,0.0
10,3,12.0,0.0
7,3,18.0,0.0
9,1,5.0,0.017
12,1,19.0,0.0
12,1,23.0,0.001
4,3,8.0,0.007
11,3,1.0,0.097
1,1,4.0,0.041
1,2,8.0,0.036
9,3,5.0,0.01
10,2,1.0,0.187
12,3,8.0,0.038
4,3,10.0,0.0
12,2,2.0,0.237
9,3,25.0,0.0
11,2,1.0,0.155
10,3,7.0,0.038
1,1,25.0,0.005
9,1,26.0,0.0
4,1,17.0,0.025
5,3,2.0,0.27
9,1,7.0,0.005
8,3,5.0,0.009
11,2,25.0,0.002
3,1,25.0,0.001
10,2,23.0,0.001
5,3,9.0,0.009
5,2,12.0,0.0
1,1,17.0,0.015
6,1,12.0,0.0
5,3,26.0,0.0
7,1,25.0,0.0
10,1,19.0,0.0
8,3,4.0,0.0
9,2,12.0,0.0
5,1,23.0,0.0
4,2,26.0,0.0
7,2,25.0,0.001
1,2,1.0,0.087
10,1,25.0,0.0
12,3,18.0,0.002
9,2,2.0,0.353
4,2,12.0,0.0
3,3,3.0,0.272
5,2,25.0,0.0
7,3,7.0,0.0
4,2,1.0,0.324
2,3,12.0,0.0
