m,coco,coco_pct
2,25.0,0.013
8,13.0,0.0
11,18.0,0.002
1,9.0,0.021
10,18.0,0.003
1,8.0,0.041
4,25.0,0.01
5,3.0,0.261
8,9.0,0.0
7,8.0,0.001
4,23.0,0.001
2,18.0,0.0
9,7.0,0.03
12,9.0,0.016
6,23.0,0.003
10,9.0,0.008
10,13.0,0.0
4,9.0,0.001
7,26.0,0.0
4,27.0,0.0
2,1.0,0.255
6,17.0,0.0
11,12.0,0.0
9,25.0,0.021
12,3.0,0.232
5,26.0,0.0
6,3.0,0.152
6,5.0,0.0
6,27.0,0.0
3,1.0,0.199
9,8.0,0.009
6,13.0,0.0
9,18.0,0.005
12,2.0,0.277
3,17.0,0.0
11,27.0,0.01
10,26.0,0.001
3,5.0,0.002
10,3.0,0.186
2,27.0,0.0
9,27.0,0.0
10,1.0,0.313
5,8.0,0.007
4,2.0,0.31
9,17.0,0.0
8,25.0,0.008
7,17.0,0.0
2,3.0,0.227
1,12.0,0.0
8,8.0,0.002
4,13.0,0.0
6,1.0,0.407
5,1.0,0.177
3,7.0,0.069
8,18.0,0.007
2,13.0,0.0
7,4.0,0.006
12,4.0,0.131
1,13.0,0.0
4,18.0,0.0
4,8.0,0.013
7,2.0,0.237
3,9.0,0.003
5,12.0,0.0
1,27.0,0.0
12,12.0,0.0
11,5.0,0.003
9,12.0,0.0
4,1.0,0.227
9,4.0,0.035
3,25.0,0.015
7,1.0,0.701
2,4.0,0.103
5,17.0,0.0
3,13.0,0.0
10,17.0,0.0
11,3.0,0.249
12,26.0,0.0
1,26.0,0.0
1,5.0,0.006
11,8.0,0.04
10,8.0,0.019
3,27.0,0.0
2,12.0,0.0
8,27.0,0.001
6,12.0,0.0
12,13.0,0.0
5,19.0,0.0
1,3.0,0.221
9,9.0,0.002
8,2.0,0.386
11,23.0,0.005
8,19.0,0.0
8,23.0,0.002
8,12.0,0.0
9,26.0,0.001
12,27.0,0.0
7,3.0,0.048
5,9.0,0.0
9,3.0,0.202
4,3.0,0.23
11,25.0,0.058
5,23.0,0.002
1,23.0,0.001
6,7.0,0.015
5,5.0,0.0
7,5.0,0.0
8,4.0,0.007
10,23.0,0.003
11,13.0,0.0
12,23.0,0.003
11,9.0,0.015
1,19.0,0.0
11,2.0,0.296
12,8.0,0.038
12,25.0,0.04
7,27.0,0.0
4,7.0,0.063
7,7.0,0.003
10,7.0,0.045
7,19.0,0.0
7,13.0,0.0
1,25.0,0.021
11,19.0,0.0
10,2.0,0.328
12,19.0,0.0
12,7.0,0.105
7,12.0,0.0
9,5.0,0.001
9,23.0,0.004
6,19.0,0.0
5,13.0,0.0
10,27.0,0.002
2,26.0,0.0
11,17.0,0.0
7,23.0,0.0
10,25.0,0.033
3,8.0,0.017
10,4.0,0.057
8,5.0,0.0
3,2.0,0.349
3,19.0,0.0
9,19.0,0.0
1,7.0,0.106
5,18.0,0.002
5,4.0,0.107
12,18.0,0.002
4,4.0,0.141
3,26.0,0.0
8,7.0,0.003
1,4.0,0.115
5,2.0,0.393
1,17.0,0.0
8,1.0,0.504
3,3.0,0.232
6,4.0,0.026
2,5.0,0.008
10,12.0,0.0
4,26.0,0.0
7,18.0,0.001
12,5.0,0.004
6,25.0,0.002
8,3.0,0.079
6,2.0,0.387
1,1.0,0.21
4,5.0,0.002
3,18.0,0.0
2,9.0,0.006
8,26.0,0.0
6,26.0,0.0
3,4.0,0.114
9,13.0,0.0
12,1.0,0.153
6,8.0,0.006
11,7.0,0.079
4,17.0,0.0
2,17.0,0.0
9,2.0,0.389
8,17.0,0.001
10,19.0,0.0
5,25.0,0.011
2,2.0,0.307
4,19.0,0.0
2,19.0,0.0
7,25.0,0.004
9,1.0,0.301
6,18.0,0.001
2,8.0,0.015
5,27.0,0.0
7,9.0,0.0
5,7.0,0.04
11,1.0,0.142
3,23.0,0.001
1,2.0,0.256
11,26.0,0.0
2,23.0,0.001
12,17.0,0.0
3,12.0,0.0
6,9.0,0.0
4,12.0,0.0
10,5.0,0.002
2,7.0,0.065
1,18.0,0.002
11,4.0,0.101
