m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,6.4,11.1,15.8,8.2,4.0,0.43,52.0
1,2,5.4,10.5,14.7,8.1,4.0,0.44,37.0
1,3,6.4,10.5,14.9,10.3,6.0,0.54,70.0
2,1,6.3,10.8,15.8,9.6,2.0,0.22,18.0
2,2,6.1,11.0,16.1,8.3,2.0,0.21,10.0
2,3,7.3,12.3,16.7,8.3,4.0,0.39,24.0
3,1,7.5,12.3,17.0,7.5,4.0,0.38,26.0
3,2,8.6,13.0,17.1,9.3,3.0,0.35,18.0
3,3,8.5,13.4,18.0,8.3,3.0,0.27,10.0
4,1,10.2,14.8,19.6,8.8,3.0,0.26,9.0
4,2,11.0,16.0,20.3,9.1,3.0,0.31,10.0
4,3,12.4,17.4,22.7,7.7,3.0,0.26,4.0
5,1,13.9,18.6,23.3,7.5,3.0,0.3,9.0
5,2,15.3,19.9,24.6,8.4,3.0,0.3,12.0
5,3,16.4,21.3,26.6,8.4,2.0,0.17,3.0
6,1,18.0,23.6,28.4,7.5,1.0,0.1,0.0
6,2,19.5,24.4,29.3,7.4,2.0,0.17,2.0
6,3,21.4,27.1,32.1,7.7,1.0,0.06,0.0
7,1,22.1,27.4,32.7,9.5,1.0,0.06,0.0
7,2,21.7,27.2,33.3,9.7,0.0,0.03,0.0
7,3,22.8,28.7,34.6,8.9,0.0,0.0,0.0
8,1,22.5,28.3,34.3,8.0,0.0,0.05,1.0
8,2,22.5,28.0,33.9,8.5,1.0,0.07,0.0
8,3,22.0,27.6,33.2,7.4,1.0,0.1,2.0
9,1,21.0,25.7,30.8,9.0,1.0,0.12,0.0
9,2,19.8,24.4,30.4,9.8,2.0,0.21,11.0
9,3,18.1,22.6,27.0,10.7,2.0,0.23,17.0
10,1,16.7,21.1,26.1,8.7,3.0,0.29,36.0
10,2,15.1,19.3,24.5,6.6,2.0,0.22,14.0
10,3,14.4,18.9,24.2,5.3,2.0,0.15,7.0
11,1,14.1,18.4,23.5,5.6,3.0,0.32,41.0
11,2,11.9,16.2,20.6,9.5,5.0,0.48,72.0
11,3,10.6,14.7,18.6,10.5,5.0,0.51,75.0
12,1,10.4,14.0,17.4,10.7,6.0,0.65,99.0
12,2,7.7,11.9,17.2,7.2,5.0,0.49,69.0
12,3,7.3,11.4,16.2,7.5,3.0,0.25,15.0
