m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,6.7,13.2,8.9,85.3,6.1,0.2
1,1,1,7.0,13.0,8.8,85.0,8.3,0.23
1,1,2,6.0,12.5,8.8,87.5,4.7,0.2
1,1,3,5.7,12.3,8.4,86.8,6.1,0.2
1,1,4,5.5,12.0,8.0,90.5,6.5,0.27
1,1,5,5.0,12.0,8.5,87.8,6.1,0.2
1,1,6,5.3,13.3,9.4,85.5,7.9,0.3
1,1,7,5.5,14.0,10.0,84.8,6.5,0.23
1,1,8,7.0,14.5,11.0,82.8,6.5,0.3
1,1,9,9.5,15.4,12.5,76.3,8.3,0.27
1,1,10,12.0,16.0,14.0,70.0,8.8,0.17
1,1,11,12.5,17.0,14.5,68.3,11.1,0.23
1,1,12,13.1,17.4,15.3,63.3,14.8,0.27
1,1,13,13.0,17.0,15.3,64.3,13.5,0.3
1,1,14,13.0,17.0,15.3,63.3,8.9,0.23
1,1,15,12.8,16.7,14.9,64.3,8.8,0.2
1,1,16,11.0,15.5,13.0,73.8,7.9,0.27
1,1,17,9.0,14.5,11.5,78.3,4.3,0.3
1,1,18,8.1,14.5,10.8,77.0,6.1,0.23
1,1,19,8.5,14.0,10.3,81.3,5.2,0.27
1,1,20,8.0,14.0,10.3,82.8,4.3,0.2
1,1,21,7.3,13.3,9.7,85.3,7.9,0.17
1,1,22,6.5,12.7,9.5,85.3,6.1,0.2
1,1,23,6.5,13.0,9.0,84.8,4.2,0.17
1,2,0,4.8,9.8,7.8,85.3,5.2,0.3
1,2,1,4.5,10.0,7.7,86.3,5.6,0.3
1,2,2,4.0,11.0,7.3,88.0,6.5,0.33
1,2,3,3.8,10.6,7.2,88.5,6.5,0.23
1,2,4,4.0,10.5,6.8,87.8,6.1,0.23
1,2,5,3.5,11.0,6.8,89.0,7.0,0.23
1,2,6,3.3,10.6,7.2,83.0,6.5,0.27
1,2,7,3.0,11.0,7.5,82.3,7.0,0.27
1,2,8,5.0,11.5,8.8,78.8,6.5,0.33
1,2,9,9.8,13.6,11.9,72.5,8.3,0.3
1,2,10,11.0,15.0,13.0,66.8,9.3,0.27
1,2,11,12.0,16.0,14.0,61.3,12.6,0.23
1,2,12,12.1,15.8,14.0,57.5,13.5,0.17
1,2,13,12.0,15.5,14.0,56.8,11.6,0.26
1,2,14,12.0,16.0,14.0,57.8,12.6,0.3
1,2,15,11.8,15.4,13.7,58.5,9.8,0.3
1,2,16,11.0,14.0,12.0,69.0,9.2,0.33
1,2,17,9.0,12.0,10.8,74.8,7.4,0.37
1,2,18,8.1,12.6,10.6,78.5,5.6,0.3
1,2,19,8.0,12.4,10.3,82.3,7.4,0.33
1,2,20,7.0,12.0,9.8,85.3,9.2,0.27
1,2,21,6.6,11.9,9.2,84.5,7.4,0.33
1,2,22,6.0,11.5,8.8,83.3,6.1,0.37
1,2,23,5.0,10.5,8.0,84.3,5.6,0.33
1,3,0,5.0,11.8,8.5,82.5,9.2,0.21
