m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,12.4,14.6,17.5,0.0,8.4,0.33
1,1,2,11.0,14.1,16.0,0.0,8.5,0.33
1,1,3,11.4,14.1,17.5,0.1,9.1,0.67
1,1,4,12.0,14.8,17.5,2.8,11.5,0.67
1,1,5,13.2,15.2,17.5,1.9,12.4,0.67
1,1,6,12.2,14.6,16.5,0.0,11.5,0.33
1,1,7,12.0,14.1,17.5,0.0,8.3,0.33
1,1,8,12.0,14.2,16.5,0.1,8.8,0.67
1,1,9,11.0,13.4,16.5,0.0,7.6,0.33
1,1,10,11.0,14.1,16.5,4.4,8.5,0.67
1,2,11,12.4,13.9,16.1,0.4,8.9,0.67
1,2,12,12.0,14.4,16.5,0.3,10.3,1.0
1,2,13,12.3,14.1,16.0,0.5,12.6,0.67
1,2,14,10.3,12.1,14.5,1.1,11.3,0.67
1,2,15,10.0,13.0,16.3,3.4,13.7,1.0
1,2,16,10.4,12.4,15.0,0.1,13.8,0.67
1,2,17,10.8,12.8,16.0,0.0,11.2,0.33
1,2,18,10.5,13.4,16.3,0.0,8.6,0.33
1,2,19,10.7,12.7,14.7,0.0,13.4,0.0
1,2,20,11.0,12.8,15.0,0.0,14.5,0.33
1,3,21,10.0,13.4,16.6,3.4,9.6,0.67
1,3,22,11.0,13.8,16.0,0.4,9.3,0.67
1,3,23,10.5,13.4,16.0,0.0,12.6,0.33
1,3,24,10.0,12.9,15.7,0.0,12.3,0.33
1,3,25,10.2,13.9,16.6,0.8,12.9,0.67
1,3,26,11.0,14.3,16.6,0.5,14.1,1.0
1,3,27,10.3,13.2,15.7,0.0,13.9,0.33
1,3,28,9.0,11.9,14.5,0.0,11.8,0.33
1,3,29,10.0,12.4,15.1,0.0,11.4,0.33
1,3,30,11.5,13.7,16.0,1.0,15.5,0.67
1,3,31,10.5,12.8,15.8,0.0,15.1,0.33
2,1,1,10.9,13.8,16.0,0.0,13.8,0.33
2,1,2,11.5,14.3,17.0,0.0,11.2,0.0
2,1,3,11.9,13.7,16.7,0.0,8.6,0.33
2,1,4,11.2,13.8,16.5,4.2,14.1,0.67
2,1,5,11.6,14.0,16.5,0.2,23.2,0.67
2,1,6,10.9,12.5,14.6,0.0,17.4,0.33
2,1,7,10.0,12.6,14.5,0.0,15.0,0.0
2,1,8,10.0,12.4,15.0,0.0,13.3,0.33
2,1,9,8.5,11.8,14.8,1.6,16.2,0.67
2,1,10,8.9,12.4,16.0,0.0,13.5,0.0
2,2,11,9.9,12.9,15.5,0.0,8.5,0.0
2,2,12,11.4,13.4,16.0,0.0,11.5,0.33
2,2,13,11.0,13.0,16.5,0.0,10.6,0.33
2,2,14,10.5,13.5,16.5,0.0,12.7,0.0
2,2,15,10.5,12.8,15.1,3.1,13.5,0.67
2,2,16,9.0,12.5,15.5,0.0,9.0,0.33
2,2,17,10.0,13.3,16.5,0.0,11.1,0.33
2,2,18,10.4,13.9,17.0,0.0,11.7,0.33
2,2,19,11.0,14.1,16.6,0.0,14.6,0.0
2,2,20,11.4,13.8,16.0,0.0,10.3,0.33
2,3,21,10.7,13.4,15.6,0.0,11.9,0.0
2,3,22,11.5,14.0,17.0,0.0,12.3,0.33
2,3,23,9.9,13.3,16.5,0.0,9.5,0.0
2,3,24,11.5,14.1,16.1,0.0,10.6,0.33
2,3,25,12.0,14.4,17.5,0.0,10.1,0.0
2,3,26,12.0,14.6,17.3,0.0,14.0,0.33
2,3,27,12.6,14.8,17.0,1.3,12.8,1.0
2,3,28,12.3,14.5,17.0,0.0,13.5,0.33
2,3,29,12.8,14.6,16.7,0.0,20.6,0.0
3,1,1,12.6,15.6,17.7,0.0,12.9,0.33
3,1,2,12.1,14.8,16.6,0.3,9.4,0.67
3,1,3,11.7,14.7,17.6,0.0,17.5,0.33
3,1,4,12.0,14.5,16.5,0.4,13.2,1.0
3,1,5,11.7,14.5,17.5,10.8,12.1,0.67
3,1,6,12.0,14.7,17.0,0.7,9.0,0.67
3,1,7,13.0,15.4,18.5,0.0,12.1,0.33
3,1,8,12.4,15.1,17.5,0.0,13.8,0.33
3,1,9,11.9,15.4,18.5,0.0,10.5,0.33
3,1,10,12.4,15.4,18.5,0.0,12.1,0.0
3,2,11,12.5,15.6,18.8,0.0,16.2,0.33
3,2,12,12.5,14.6,18.0,0.0,15.9,0.33
