m,coco,coco_pct
9,27.0,0.001
12,2.0,0.395
10,3.0,0.112
6,27.0,0.006
1,26.0,0.0
4,7.0,0.049
9,26.0,0.0
8,25.0,0.01
6,1.0,0.47
12,18.0,0.0
3,9.0,0.005
12,17.0,0.0
1,9.0,0.018
1,18.0,0.0
6,9.0,0.002
6,12.0,0.0
11,26.0,0.0
10,9.0,0.006
8,5.0,0.0
7,17.0,0.0
3,18.0,0.0
2,8.0,0.024
8,27.0,0.001
11,7.0,0.092
2,4.0,0.055
1,3.0,0.193
2,12.0,0.0
9,18.0,0.003
8,17.0,0.0
5,4.0,0.047
3,14.0,0.0
8,18.0,0.002
9,5.0,0.001
10,25.0,0.019
6,14.0,0.0
8,9.0,0.0
3,2.0,0.409
8,7.0,0.004
7,1.0,0.678
12,14.0,0.0
9,7.0,0.019
2,9.0,0.005
10,7.0,0.032
1,14.0,0.0
5,7.0,0.034
2,26.0,0.0
11,18.0,0.001
8,8.0,0.0
4,1.0,0.199
7,18.0,0.002
1,4.0,0.038
9,25.0,0.025
5,18.0,0.001
11,2.0,0.418
6,26.0,0.0
10,8.0,0.015
4,12.0,0.0
7,25.0,0.009
4,14.0,0.0
10,14.0,0.0
7,3.0,0.018
2,5.0,0.061
3,17.0,0.0
5,14.0,0.0
7,27.0,0.001
7,26.0,0.0
12,9.0,0.018
11,12.0,0.0
11,4.0,0.025
12,8.0,0.056
6,2.0,0.433
8,2.0,0.349
7,9.0,0.0
7,14.0,0.0
8,12.0,0.0
7,5.0,0.0
1,8.0,0.048
4,25.0,0.005
11,8.0,0.047
12,4.0,0.024
8,26.0,0.0
6,8.0,0.002
12,1.0,0.094
11,3.0,0.164
2,3.0,0.204
1,1.0,0.156
11,14.0,0.0
4,9.0,0.004
3,1.0,0.163
9,2.0,0.38
3,27.0,0.001
4,8.0,0.008
10,5.0,0.002
9,17.0,0.0
2,1.0,0.193
1,12.0,0.001
3,8.0,0.019
7,12.0,0.0
6,25.0,0.021
5,3.0,0.17
10,2.0,0.464
10,26.0,0.0
2,17.0,0.0
5,8.0,0.003
7,4.0,0.0
11,17.0,0.0
10,27.0,0.001
1,5.0,0.062
3,7.0,0.091
10,12.0,0.0
2,18.0,0.0
5,2.0,0.483
7,8.0,0.0
12,7.0,0.102
3,12.0,0.0
5,26.0,0.0
11,27.0,0.003
9,12.0,0.0
11,25.0,0.026
9,9.0,0.009
4,3.0,0.198
1,7.0,0.114
3,3.0,0.213
9,1.0,0.46
6,18.0,0.002
2,14.0,0.0
6,17.0,0.0
6,5.0,0.001
9,8.0,0.01
12,25.0,0.018
4,27.0,0.0
10,17.0,0.0
2,7.0,0.074
1,2.0,0.344
4,26.0,0.0
9,3.0,0.08
2,25.0,0.006
4,5.0,0.01
4,4.0,0.072
6,3.0,0.048
3,5.0,0.029
12,5.0,0.069
5,1.0,0.246
5,9.0,0.0
1,25.0,0.026
5,27.0,0.001
8,14.0,0.0
4,2.0,0.453
10,4.0,0.016
8,3.0,0.021
12,3.0,0.223
5,12.0,0.0
2,27.0,0.001
11,1.0,0.149
1,17.0,0.0
5,25.0,0.013
7,2.0,0.289
10,18.0,0.001
6,4.0,0.005
8,1.0,0.612
3,26.0,0.0
5,5.0,0.002
9,14.0,0.0
6,7.0,0.011
9,4.0,0.013
3,4.0,0.067
3,25.0,0.004
2,2.0,0.379
4,18.0,0.0
1,27.0,0.0
7,7.0,0.002
12,27.0,0.0
12,12.0,0.0
8,4.0,0.001
5,17.0,0.0
4,17.0,0.0
12,26.0,0.0
11,5.0,0.058
11,9.0,0.019
10,1.0,0.333
