m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,5.4,10.3,7.2,88.3,7.4,0.17
1,1,1,5.0,10.5,7.3,88.0,6.5,0.17
1,1,2,5.0,10.5,7.0,89.3,6.5,0.17
1,1,3,4.5,9.9,7.0,89.8,7.0,0.1
1,1,4,4.5,10.0,7.0,90.0,7.5,0.1
1,1,5,4.0,10.0,7.0,88.5,7.9,0.13
1,1,6,4.3,9.1,6.5,88.3,7.4,0.07
1,1,7,6.0,10.0,8.0,86.8,6.5,0.13
1,1,8,8.5,13.0,10.5,80.5,6.5,0.07
1,1,9,11.2,15.5,13.3,73.5,5.6,0.07
1,1,10,13.0,17.0,15.0,67.5,5.6,0.17
1,1,11,13.0,18.0,15.5,60.5,6.5,0.13
1,1,12,13.0,18.3,15.6,57.8,7.4,0.23
1,1,13,13.0,18.0,15.5,61.3,8.9,0.23
1,1,14,13.0,17.0,15.0,64.3,7.4,0.2
1,1,15,11.6,16.1,13.8,69.5,5.2,0.17
1,1,16,9.5,14.0,11.8,78.5,4.7,0.1
1,1,17,8.1,13.5,10.5,81.0,4.7,0.1
1,1,18,7.3,12.3,9.5,83.5,4.7,0.07
1,1,19,6.5,11.5,8.8,84.8,6.5,0.13
1,1,20,6.5,11.0,8.5,84.5,6.1,0.17
1,1,21,6.1,11.3,8.1,87.3,6.5,0.17
1,1,22,6.0,11.0,8.0,87.8,5.6,0.17
1,1,23,5.5,10.5,7.5,87.5,5.6,0.13
1,2,0,5.0,9.7,7.2,83.5,7.4,0.23
1,2,1,5.0,10.0,7.3,84.0,7.9,0.23
1,2,2,4.5,9.5,7.0,84.0,6.5,0.2
1,2,3,4.0,9.4,6.9,84.8,7.4,0.27
1,2,4,4.0,9.0,6.8,85.5,8.9,0.17
1,2,5,4.0,9.5,6.8,88.0,7.9,0.17
1,2,6,4.8,9.4,6.7,84.0,5.6,0.17
1,2,7,5.5,10.0,7.5,82.3,6.5,0.17
1,2,8,8.5,12.0,10.5,72.3,7.9,0.1
1,2,9,10.2,15.4,13.0,63.0,7.0,0.2
1,2,10,11.0,16.5,13.8,58.3,8.8,0.3
1,2,11,12.0,17.0,14.5,58.0,9.2,0.33
1,2,12,13.3,16.9,14.9,57.5,9.9,0.17
1,2,13,13.5,16.0,14.8,58.3,11.1,0.3
1,2,14,12.5,16.0,14.5,62.3,10.2,0.33
1,2,15,11.1,15.2,13.4,68.0,6.5,0.17
1,2,16,10.0,13.5,11.8,74.8,5.6,0.2
1,2,17,8.0,13.0,10.8,76.8,5.6,0.23
1,2,18,7.2,12.7,10.0,78.3,7.0,0.33
1,2,19,6.0,11.0,8.8,80.5,8.8,0.27
1,2,20,6.0,11.0,9.0,81.8,6.1,0.2
1,2,21,5.6,10.9,8.3,82.0,7.4,0.23
1,2,22,5.0,11.0,8.3,83.3,7.4,0.3
1,2,23,5.0,10.0,7.8,82.0,6.5,0.23
1,3,0,4.3,10.4,7.3,84.0,6.5,0.14
1,3,1,4.0,10.0,7.5,85.5,6.5,0.17
1,3,2,4.0,9.0,7.0,87.0,6.5,0.15
1,3,3,3.8,9.0,6.3,86.5,7.4,0.15
1,3,4,3.0,9.0,6.0,86.5,7.4,0.18
1,3,5,3.0,9.0,5.5,84.0,6.5,0.15
1,3,6,3.2,9.8,6.1,84.5,4.7,0.12
1,3,7,5.0,10.9,7.5,82.0,6.5,0.12
1,3,8,8.0,13.0,11.0,75.5,5.6,0.12
1,3,9,11.2,15.0,12.7,64.0,5.6,0.09
1,3,10,11.0,16.0,13.5,58.0,6.5,0.11
