m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,13.0,15.0,17.5,21.3,4.0,0.36,3.0
1,2,11.8,13.9,16.5,23.3,5.0,0.47,2.0
1,3,12.0,14.2,16.5,23.3,7.0,0.61,15.0
2,1,11.7,13.8,16.5,24.7,3.0,0.3,1.0
2,2,11.4,13.7,16.3,21.1,4.0,0.37,1.0
2,3,12.5,14.8,17.0,25.7,3.0,0.33,1.0
3,1,12.5,15.4,17.8,20.0,3.0,0.27,1.0
3,2,12.6,15.2,17.8,24.9,6.0,0.55,8.0
3,3,13.0,15.6,18.0,23.3,2.0,0.14,2.0
4,1,14.5,16.7,19.0,21.3,3.0,0.25,7.0
4,2,14.9,17.6,20.5,22.8,3.0,0.3,2.0
4,3,15.3,18.3,22.0,23.9,2.0,0.15,0.0
5,1,17.0,19.7,22.5,24.9,3.0,0.3,4.0
5,2,18.2,21.5,25.3,19.6,2.0,0.15,2.0
5,3,19.4,21.6,25.0,24.5,3.0,0.24,2.0
6,1,20.5,23.4,26.5,26.2,1.0,0.13,0.0
6,2,22.0,24.2,27.0,28.7,1.0,0.1,0.0
6,3,23.0,25.5,28.5,34.3,0.0,0.0,0.0
7,1,23.9,26.3,29.5,37.4,0.0,0.0,0.0
7,2,24.0,26.2,29.0,38.0,0.0,0.0,0.0
7,3,24.5,26.9,29.5,38.7,0.0,0.0,0.0
8,1,25.0,27.0,30.0,36.7,0.0,0.0,0.0
8,2,24.5,26.6,29.5,37.1,0.0,0.0,0.0
8,3,24.5,26.7,29.5,30.2,0.0,0.03,0.0
9,1,24.3,26.2,29.0,34.2,1.0,0.07,0.0
9,2,23.3,25.3,28.0,31.1,0.0,0.0,0.0
9,3,22.0,24.2,27.0,26.1,1.0,0.07,0.0
10,1,21.0,23.2,26.3,24.8,0.0,0.0,0.0
10,2,20.0,22.3,25.0,24.0,1.0,0.1,0.0
10,3,18.5,21.1,23.5,22.5,0.0,0.03,0.0
11,1,18.5,20.5,23.0,20.3,1.0,0.1,0.0
11,2,17.0,19.0,21.5,21.1,3.0,0.33,1.0
11,3,15.8,18.2,21.0,17.3,6.0,0.57,4.0
12,1,15.0,17.0,19.0,21.2,6.0,0.58,14.0
12,2,14.0,16.5,18.8,21.5,3.0,0.3,11.0
12,3,13.0,15.3,17.5,20.7,6.0,0.52,6.0
