m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,13.5,15.0,17.5,0.0,15.5,0.33
1,1,2,12.5,15.1,18.0,0.0,17.1,0.0
1,1,3,13.0,15.8,18.0,0.0,21.3,0.33
1,1,4,13.6,15.6,17.5,0.0,21.3,0.33
1,1,5,13.5,16.1,18.0,0.0,19.4,0.33
1,1,6,13.0,15.0,16.5,0.0,22.8,0.33
1,1,7,12.5,13.9,15.2,0.0,21.2,0.33
1,1,8,13.0,14.4,16.0,0.0,22.3,0.33
1,1,9,12.0,13.8,16.5,0.0,21.8,0.33
1,1,10,13.5,15.0,17.5,3.2,27.0,1.0
1,2,11,13.0,14.5,17.5,0.2,20.8,0.67
1,2,12,13.0,15.2,17.0,0.8,20.4,1.0
1,2,13,11.5,14.1,16.5,0.0,25.9,0.33
1,2,14,11.0,13.2,15.0,0.0,22.2,0.33
1,2,15,12.0,14.6,17.0,0.1,24.1,0.67
1,2,16,10.5,13.0,15.5,0.0,22.5,0.33
1,2,17,11.5,13.6,16.5,0.4,24.0,0.67
1,2,18,12.0,15.3,17.0,0.0,25.8,0.0
1,2,19,12.0,13.3,15.0,0.0,26.4,0.33
1,2,20,11.1,13.5,16.0,0.0,22.0,0.33
1,3,21,11.3,13.9,17.0,10.5,18.3,0.67
1,3,22,12.0,14.4,16.5,0.2,25.5,1.0
1,3,23,12.3,14.2,15.5,0.0,23.7,0.0
1,3,24,12.3,13.8,16.0,0.0,23.3,0.33
1,3,25,12.5,14.9,17.0,0.1,23.6,0.67
1,3,26,13.0,15.0,17.0,0.1,21.1,0.67
1,3,27,11.5,14.6,17.0,0.5,28.6,0.67
1,3,28,10.0,12.8,14.5,0.1,20.5,0.5
1,3,29,12.0,14.3,16.5,1.6,24.4,0.5
1,3,30,12.5,14.2,16.0,1.5,30.2,1.0
1,3,31,11.5,13.3,16.0,1.1,18.3,1.0
2,1,1,11.2,13.9,16.5,0.1,26.2,0.5
2,1,2,13.5,14.7,17.0,0.0,19.8,0.0
2,1,3,12.5,14.7,17.0,3.7,18.6,0.5
2,1,4,12.0,13.9,16.5,6.1,27.6,1.0
2,1,5,12.5,15.1,17.3,3.8,33.5,0.5
2,1,6,11.5,14.6,17.5,0.7,21.4,0.5
2,1,7,11.5,13.2,15.0,0.0,25.0,0.0
2,1,8,11.8,13.4,15.0,0.0,26.5,0.0
2,1,9,10.0,12.6,15.0,0.1,23.7,0.5
2,1,10,11.5,14.2,16.5,0.1,22.2,0.5
2,2,11,11.5,14.8,17.5,0.1,19.6,0.5
2,2,12,13.0,14.9,17.5,2.4,18.6,0.5
2,2,13,12.0,14.6,17.0,0.5,17.4,0.5
2,2,14,12.0,14.0,16.5,0.0,19.5,0.0
2,2,15,11.3,13.0,15.0,0.1,29.5,0.5
2,2,16,10.0,13.0,15.5,2.1,21.1,0.5
2,2,17,11.0,13.6,16.0,0.4,22.7,0.5
2,2,18,12.5,14.3,16.5,0.0,26.6,0.0
2,2,19,11.5,14.0,17.0,0.0,21.9,0.0
2,2,20,11.0,14.3,17.5,0.0,14.4,0.0
2,3,21,12.0,14.0,16.5,0.0,16.5,0.0
2,3,22,12.5,15.1,17.5,0.3,15.2,0.5
2,3,23,12.0,14.8,17.5,0.0,15.2,0.0
2,3,24,12.5,14.9,17.5,0.0,16.8,0.0
2,3,25,12.5,15.0,17.5,0.0,28.5,0.0
2,3,26,13.5,15.0,17.0,5.2,25.9,1.0
2,3,27,13.5,15.8,17.5,0.9,26.8,1.0
2,3,28,14.5,16.3,18.0,0.3,28.8,1.0
2,3,29,13.0,15.3,17.0,0.0,38.2,0.0
3,1,1,12.5,15.4,17.0,0.6,24.0,0.5
3,1,2,12.0,14.2,16.5,1.6,18.4,0.5
3,1,3,12.0,14.6,17.5,0.2,23.2,0.5
3,1,4,13.5,15.0,17.0,0.0,21.4,0.0
3,1,5,13.0,15.5,17.5,0.9,20.7,0.5
3,1,6,13.0,15.6,18.0,0.5,21.0,1.0
3,1,7,13.0,15.7,18.5,0.0,16.4,0.0
3,1,8,13.5,15.3,17.5,0.8,17.0,1.0
3,1,9,12.0,15.6,18.0,0.0,17.4,0.0
3,1,10,13.5,16.0,18.5,0.0,22.4,0.0
3,2,11,11.5,15.6,18.0,0.2,24.2,0.5
3,2,12,12.0,14.9,17.5,5.4,23.7,1.0
3,2,13,13.5,15.7,18.0,0.4,25.4,1.0
3,2,14,13.0,15.2,17.0,0.2,28.5,0.5
3,2,15,13.0,15.3,18.0,0.8,23.3,0.5
3,2,16,12.5,15.1,18.0,1.1,27.5,0.5
3,2,17,12.0,15.2,18.5,1.4,25.4,0.5
3,2,18,13.5,15.4,17.5,0.0,35.1,0.0
3,2,19,12.5,14.3,16.0,0.5,23.7,1.0
3,2,20,12.5,14.5,17.0,2.9,23.0,0.5
3,3,21,11.5,15.4,17.5,0.0,20.9,0.0
3,3,22,14.0,16.4,18.0,0.2,23.3,0.5
3,3,23,12.0,15.4,18.0,0.2,22.3,0.5
3,3,24,13.0,14.3,16.5,1.8,27.7,0.5
3,3,25,13.5,16.2,18.5,0.0,26.1,0.0
3,3,26,15.0,16.3,18.0,0.0,23.3,0.0
3,3,27,14.5,16.3,19.0,0.0,19.9,0.0
3,3,28,13.0,16.0,18.5,0.0,23.5,0.0
3,3,29,13.5,15.1,16.5,0.0,30.9,0.0
3,3,30,13.0,14.8,17.5,0.0,22.3,0.0
3,3,31,13.0,15.6,18.0,0.0,20.6,0.0
4,1,1,15.0,16.3,19.0,0.0,21.5,0.0
4,1,2,14.5,16.7,20.0,0.0,20.8,0.0
4,1,3,14.5,16.8,20.5,0.0,20.2,0.0
4,1,4,15.0,17.2,19.5,0.7,21.1,0.5
4,1,5,15.5,17.6,20.5,0.0,20.4,0.0
4,1,6,14.5,16.8,19.0,1.3,24.8,0.5
4,1,7,14.5,16.3,19.0,1.8,20.7,0.5
4,1,8,14.5,16.3,18.5,2.7,22.4,0.5
4,1,9,14.0,16.0,18.5,0.5,26.7,0.5
4,1,10,14.0,16.6,19.0,0.0,26.8,0.0
4,2,11,14.0,16.1,18.5,0.1,33.4,0.5
4,2,12,14.5,16.8,19.5,0.7,24.5,0.5
4,2,13,15.0,17.5,20.5,0.1,21.2,0.5
4,2,14,15.5,18.0,21.5,0.0,20.7,0.0
4,2,15,15.5,18.3,21.5,0.0,20.7,0.0
4,2,16,14.5,17.5,20.0,0.0,22.6,0.0
4,2,17,15.5,17.7,20.0,0.2,25.9,0.5
4,2,18,15.5,18.3,21.0,0.0,21.2,0.0
4,2,19,14.5,17.7,20.5,0.1,22.9,0.5
4,2,20,14.8,17.3,20.5,0.5,30.4,0.5
4,3,21,13.5,16.7,20.0,0.0,24.5,0.0
4,3,22,15.0,17.4,20.0,0.3,20.4,1.0
4,3,23,14.5,17.7,21.0,0.0,23.2,0.0
4,3,24,14.9,18.3,21.5,0.0,21.3,0.0
4,3,25,15.0,18.1,22.5,0.0,25.8,0.0
4,3,26,16.5,18.5,22.0,0.1,23.3,0.5
4,3,27,15.5,18.3,22.0,0.0,21.3,0.0
4,3,28,15.5,18.6,22.5,0.0,30.9,0.0
