m,m3,coco,coco_pct
9,3,17.0,0.0
12,2,2.0,0.274
5,3,5.0,0.0
7,2,5.0,0.0
12,2,17.0,0.0
6,2,4.0,0.013
9,1,3.0,0.028
10,2,23.0,0.0
3,1,3.0,0.275
6,1,5.0,0.0
8,2,10.0,0.0
2,2,1.0,0.275
8,2,8.0,0.0
1,2,2.0,0.329
4,3,27.0,0.0
1,3,3.0,0.253
11,1,2.0,0.344
12,3,1.0,0.134
12,3,3.0,0.295
11,1,9.0,0.001
2,2,9.0,0.011
8,2,27.0,0.0
2,3,17.0,0.0
6,3,4.0,0.003
8,1,1.0,0.949
4,1,25.0,0.002
7,1,8.0,0.0
12,2,3.0,0.25
1,2,25.0,0.007
10,3,3.0,0.089
10,2,26.0,0.001
6,3,10.0,0.0
9,2,25.0,0.001
1,2,18.0,0.0
10,1,7.0,0.014
3,1,8.0,0.026
5,3,10.0,0.0
4,1,18.0,0.001
7,1,3.0,0.008
12,1,18.0,0.0
8,1,23.0,0.0
10,3,7.0,0.018
1,2,23.0,0.001
12,2,18.0,0.004
7,3,26.0,0.0
7,2,18.0,0.0
4,1,17.0,0.0
5,1,9.0,0.001
11,1,17.0,0.0
2,2,26.0,0.0
4,1,2.0,0.316
6,2,7.0,0.016
9,3,23.0,0.0
7,2,25.0,0.0
5,2,7.0,0.001
1,3,4.0,0.11
6,2,27.0,0.0
4,1,26.0,0.0
7,1,2.0,0.092
4,3,23.0,0.0
2,2,25.0,0.006
12,1,27.0,0.0
6,3,3.0,0.01
8,3,2.0,0.15
4,2,17.0,0.0
9,1,7.0,0.003
4,3,8.0,0.0
12,3,9.0,0.018
4,2,3.0,0.234
12,2,26.0,0.0
3,3,25.0,0.002
9,3,9.0,0.0
9,2,4.0,0.006
4,2,7.0,0.022
9,2,26.0,0.0
4,2,26.0,0.001
7,1,23.0,0.0
10,1,4.0,0.008
6,3,8.0,0.0
2,2,23.0,0.001
3,1,17.0,0.0
10,3,17.0,0.0
2,1,2.0,0.375
11,2,10.0,0.0
11,2,7.0,0.045
6,2,1.0,0.461
11,1,25.0,0.004
8,1,9.0,0.0
4,2,2.0,0.283
12,2,8.0,0.076
3,1,26.0,0.0
3,2,10.0,0.0
6,2,8.0,0.001
4,1,8.0,0.041
5,3,25.0,0.001
4,2,23.0,0.0
2,3,18.0,0.001
9,1,27.0,0.0
2,3,2.0,0.332
11,2,17.0,0.0
3,1,27.0,0.0
3,3,17.0,0.0
9,3,18.0,0.001
7,2,17.0,0.0
7,3,10.0,0.0
5,1,27.0,0.0
3,1,2.0,0.368
10,3,4.0,0.027
10,2,8.0,0.007
1,1,3.0,0.309
7,1,1.0,0.897
3,2,27.0,0.0
4,3,26.0,0.0
1,3,2.0,0.3
3,1,5.0,0.0
5,2,8.0,0.0
8,3,8.0,0.0
12,1,3.0,0.316
6,3,7.0,0.003
9,1,26.0,0.0
9,2,3.0,0.054
11,3,18.0,0.001
7,1,17.0,0.0
1,2,26.0,0.001
2,2,17.0,0.0
10,3,10.0,0.0
5,3,8.0,0.002
8,2,18.0,0.0
10,1,25.0,0.001
11,2,9.0,0.006
1,3,8.0,0.064
1,3,1.0,0.132
12,2,7.0,0.108
1,2,5.0,0.0
1,3,18.0,0.004
1,1,18.0,0.002
11,2,8.0,0.023
6,3,25.0,0.003
8,2,25.0,0.0
7,1,26.0,0.0
1,1,25.0,0.009
1,3,5.0,0.0
9,1,18.0,0.0
3,3,26.0,0.0
3,3,1.0,0.313
8,3,18.0,0.0
5,2,17.0,0.0
3,3,27.0,0.001
4,1,5.0,0.0
10,1,10.0,0.0
5,1,1.0,0.278
12,2,5.0,0.001
2,1,26.0,0.0
4,3,25.0,0.0
11,1,4.0,0.033
7,2,8.0,0.0
11,1,10.0,0.0
3,3,23.0,0.0
11,3,17.0,0.0
4,2,18.0,0.0
9,3,4.0,0.009
8,1,5.0,0.0
10,1,26.0,0.0
6,1,8.0,0.005
11,1,23.0,0.0
4,2,9.0,0.003
8,3,9.0,0.0
11,3,1.0,0.184
12,2,25.0,0.015
10,2,1.0,0.359
7,2,4.0,0.001
7,3,17.0,0.0
5,2,2.0,0.415
11,1,8.0,0.002
12,3,5.0,0.0
2,2,18.0,0.0
4,1,4.0,0.127
4,3,17.0,0.0
5,3,9.0,0.0
9,3,10.0,0.0
6,3,1.0,0.861
6,1,23.0,0.0
4,3,4.0,0.076
11,1,26.0,0.0
11,2,26.0,0.0
2,1,7.0,0.061
10,2,2.0,0.454
8,3,7.0,0.0
5,1,10.0,0.0
5,2,9.0,0.0
4,2,27.0,0.0
8,3,25.0,0.0
10,2,10.0,0.0
8,3,4.0,0.003
1,1,5.0,0.001
4,3,18.0,0.0
2,1,17.0,0.001
11,2,2.0,0.318
11,1,18.0,0.0
4,3,1.0,0.388
5,2,23.0,0.0
3,2,7.0,0.051
8,3,17.0,0.0
1,1,27.0,0.0
2,3,3.0,0.221
2,3,4.0,0.136
2,3,26.0,0.0
6,2,23.0,0.001
11,3,9.0,0.021
10,1,27.0,0.0
9,1,17.0,0.0
3,3,8.0,0.007
1,1,4.0,0.136
1,3,7.0,0.089
6,1,27.0,0.0
8,3,23.0,0.0
5,1,17.0,0.0
9,3,25.0,0.0
1,3,26.0,0.0
7,3,4.0,0.0
7,3,27.0,0.0
11,2,1.0,0.286
10,1,23.0,0.0
11,1,7.0,0.02
2,2,7.0,0.035
10,1,9.0,0.002
8,3,10.0,0.0
10,3,2.0,0.27
9,1,5.0,0.0
5,1,4.0,0.069
10,2,4.0,0.016
3,2,2.0,0.427
3,2,26.0,0.0
9,1,8.0,0.0
2,1,27.0,0.0
6,2,26.0,0.0
5,2,1.0,0.416
1,2,4.0,0.078
1,1,2.0,0.211
3,3,4.0,0.104
10,3,5.0,0.0
9,3,7.0,0.015
3,1,7.0,0.058
12,1,1.0,0.095
3,3,2.0,0.353
7,2,26.0,0.0
2,3,7.0,0.062
5,1,18.0,0.0
7,1,25.0,0.0
5,3,3.0,0.159
7,2,10.0,0.0
