m,coco,coco_pct
8,12.0,0.0
8,18.0,0.0
10,4.0,0.014
11,18.0,0.0
2,5.0,0.0
1,3.0,0.334
4,5.0,0.0
9,12.0,0.0
8,8.0,0.0
6,9.0,0.0
2,2.0,0.444
11,8.0,0.022
8,7.0,0.003
10,18.0,0.0
2,9.0,0.006
7,8.0,0.0
1,4.0,0.098
10,25.0,0.0
7,2.0,0.085
9,14.0,0.0
9,2.0,0.326
3,14.0,0.0
5,18.0,0.0
5,1.0,0.34
2,1.0,0.129
5,3.0,0.158
10,7.0,0.013
3,1.0,0.187
12,5.0,0.0
6,8.0,0.002
11,7.0,0.053
4,2.0,0.438
12,18.0,0.0
9,25.0,0.001
7,7.0,0.0
12,4.0,0.069
6,25.0,0.0
7,4.0,0.0
9,1.0,0.607
5,7.0,0.004
3,8.0,0.01
3,9.0,0.004
8,9.0,0.0
8,4.0,0.001
1,5.0,0.0
5,9.0,0.0
1,8.0,0.03
8,5.0,0.0
1,12.0,0.001
9,8.0,0.004
11,4.0,0.052
1,25.0,0.001
10,8.0,0.007
12,9.0,0.008
5,12.0,0.0
8,2.0,0.096
12,3.0,0.343
11,14.0,0.0
2,8.0,0.021
3,2.0,0.458
2,25.0,0.001
4,4.0,0.058
3,7.0,0.037
1,1.0,0.04
6,18.0,0.0
10,5.0,0.0
7,12.0,0.0
11,3.0,0.221
1,2.0,0.413
1,18.0,0.0
6,4.0,0.0
5,8.0,0.0
11,5.0,0.0
3,3.0,0.246
7,3.0,0.006
5,4.0,0.045
8,14.0,0.0
7,1.0,0.909
1,14.0,0.0
8,25.0,0.0
10,9.0,0.003
3,5.0,0.0
4,7.0,0.024
4,8.0,0.004
9,9.0,0.0
4,3.0,0.199
3,12.0,0.0
9,3.0,0.041
7,25.0,0.0
7,5.0,0.0
5,2.0,0.452
12,8.0,0.042
11,9.0,0.009
6,14.0,0.0
9,7.0,0.017
4,12.0,0.0
12,12.0,0.0
11,1.0,0.101
10,3.0,0.094
6,2.0,0.245
10,14.0,0.0
3,25.0,0.001
7,14.0,0.0
6,5.0,0.0
2,18.0,0.0
8,3.0,0.006
11,25.0,0.001
2,3.0,0.248
9,4.0,0.003
6,12.0,0.0
6,1.0,0.707
6,3.0,0.034
5,25.0,0.0
10,1.0,0.354
2,4.0,0.087
12,7.0,0.084
4,18.0,0.0
2,7.0,0.064
9,18.0,0.001
6,7.0,0.01
12,1.0,0.028
10,12.0,0.0
5,14.0,0.0
4,25.0,0.0
10,2.0,0.515
12,2.0,0.425
7,9.0,0.0
1,7.0,0.071
12,25.0,0.0
2,12.0,0.0
2,14.0,0.0
9,5.0,0.0
5,5.0,0.0
3,18.0,0.0
7,18.0,0.0
4,14.0,0.0
3,4.0,0.056
1,9.0,0.013
4,9.0,0.004
4,1.0,0.273
11,12.0,0.0
11,2.0,0.542
8,1.0,0.894
12,14.0,0.0
