m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,6.5,12.4,8.8,86.5,11.1,0.26
1,1,1,7.5,12.0,9.3,86.5,9.9,0.18
1,1,2,5.5,12.0,9.0,86.5,10.6,0.28
1,1,3,6.3,11.0,8.5,88.8,11.7,0.28
1,1,4,7.0,11.0,8.5,87.3,10.8,0.32
1,1,5,6.0,11.0,8.3,86.8,11.2,0.3
1,1,6,5.7,11.1,8.1,88.0,12.1,0.2
1,1,7,6.0,11.5,8.8,86.8,12.6,0.22
1,1,8,7.0,12.5,10.0,82.5,13.5,0.32
1,1,9,8.1,13.9,11.5,77.3,13.0,0.28
1,1,10,9.5,14.5,12.0,72.3,13.5,0.34
1,1,11,11.0,15.0,13.0,72.5,10.8,0.36
1,1,12,11.5,16.5,14.1,67.3,10.2,0.32
1,1,13,11.5,17.0,14.3,64.5,8.8,0.31
1,1,14,11.0,16.5,14.0,68.0,8.8,0.2
1,1,15,10.8,15.2,13.4,70.5,6.5,0.2
1,1,16,9.0,13.5,11.3,78.3,6.5,0.24
1,1,17,8.0,13.5,10.0,84.0,7.4,0.32
1,1,18,7.4,13.5,9.8,82.5,8.8,0.26
1,1,19,7.0,13.0,9.5,84.8,7.4,0.2
1,1,20,7.5,12.0,9.5,86.8,7.0,0.3
1,1,21,7.2,12.3,9.3,82.8,11.1,0.32
1,1,22,7.0,13.0,9.5,82.8,8.3,0.28
1,1,23,7.5,13.0,9.3,82.3,10.1,0.3
1,2,0,6.2,11.5,8.7,78.3,14.5,0.28
1,2,1,6.5,11.5,8.5,80.0,12.5,0.22
1,2,2,6.0,11.5,8.5,81.5,13.4,0.24
1,2,3,5.9,11.0,8.1,79.5,14.5,0.26
1,2,4,6.0,11.0,8.3,78.3,13.9,0.2
1,2,5,6.0,11.0,7.8,78.0,13.9,0.2
1,2,6,6.1,10.7,7.9,77.5,13.3,0.2
1,2,7,7.0,11.5,8.8,75.8,12.6,0.2
1,2,8,7.5,12.5,9.5,71.5,14.8,0.16
1,2,9,8.2,12.9,10.1,68.5,13.5,0.14
1,2,10,9.0,14.0,11.3,63.0,12.6,0.16
1,2,11,10.0,15.0,12.8,58.5,12.1,0.16
1,2,12,10.3,15.5,13.5,58.3,9.7,0.26
1,2,13,11.0,15.5,13.3,57.0,9.8,0.28
1,2,14,11.0,15.0,13.3,60.0,9.2,0.18
1,2,15,10.6,14.7,12.6,65.3,6.5,0.2
1,2,16,9.5,13.0,11.3,73.3,8.3,0.2
1,2,17,8.0,12.5,10.3,76.5,7.4,0.3
1,2,18,6.9,12.5,9.4,76.8,7.9,0.32
1,2,19,7.0,12.5,9.0,82.3,8.8,0.28
1,2,20,7.0,12.0,9.3,79.8,11.1,0.26
1,2,21,7.0,11.6,8.9,80.0,11.2,0.22
