m,coco,coco_pct
10,2.0,0.363
12,4.0,0.156
12,18.0,0.001
4,18.0,0.0
1,16.0,0.001
10,3.0,0.159
6,26.0,0.0
7,7.0,0.009
2,3.0,0.247
9,4.0,0.022
9,25.0,0.004
7,4.0,0.007
8,8.0,0.003
7,16.0,0.0
1,4.0,0.128
5,5.0,0.0
3,26.0,0.0
2,16.0,0.0
10,14.0,0.0
12,12.0,0.0
8,13.0,0.0
5,12.0,0.0
9,26.0,0.0
9,8.0,0.006
6,25.0,0.007
6,7.0,0.01
11,15.0,0.0
2,4.0,0.143
12,26.0,0.0
5,23.0,0.0
2,9.0,0.003
5,26.0,0.0
4,2.0,0.314
10,25.0,0.009
12,9.0,0.011
9,16.0,0.0
11,8.0,0.021
3,13.0,0.0
11,18.0,0.001
8,16.0,0.0
12,3.0,0.335
12,25.0,0.011
11,25.0,0.009
2,5.0,0.012
7,13.0,0.0
6,8.0,0.007
3,9.0,0.004
8,25.0,0.003
6,14.0,0.0
8,4.0,0.002
9,9.0,0.004
11,5.0,0.012
1,26.0,0.0
8,12.0,0.0
8,1.0,0.809
9,23.0,0.0
4,23.0,0.0
3,2.0,0.359
2,25.0,0.006
9,12.0,0.0
5,7.0,0.022
7,18.0,0.001
10,18.0,0.003
10,15.0,0.0
2,14.0,0.007
3,5.0,0.003
6,15.0,0.0
5,9.0,0.001
1,15.0,0.004
8,15.0,0.0
7,8.0,0.004
12,14.0,0.0
11,2.0,0.376
6,23.0,0.002
4,1.0,0.312
1,8.0,0.038
8,5.0,0.0
1,13.0,0.001
7,26.0,0.0
7,2.0,0.13
9,1.0,0.543
11,3.0,0.268
3,3.0,0.222
12,23.0,0.001
9,14.0,0.0
5,4.0,0.08
3,1.0,0.213
10,8.0,0.006
5,3.0,0.209
6,3.0,0.124
8,9.0,0.001
4,7.0,0.055
7,1.0,0.816
10,26.0,0.0
10,1.0,0.383
4,5.0,0.003
4,15.0,0.0
1,3.0,0.291
6,1.0,0.484
5,14.0,0.0
11,7.0,0.056
9,5.0,0.0
4,16.0,0.0
10,12.0,0.0
1,12.0,0.004
4,25.0,0.002
7,3.0,0.031
3,12.0,0.0
12,8.0,0.038
3,4.0,0.124
7,15.0,0.0
3,15.0,0.0
11,9.0,0.007
8,14.0,0.0
11,26.0,0.0
6,5.0,0.0
1,5.0,0.002
1,9.0,0.006
8,2.0,0.149
12,13.0,0.0
2,23.0,0.001
9,15.0,0.0
9,7.0,0.013
8,26.0,0.0
11,23.0,0.0
1,14.0,0.008
2,2.0,0.333
4,8.0,0.014
6,13.0,0.0
1,18.0,0.001
5,8.0,0.005
5,1.0,0.281
6,18.0,0.002
1,2.0,0.308
2,12.0,0.001
12,15.0,0.0
6,4.0,0.022
5,15.0,0.0
8,7.0,0.005
6,2.0,0.34
8,3.0,0.025
3,8.0,0.019
7,12.0,0.0
2,7.0,0.042
1,7.0,0.079
9,2.0,0.297
10,13.0,0.0
7,25.0,0.002
10,4.0,0.046
3,18.0,0.0
11,4.0,0.1
10,9.0,0.002
10,23.0,0.001
7,5.0,0.0
3,16.0,0.0
3,23.0,0.001
11,13.0,0.0
12,2.0,0.256
12,5.0,0.004
11,12.0,0.0
4,26.0,0.0
12,7.0,0.086
6,16.0,0.0
4,9.0,0.005
7,23.0,0.001
9,18.0,0.001
8,18.0,0.001
11,1.0,0.15
8,23.0,0.0
10,7.0,0.021
2,1.0,0.186
9,3.0,0.112
12,16.0,0.0
4,4.0,0.108
4,14.0,0.0
7,14.0,0.0
6,9.0,0.0
12,1.0,0.101
5,25.0,0.002
7,9.0,0.0
5,16.0,0.0
5,18.0,0.0
2,18.0,0.001
10,16.0,0.0
3,14.0,0.0
5,13.0,0.0
9,13.0,0.0
4,13.0,0.0
2,13.0,0.001
10,5.0,0.008
11,14.0,0.0
3,7.0,0.052
2,26.0,0.0
2,15.0,0.004
4,3.0,0.187
6,12.0,0.0
5,2.0,0.4
4,12.0,0.0
3,25.0,0.003
1,23.0,0.001
1,1.0,0.122
11,16.0,0.0
1,25.0,0.006
2,8.0,0.014
