m,m3,coco,coco_pct
5,2,15.0,0.0
11,3,15.0,0.0
1,3,13.0,0.0
11,1,26.0,0.0
2,3,1.0,0.172
11,2,2.0,0.383
10,1,2.0,0.364
8,3,2.0,0.183
6,2,18.0,0.003
1,2,8.0,0.032
12,3,9.0,0.008
12,3,3.0,0.322
9,1,3.0,0.079
7,1,7.0,0.014
5,3,14.0,0.0
7,2,5.0,0.0
9,3,7.0,0.023
4,2,2.0,0.318
8,3,14.0,0.0
8,1,9.0,0.0
10,3,3.0,0.137
2,3,13.0,0.001
10,3,9.0,0.0
12,3,12.0,0.0
4,2,1.0,0.32
12,2,25.0,0.011
11,3,16.0,0.0
8,3,18.0,0.003
2,3,9.0,0.002
5,3,1.0,0.347
4,2,15.0,0.0
1,3,16.0,0.001
3,3,12.0,0.0
8,3,23.0,0.001
1,3,2.0,0.297
11,1,18.0,0.001
3,2,1.0,0.204
2,3,7.0,0.028
9,1,14.0,0.0
3,3,26.0,0.0
4,1,7.0,0.093
4,2,8.0,0.015
10,2,1.0,0.306
4,1,1.0,0.302
12,1,9.0,0.018
7,3,9.0,0.0
9,1,16.0,0.0
3,1,16.0,0.0
11,2,5.0,0.007
4,2,13.0,0.0
3,2,23.0,0.001
8,3,16.0,0.0
11,1,25.0,0.002
3,2,18.0,0.0
12,2,8.0,0.064
10,2,4.0,0.061
8,2,15.0,0.0
2,2,13.0,0.002
12,2,14.0,0.0
12,1,18.0,0.001
8,1,1.0,0.86
10,1,9.0,0.002
7,2,15.0,0.0
9,2,26.0,0.0
4,1,15.0,0.0
4,3,15.0,0.0
7,3,12.0,0.0
8,3,13.0,0.0
7,3,26.0,0.0
7,2,13.0,0.0
11,1,15.0,0.0
3,1,26.0,0.0
6,2,16.0,0.0
11,1,2.0,0.443
6,2,7.0,0.016
3,3,9.0,0.0
8,1,8.0,0.0
10,1,4.0,0.036
1,3,18.0,0.001
3,1,18.0,0.0
12,1,8.0,0.038
3,2,16.0,0.0
3,2,8.0,0.018
4,3,23.0,0.001
7,3,25.0,0.0
2,1,25.0,0.006
10,3,15.0,0.0
5,2,18.0,0.0
9,2,9.0,0.0
8,1,5.0,0.0
1,2,3.0,0.278
5,2,2.0,0.372
8,1,2.0,0.117
6,3,4.0,0.012
10,2,23.0,0.001
9,2,2.0,0.348
8,1,16.0,0.0
7,3,14.0,0.0
7,2,16.0,0.0
11,3,23.0,0.0
10,2,14.0,0.0
11,1,23.0,0.0
2,2,4.0,0.167
2,1,23.0,0.001
8,1,3.0,0.022
2,3,15.0,0.004
6,1,5.0,0.001
8,3,1.0,0.743
10,2,12.0,0.0
10,3,13.0,0.0
2,1,18.0,0.0
5,3,5.0,0.0
6,3,1.0,0.705
7,1,3.0,0.04
5,2,8.0,0.001
10,2,8.0,0.01
4,1,18.0,0.0
6,1,25.0,0.007
2,3,3.0,0.258
5,1,15.0,0.0
5,3,8.0,0.006
8,3,7.0,0.011
5,1,7.0,0.043
6,3,8.0,0.001
4,2,7.0,0.041
3,2,26.0,0.0
7,2,12.0,0.0
6,3,9.0,0.0
6,3,25.0,0.007
12,1,4.0,0.189
6,3,18.0,0.003
4,1,16.0,0.0
3,2,3.0,0.238
1,1,8.0,0.044
2,3,18.0,0.001
1,2,26.0,0.0
12,1,15.0,0.0
8,2,13.0,0.0
1,3,23.0,0.001
9,3,14.0,0.0
10,1,1.0,0.382
5,3,13.0,0.0
9,3,5.0,0.0
5,3,4.0,0.03
6,3,7.0,0.008
9,2,5.0,0.0
9,3,25.0,0.002
4,2,4.0,0.095
4,2,25.0,0.003
11,1,1.0,0.226
12,3,16.0,0.0
9,3,15.0,0.0
7,2,25.0,0.001
9,2,25.0,0.002
8,3,5.0,0.001
6,1,18.0,0.002
5,2,23.0,0.0
9,3,26.0,0.0
2,2,16.0,0.0
2,2,14.0,0.007
1,1,14.0,0.004
4,3,4.0,0.119
2,2,15.0,0.007
12,1,3.0,0.357
4,3,5.0,0.007
5,2,1.0,0.284
3,1,3.0,0.239
6,1,13.0,0.0
5,2,3.0,0.245
2,1,16.0,0.0
4,2,18.0,0.0
6,2,25.0,0.008
3,1,9.0,0.005
6,1,14.0,0.0
6,3,12.0,0.0
6,2,13.0,0.0
11,3,14.0,0.0
3,2,14.0,0.0
5,2,16.0,0.0
6,1,16.0,0.0
8,2,25.0,0.002
8,3,12.0,0.0
3,1,23.0,0.001
10,1,14.0,0.0
3,3,2.0,0.321
1,3,3.0,0.365
8,3,15.0,0.0
7,1,4.0,0.012
4,1,26.0,0.001
9,1,4.0,0.02
10,2,7.0,0.024
6,1,3.0,0.151
8,3,3.0,0.036
5,2,4.0,0.092
3,2,13.0,0.0
2,1,13.0,0.0
6,3,15.0,0.0
9,1,15.0,0.0
12,3,14.0,0.0
7,1,25.0,0.003
10,3,18.0,0.001
1,1,15.0,0.004
1,2,5.0,0.0
2,3,16.0,0.001
7,3,8.0,0.006
10,1,3.0,0.163
8,3,25.0,0.008
3,1,1.0,0.217
12,2,13.0,0.0
10,2,5.0,0.001
1,3,5.0,0.0
12,3,2.0,0.305
12,2,4.0,0.153
10,2,9.0,0.003
11,2,7.0,0.059
7,2,3.0,0.029
3,2,5.0,0.0
2,2,26.0,0.0
5,1,8.0,0.006
7,2,9.0,0.0
12,1,23.0,0.001
4,1,4.0,0.111
11,3,25.0,0.023
3,3,25.0,0.0
12,3,23.0,0.0
10,2,26.0,0.0
9,1,8.0,0.008
10,3,2.0,0.334
4,2,5.0,0.003
12,3,5.0,0.003
12,1,13.0,0.0
5,3,12.0,0.0
3,3,18.0,0.0
1,3,8.0,0.039
10,2,3.0,0.181
10,3,26.0,0.0
8,2,5.0,0.0
11,1,4.0,0.076
1,2,2.0,0.303
9,1,5.0,0.0
3,2,25.0,0.003
6,3,13.0,0.0
3,3,14.0,0.0
4,3,9.0,0.0
10,3,25.0,0.003
9,3,2.0,0.305
10,3,8.0,0.001
2,2,3.0,0.211
5,2,26.0,0.0
2,2,8.0,0.008
5,1,26.0,0.0
10,2,13.0,0.0
9,2,18.0,0.0
3,3,1.0,0.291
5,1,23.0,0.0
1,2,1.0,0.119
11,3,2.0,0.3
5,3,25.0,0.005
12,2,18.0,0.001
6,2,14.0,0.0
7,2,4.0,0.006
5,1,5.0,0.0
4,1,23.0,0.0
2,2,2.0,0.301
6,1,4.0,0.029
6,2,15.0,0.0
11,3,5.0,0.0
6,1,26.0,0.0
8,1,13.0,0.0
9,1,7.0,0.009
8,2,8.0,0.001
1,3,1.0,0.078
9,3,3.0,0.162
7,1,5.0,0.0
6,1,1.0,0.399
1,2,12.0,0.001
11,1,16.0,0.0
4,3,1.0,0.313
12,2,3.0,0.329
10,1,26.0,0.0
9,2,14.0,0.0
7,1,23.0,0.001
8,1,23.0,0.0
3,1,13.0,0.0
2,1,1.0,0.14
4,3,16.0,0.0
9,1,25.0,0.007
5,2,12.0,0.0
2,2,9.0,0.0
10,1,12.0,0.0
7,1,14.0,0.0
8,2,12.0,0.0
6,1,23.0,0.003
7,1,2.0,0.124
1,2,18.0,0.001
1,1,13.0,0.004
9,3,13.0,0.0
4,1,8.0,0.029
8,3,4.0,0.005
4,2,23.0,0.001
1,1,25.0,0.008
11,2,13.0,0.0
2,3,14.0,0.011
5,3,23.0,0.001
11,2,15.0,0.0
2,1,7.0,0.029
2,1,5.0,0.023
12,3,25.0,0.004
1,2,25.0,0.005
9,2,1.0,0.542
3,2,15.0,0.0
1,2,14.0,0.011
12,1,14.0,0.0
9,3,8.0,0.008
12,3,8.0,0.015
4,3,13.0,0.0
8,2,14.0,0.0
12,3,13.0,0.0
5,1,25.0,0.002
11,2,4.0,0.125
4,2,12.0,0.0
11,1,9.0,0.0
2,2,12.0,0.0
9,1,13.0,0.0
2,2,23.0,0.001
5,2,9.0,0.0
7,2,7.0,0.005
1,3,14.0,0.01
6,1,12.0,0.0
7,3,15.0,0.0
11,3,4.0,0.101
