m,coco,coco_pct
6,10.0,0.0
8,19.0,0.0
6,2.0,0.224
10,17.0,0.029
5,19.0,0.0
7,12.0,0.0
7,23.0,0.0
1,25.0,0.004
9,26.0,0.0
12,26.0,0.0
5,4.0,0.024
10,26.0,0.001
2,8.0,0.052
8,9.0,0.0
3,4.0,0.063
11,8.0,0.018
10,8.0,0.009
9,2.0,0.322
11,25.0,0.004
7,18.0,0.001
10,4.0,0.027
2,23.0,0.0
12,8.0,0.034
3,25.0,0.002
7,1.0,0.848
11,17.0,0.02
10,1.0,0.26
11,18.0,0.001
2,1.0,0.113
7,19.0,0.0
7,17.0,0.006
8,3.0,0.014
10,12.0,0.0
9,12.0,0.0
8,18.0,0.001
4,5.0,0.011
2,3.0,0.356
8,23.0,0.0
11,26.0,0.0
4,2.0,0.304
9,3.0,0.123
4,4.0,0.054
1,17.0,0.021
11,23.0,0.0
3,12.0,0.0
11,19.0,0.0
9,23.0,0.001
5,2.0,0.29
9,5.0,0.015
7,25.0,0.0
10,3.0,0.238
11,9.0,0.003
2,25.0,0.002
10,19.0,0.0
5,18.0,0.002
9,9.0,0.001
4,12.0,0.0
3,3.0,0.306
5,1.0,0.397
2,9.0,0.01
1,4.0,0.06
6,23.0,0.0
1,8.0,0.043
1,10.0,0.0
6,12.0,0.0
8,10.0,0.0
7,3.0,0.018
2,4.0,0.042
8,8.0,0.001
4,3.0,0.282
3,23.0,0.0
2,12.0,0.002
9,4.0,0.003
6,19.0,0.0
9,19.0,0.0
10,7.0,0.026
3,5.0,0.017
1,26.0,0.0
1,19.0,0.0
5,3.0,0.219
8,4.0,0.0
4,18.0,0.001
12,12.0,0.0
9,7.0,0.011
5,9.0,0.007
7,7.0,0.0
5,17.0,0.021
6,1.0,0.68
2,5.0,0.032
4,19.0,0.0
3,18.0,0.001
11,2.0,0.28
1,18.0,0.002
11,12.0,0.0
3,7.0,0.063
1,5.0,0.033
9,10.0,0.0
9,8.0,0.002
6,4.0,0.001
1,23.0,0.0
5,10.0,0.0
4,23.0,0.0
5,7.0,0.012
12,7.0,0.096
8,5.0,0.005
11,4.0,0.06
3,26.0,0.0
10,18.0,0.004
7,26.0,0.0
6,7.0,0.004
12,9.0,0.008
6,25.0,0.0
11,7.0,0.038
2,7.0,0.065
8,2.0,0.163
12,19.0,0.0
12,4.0,0.048
2,17.0,0.027
9,1.0,0.491
12,17.0,0.015
3,8.0,0.029
12,25.0,0.003
2,2.0,0.293
4,26.0,0.0
9,18.0,0.001
8,12.0,0.0
8,26.0,0.0
3,17.0,0.022
11,3.0,0.406
4,8.0,0.01
10,25.0,0.007
7,5.0,0.002
12,10.0,0.0
10,5.0,0.027
10,2.0,0.366
1,3.0,0.394
4,1.0,0.296
8,25.0,0.0
8,17.0,0.009
4,25.0,0.0
5,25.0,0.0
7,9.0,0.0
5,26.0,0.0
3,9.0,0.008
12,18.0,0.001
6,18.0,0.001
6,17.0,0.012
1,12.0,0.0
10,23.0,0.001
11,10.0,0.0
12,5.0,0.05
7,8.0,0.001
12,23.0,0.0
8,1.0,0.805
11,1.0,0.139
10,10.0,0.0
5,8.0,0.01
7,4.0,0.0
5,12.0,0.0
7,10.0,0.0
4,17.0,0.014
9,25.0,0.002
8,7.0,0.003
4,7.0,0.025
9,17.0,0.028
6,9.0,0.003
3,19.0,0.0
3,2.0,0.282
1,2.0,0.246
4,10.0,0.0
6,26.0,0.0
10,9.0,0.006
2,10.0,0.0
12,3.0,0.381
5,23.0,0.0
2,26.0,0.0
6,3.0,0.069
5,5.0,0.017
6,8.0,0.003
12,1.0,0.107
4,9.0,0.003
1,9.0,0.017
6,5.0,0.003
12,2.0,0.257
1,1.0,0.1
1,7.0,0.082
11,5.0,0.032
3,1.0,0.208
3,10.0,0.0
7,2.0,0.124
2,19.0,0.003
2,18.0,0.002
