m,coco,coco_pct
1,1.0,0.305
4,2.0,0.133
4,9.0,0.006
3,1.0,0.398
1,25.0,0.0
6,7.0,0.006
5,7.0,0.012
10,14.0,0.0
10,2.0,0.086
11,3.0,0.299
6,1.0,0.789
7,8.0,0.0
10,18.0,0.0
1,3.0,0.418
1,5.0,0.001
8,1.0,0.909
11,18.0,0.003
2,5.0,0.0
6,8.0,0.008
11,5.0,0.001
2,7.0,0.019
5,8.0,0.013
8,18.0,0.0
5,5.0,0.005
12,9.0,0.023
8,9.0,0.0
2,25.0,0.0
1,7.0,0.027
10,5.0,0.006
9,18.0,0.0
3,25.0,0.001
9,7.0,0.002
10,9.0,0.002
9,8.0,0.0
7,9.0,0.0
7,2.0,0.014
5,25.0,0.0
6,3.0,0.125
7,7.0,0.0
6,18.0,0.0
10,7.0,0.005
2,3.0,0.438
1,9.0,0.013
7,14.0,0.0
11,14.0,0.0
3,3.0,0.384
12,25.0,0.001
6,2.0,0.067
5,3.0,0.4
5,9.0,0.002
10,17.0,0.001
9,17.0,0.007
2,8.0,0.024
11,8.0,0.021
7,17.0,0.001
9,1.0,0.725
12,2.0,0.154
1,8.0,0.03
5,1.0,0.437
2,17.0,0.031
3,9.0,0.008
5,2.0,0.118
9,25.0,0.001
3,18.0,0.004
1,18.0,0.003
11,2.0,0.127
12,1.0,0.296
5,17.0,0.013
8,14.0,0.0
4,5.0,0.003
6,25.0,0.001
11,17.0,0.024
7,3.0,0.015
8,7.0,0.001
4,3.0,0.33
2,14.0,0.001
12,5.0,0.001
9,14.0,0.0
11,1.0,0.485
12,17.0,0.031
4,17.0,0.019
12,8.0,0.028
10,1.0,0.721
9,5.0,0.005
12,14.0,0.0
12,7.0,0.027
1,2.0,0.16
7,18.0,0.001
11,25.0,0.0
1,14.0,0.0
4,25.0,0.0
3,2.0,0.134
10,8.0,0.005
5,18.0,0.0
8,25.0,0.0
4,18.0,0.003
8,17.0,0.009
1,17.0,0.044
4,8.0,0.005
3,17.0,0.026
8,5.0,0.001
3,14.0,0.0
6,9.0,0.0
8,8.0,0.001
9,3.0,0.147
11,9.0,0.023
3,7.0,0.018
7,1.0,0.966
8,2.0,0.057
2,9.0,0.012
10,3.0,0.173
9,2.0,0.113
9,9.0,0.0
2,18.0,0.001
4,7.0,0.006
8,3.0,0.022
2,1.0,0.285
3,8.0,0.019
7,5.0,0.003
4,14.0,0.0
4,1.0,0.495
11,7.0,0.018
3,5.0,0.009
10,25.0,0.001
7,25.0,0.0
2,2.0,0.187
6,5.0,0.002
12,3.0,0.437
6,17.0,0.002
12,18.0,0.003
5,14.0,0.0
6,14.0,0.0
