m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,11.9,14.5,13.0,73.0,26.1,0.14
1,1,12.0,14.8,13.1,73.0,25.4,0.16
1,2,11.9,14.7,13.0,73.5,25.6,0.21
1,3,11.5,14.4,12.8,73.5,25.8,0.15
1,4,11.2,14.3,12.8,73.0,23.8,0.17
1,5,10.0,14.0,12.0,69.5,20.0,0.15
1,6,8.2,14.0,11.1,70.0,19.5,0.15
1,7,9.0,15.0,11.5,67.0,19.5,0.15
1,8,10.0,15.0,12.5,65.5,20.4,0.17
1,9,10.0,16.0,12.9,62.5,20.3,0.17
1,10,11.0,16.0,13.5,61.0,23.3,0.2
1,11,11.0,16.0,13.5,61.0,24.2,0.18
1,12,11.0,16.6,13.7,60.0,23.3,0.17
1,13,11.0,17.0,13.5,60.5,23.3,0.16
1,14,10.0,16.0,13.0,61.0,23.3,0.12
1,15,10.0,16.0,12.6,63.0,19.5,0.1
1,16,10.0,15.0,12.5,65.5,19.5,0.15
1,17,9.0,14.0,12.0,68.0,20.4,0.12
1,18,9.4,14.0,11.9,68.5,19.5,0.17
1,19,11.2,14.7,12.9,71.5,25.5,0.17
1,20,11.7,14.8,12.9,71.5,26.5,0.17
1,21,11.9,14.8,12.9,72.0,26.8,0.15
1,22,12.0,14.9,12.8,71.0,25.4,0.15
1,23,12.0,14.6,12.6,72.0,26.8,0.15
2,0,10.5,13.8,12.1,72.5,27.0,0.09
2,1,10.5,13.8,12.1,73.0,27.5,0.09
2,2,10.4,13.8,12.1,72.5,28.4,0.08
2,3,10.4,13.9,12.1,72.5,27.8,0.11
2,4,10.4,13.9,12.0,72.5,27.9,0.12
2,5,9.0,13.0,11.0,67.0,19.5,0.12
2,6,8.6,13.4,10.9,69.0,19.4,0.09
2,7,10.0,14.0,11.5,67.0,22.3,0.1
2,8,10.0,15.0,12.5,63.0,23.4,0.13
2,9,10.6,16.0,12.8,62.0,25.0,0.17
2,10,11.0,16.0,13.5,60.0,25.8,0.14
2,11,11.0,17.0,13.5,60.0,26.0,0.13
2,12,11.0,16.6,13.6,60.0,24.2,0.12
2,13,11.0,17.0,13.5,61.5,25.0,0.11
2,14,11.0,16.0,13.5,61.5,25.1,0.14
2,15,10.4,16.0,12.6,62.0,23.3,0.09
2,16,9.0,15.0,12.0,65.5,23.1,0.08
2,17,9.0,14.0,12.0,67.5,21.5,0.08
2,18,9.4,14.0,11.6,68.0,19.5,0.07
2,19,10.6,13.9,12.3,72.0,29.0,0.08
2,20,10.5,14.2,12.3,71.0,27.2,0.07
2,21,10.4,14.2,12.2,71.0,26.1,0.06
2,22,10.4,14.2,12.1,71.5,25.9,0.07
2,23,10.3,14.2,12.0,72.0,25.6,0.06
3,0,11.8,13.7,12.7,72.5,26.1,0.12
3,1,11.8,13.7,12.7,74.0,25.0,0.11
3,2,11.8,13.6,12.6,73.5,24.0,0.11
3,3,11.6,13.4,12.3,73.5,25.8,0.12
3,4,11.5,13.2,12.5,72.5,23.8,0.1
3,5,11.0,13.3,12.0,72.0,17.5,0.12
3,6,11.0,14.2,12.7,71.0,17.7,0.12
3,7,12.0,15.0,13.5,67.0,19.5,0.11
3,8,12.0,16.0,14.0,63.5,21.8,0.09
3,9,13.0,16.4,14.6,61.5,22.2,0.13
3,10,13.0,17.0,15.0,60.0,23.3,0.13
3,11,14.0,17.0,15.5,58.0,23.1,0.11
3,12,13.6,17.4,15.2,59.0,23.1,0.11
3,13,14.0,17.0,15.5,59.0,24.2,0.1
3,14,13.0,17.0,15.0,59.5,23.3,0.12
3,15,13.0,16.4,14.5,61.0,21.3,0.1
3,16,12.0,16.0,14.0,65.5,20.4,0.11
3,17,12.0,15.0,13.5,67.0,19.3,0.08
