m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,13.1,14.2,16.3,0.0,20.3,0.25
1,1,2,12.3,15.0,16.6,0.0,13.8,0.0
1,1,3,13.4,15.2,17.3,0.1,14.6,0.4
1,1,4,14.0,16.0,18.0,0.5,17.9,0.4
1,1,5,12.5,15.1,17.0,0.0,20.8,0.0
1,1,6,13.7,15.7,18.1,0.0,13.9,0.2
1,1,7,14.3,15.6,16.7,0.3,20.6,0.4
1,1,8,14.1,15.3,17.5,2.1,17.7,0.6
1,1,9,12.5,14.4,16.3,0.9,17.0,0.6
1,1,10,12.5,14.0,15.5,3.6,27.9,0.8
1,2,11,12.0,13.5,15.1,0.7,19.6,0.4
1,2,12,11.2,13.1,15.2,7.1,24.0,1.0
1,2,13,9.4,11.1,13.7,1.9,29.1,0.8
1,2,14,10.0,11.8,13.3,1.6,22.4,0.6
1,2,15,10.0,12.1,14.5,0.7,26.4,0.8
1,2,16,9.5,11.6,13.5,1.0,23.0,0.4
1,2,17,10.7,13.3,14.9,0.5,24.9,0.6
1,2,18,12.4,14.0,16.0,0.6,33.3,0.6
1,2,19,10.7,12.1,13.6,0.2,30.3,0.4
1,2,20,10.5,13.2,14.9,0.5,25.0,0.6
1,3,21,11.0,13.6,15.3,1.9,22.5,0.8
1,3,22,10.3,11.6,14.8,0.4,24.1,0.8
1,3,23,10.8,12.1,13.9,0.5,16.0,0.4
1,3,24,10.8,12.6,13.7,0.4,23.2,0.6
1,3,25,11.9,13.3,14.7,1.5,26.5,0.8
1,3,26,11.1,13.5,15.0,0.9,29.1,0.6
1,3,27,8.5,11.4,14.6,1.6,21.8,0.6
1,3,28,6.0,10.0,13.5,0.6,17.2,0.75
1,3,29,8.4,11.2,13.0,1.7,21.3,1.0
1,3,30,8.9,10.4,11.8,4.3,27.4,0.75
1,3,31,9.3,10.6,12.5,0.0,21.6,0.25
2,1,1,9.9,11.7,13.0,1.5,30.1,0.75
2,1,2,9.4,12.3,14.5,0.2,18.8,0.5
2,1,3,8.5,11.4,13.3,1.2,24.7,0.5
2,1,4,9.5,11.7,13.6,0.0,14.0,0.25
2,1,5,9.9,13.2,16.5,0.0,10.5,0.25
2,1,6,12.5,14.4,17.0,0.0,11.8,0.25
2,1,7,13.4,14.7,16.6,0.4,25.7,0.5
2,1,8,9.7,13.2,15.8,1.9,33.2,0.75
2,1,9,9.0,11.9,14.1,0.1,34.9,0.5
2,1,10,11.9,13.2,14.5,0.0,28.1,0.25
2,2,11,12.5,14.5,17.0,0.2,30.8,0.5
2,2,12,11.8,14.0,17.0,0.2,23.5,0.5
2,2,13,10.5,12.4,13.5,0.3,17.3,0.75
2,2,14,9.4,10.8,13.6,0.1,29.7,0.5
2,2,15,9.0,10.7,11.9,0.1,39.1,0.5
2,2,16,9.6,10.8,12.1,0.0,31.1,0.25
2,2,17,8.4,11.3,12.9,0.0,22.5,0.25
2,2,18,10.5,12.6,14.6,0.0,14.2,0.25
2,2,19,11.3,13.3,15.5,0.0,15.0,0.25
2,2,20,11.5,13.4,16.0,0.0,19.7,0.25
2,3,21,10.8,13.5,16.0,0.2,16.2,0.5
2,3,22,12.2,14.0,16.0,0.0,21.7,0.25
2,3,23,13.0,14.6,17.0,0.5,20.5,0.5
2,3,24,12.5,14.4,16.5,0.0,27.0,0.25
2,3,25,12.4,13.5,15.5,0.0,30.1,0.0
2,3,26,12.5,14.6,16.5,0.2,26.9,0.5
2,3,27,12.9,14.9,17.2,0.2,21.1,0.5
2,3,28,13.1,14.9,16.5,0.1,23.7,0.5
2,3,29,15.0,16.3,18.0,0.0,28.3,0.0
3,1,1,10.7,13.0,15.0,0.3,27.9,0.5
3,1,2,10.7,11.8,13.2,0.5,33.7,0.75
3,1,3,10.0,12.3,14.5,0.1,17.0,0.5
3,1,4,11.4,13.4,15.5,1.0,14.7,0.5
3,1,5,11.2,14.1,16.1,3.3,21.0,0.75
3,1,6,11.3,13.6,16.5,2.0,16.4,0.75
3,1,7,12.0,13.7,16.0,0.2,19.2,0.5
3,1,8,11.0,13.0,15.1,0.2,18.2,0.75
3,1,9,11.5,13.2,15.0,0.1,18.8,0.5
3,1,10,12.0,14.3,16.5,0.2,19.9,0.5
3,2,11,11.2,13.6,16.3,1.4,33.9,0.75
3,2,12,10.5,12.7,15.3,0.5,27.6,0.75
3,2,13,10.0,12.1,14.4,0.1,22.5,0.5
3,2,14,11.1,12.7,14.3,0.0,19.0,0.25
3,2,15,11.3,13.6,16.1,0.5,28.7,0.75
3,2,16,11.5,13.2,15.0,0.7,14.6,0.5
3,2,17,11.4,12.9,15.8,0.2,20.8,0.5
3,2,18,10.3,11.9,14.0,0.0,33.4,0.25
3,2,19,11.3,13.0,14.7,1.2,31.4,0.75
3,2,20,11.0,13.0,14.7,1.7,34.8,0.75
3,3,21,11.5,13.5,16.0,0.0,22.2,0.25
3,3,22,12.4,14.4,16.7,0.0,23.8,0.25
3,3,23,10.3,12.4,14.5,1.3,28.5,0.5
3,3,24,10.4,12.4,14.7,0.0,31.3,0.25
3,3,25,12.5,15.0,18.5,0.2,20.3,0.5
3,3,26,13.5,15.1,18.0,0.0,14.7,0.0
3,3,27,12.9,15.5,18.5,0.0,15.9,0.25
3,3,28,11.7,14.6,18.0,0.1,17.1,0.5
3,3,29,12.3,14.3,17.2,0.0,25.9,0.25
3,3,30,11.8,14.5,18.0,0.0,9.7,0.0
3,3,31,12.9,15.1,17.5,0.0,20.9,0.25
4,1,1,13.0,15.2,18.5,0.0,33.2,0.25
4,1,2,13.3,15.7,19.0,0.0,21.6,0.25
4,1,3,13.5,15.7,19.0,0.0,24.7,0.25
4,1,4,13.3,15.2,17.7,0.2,18.2,0.5
4,1,5,12.5,15.5,18.4,0.4,18.5,0.5
4,1,6,13.2,15.8,18.7,0.1,23.4,0.5
4,1,7,13.6,15.7,19.0,0.0,20.6,0.25
4,1,8,12.2,15.1,18.0,0.0,24.0,0.25
4,1,9,12.0,15.5,17.6,0.0,26.6,0.25
4,1,10,13.3,15.3,18.5,0.0,21.3,0.25
4,2,11,12.6,14.6,17.5,0.8,24.7,0.5
4,2,12,12.9,15.7,19.0,0.0,15.7,0.25
4,2,13,14.4,17.2,20.2,0.0,14.4,0.25
4,2,14,13.5,16.5,20.5,0.0,22.4,0.0
4,2,15,14.5,16.2,19.0,0.0,20.9,0.25
4,2,16,14.5,16.5,20.5,0.0,17.5,0.25
4,2,17,14.8,16.9,20.2,0.4,19.8,0.75
4,2,18,14.9,16.9,19.5,0.0,18.2,0.25
4,2,19,14.5,16.1,18.4,5.7,17.0,0.75
4,2,20,13.5,15.6,18.5,0.0,18.8,0.25
4,3,21,14.1,16.8,20.1,0.0,15.4,0.0
4,3,22,14.5,17.8,21.5,0.2,11.9,0.5
4,3,23,14.8,18.4,22.5,0.1,18.2,0.5
4,3,24,14.2,17.8,20.9,0.0,12.5,0.25
4,3,25,14.9,17.9,21.5,0.0,17.0,0.25
4,3,26,15.4,18.3,21.5,0.0,21.4,0.0
4,3,27,14.0,17.2,20.6,0.0,24.7,0.25
4,3,28,15.6,17.9,20.5,0.0,26.7,0.0
4,3,29,16.3,18.3,20.2,0.0,27.2,0.25
4,3,30,15.7,17.7,20.4,0.0,26.2,0.0
5,1,1,15.0,17.9,20.5,0.0,22.0,0.0
5,1,2,16.3,18.7,22.3,0.8,23.2,0.5
5,1,3,17.0,19.5,22.5,0.0,20.4,0.25
5,1,4,15.6,18.9,22.1,0.9,16.8,0.5
5,1,5,15.0,18.7,21.5,0.7,23.0,0.5
5,1,6,16.2,18.5,21.2,0.0,18.0,0.25
5,1,7,15.9,18.1,21.7,0.0,18.7,0.0
5,1,8,16.0,19.0,22.6,0.0,21.0,0.25
5,1,9,16.5,18.0,20.7,0.0,21.7,0.0
5,1,10,14.9,16.8,19.5,0.0,33.9,0.25
5,2,11,14.5,17.0,19.5,0.0,32.9,0.0
5,2,12,15.5,18.9,22.0,0.0,26.8,0.0
5,2,13,15.5,19.5,23.2,0.0,16.8,0.0
5,2,14,15.9,19.0,23.0,0.0,12.0,0.0
5,2,15,16.4,20.5,24.0,0.0,10.5,0.0
5,2,16,16.9,21.4,25.5,0.0,11.1,0.25
5,2,17,17.9,21.1,24.5,0.0,11.6,0.25
5,2,18,18.0,21.1,24.5,0.0,12.9,0.0
5,2,19,17.0,20.4,24.1,0.1,18.4,0.5
5,2,20,17.8,20.5,22.7,0.0,26.2,0.0
5,3,21,17.7,20.5,23.1,0.2,27.4,0.5
5,3,22,17.7,20.6,24.2,0.0,13.6,0.25
5,3,23,17.9,21.1,25.0,0.0,16.0,0.25
5,3,24,17.9,21.4,25.5,0.0,15.0,0.0
5,3,25,18.9,21.8,25.5,0.0,18.8,0.0
5,3,26,18.5,21.7,25.0,0.0,25.0,0.25
5,3,27,18.5,20.9,24.0,0.0,25.9,0.0
5,3,28,18.4,21.4,24.7,0.0,23.0,0.0
5,3,29,18.4,21.2,24.5,0.0,22.5,0.0
5,3,30,18.4,21.1,25.0,0.2,15.1,0.5
5,3,31,18.5,20.9,24.5,0.0,13.6,0.25
6,1,1,18.7,21.9,25.5,0.0,21.0,0.25
6,1,2,19.0,22.3,25.5,0.0,19.7,0.25
6,1,3,19.2,22.2,25.5,0.0,19.9,0.25
6,1,4,19.9,22.8,27.0,0.0,17.6,0.0
6,1,5,20.5,23.2,27.0,0.0,18.3,0.0
6,1,6,21.0,24.4,28.1,0.0,19.6,0.0
6,1,7,20.5,24.2,26.7,0.0,21.4,0.0
6,1,8,20.9,24.2,28.0,0.0,24.5,0.25
6,1,9,21.4,24.2,27.5,0.0,22.3,0.0
6,1,10,21.2,24.0,26.9,0.0,23.0,0.0
6,2,11,21.5,23.3,26.1,0.0,19.2,0.25
6,2,12,20.5,23.7,27.0,0.0,17.4,0.0
6,2,13,21.5,24.8,28.0,0.0,19.0,0.0
6,2,14,21.7,24.7,28.0,0.0,18.4,0.25
6,2,15,21.5,24.0,27.0,0.0,23.0,0.25
6,2,16,21.0,24.1,27.5,0.0,19.4,0.0
6,2,17,21.8,24.4,27.5,0.0,19.0,0.0
6,2,18,21.7,24.3,27.0,0.0,22.9,0.25
6,2,19,22.0,24.4,27.0,0.0,29.5,0.0
6,2,20,21.0,24.8,27.5,0.0,21.1,0.0
6,3,21,21.9,25.0,28.1,0.0,18.4,0.0
6,3,22,22.2,25.4,29.0,0.0,17.5,0.0
6,3,23,23.3,26.1,29.5,0.0,17.6,0.0
6,3,24,23.0,26.2,28.5,0.0,23.2,0.0
6,3,25,22.2,25.4,28.0,0.0,26.0,0.0
6,3,26,23.4,25.5,29.0,0.0,22.1,0.0
6,3,27,23.0,25.1,28.0,0.0,28.3,0.0
6,3,28,22.5,25.1,28.0,0.0,28.9,0.0
6,3,29,22.5,25.3,28.5,0.0,27.1,0.0
6,3,30,22.7,25.0,27.7,0.0,29.2,0.0
7,1,1,23.0,26.4,29.2,0.0,19.5,0.0
7,1,2,23.9,26.4,30.7,0.0,20.0,0.0
7,1,3,23.5,26.3,29.0,0.0,19.9,0.0
7,1,4,23.3,26.3,29.5,0.0,19.8,0.25
7,1,5,23.1,26.0,29.0,0.0,30.6,0.0
7,1,6,23.5,26.5,29.5,0.0,26.3,0.0
7,1,7,24.0,27.0,29.6,0.0,28.5,0.0
7,1,8,23.5,26.6,29.2,0.0,27.7,0.0
7,1,9,23.0,25.6,28.0,0.0,29.9,0.0
7,1,10,23.0,25.7,28.5,0.0,28.4,0.0
7,2,11,22.9,25.6,29.5,0.0,27.0,0.0
7,2,12,23.4,26.0,29.0,0.0,27.9,0.0
7,2,13,23.5,26.2,29.5,0.0,27.6,0.0
7,2,14,23.5,25.9,28.2,0.0,27.8,0.0
7,2,15,22.8,25.2,28.5,0.0,31.6,0.0
7,2,16,23.6,26.4,29.5,0.0,26.5,0.0
7,2,17,23.0,26.3,30.2,0.0,23.5,0.0
7,2,18,22.9,25.9,29.0,0.0,28.1,0.0
7,2,19,23.2,26.0,29.3,0.0,25.5,0.0
7,2,20,23.5,26.3,29.0,0.0,27.9,0.25
7,3,21,23.8,27.0,29.5,0.0,26.9,0.0
