m,m3,coco,coco_pct
4,1,2.0,0.378
10,1,17.0,0.0
4,1,27.0,0.0
5,2,17.0,0.0
7,1,27.0,0.0
6,2,18.0,0.0
12,3,25.0,0.002
10,3,18.0,0.0
12,1,25.0,0.001
12,1,14.0,0.0
6,2,1.0,0.67
2,1,9.0,0.004
1,3,2.0,0.481
9,2,14.0,0.0
5,3,1.0,0.483
5,1,27.0,0.0
2,3,1.0,0.044
4,2,17.0,0.001
5,3,4.0,0.029
7,1,8.0,0.0
11,2,17.0,0.0
7,1,18.0,0.0
8,2,25.0,0.0
11,1,4.0,0.014
2,1,25.0,0.0
3,2,1.0,0.083
10,2,9.0,0.004
7,3,3.0,0.0
3,2,3.0,0.239
10,2,2.0,0.651
11,1,1.0,0.323
2,2,14.0,0.0
8,2,2.0,0.035
9,3,14.0,0.0
2,3,14.0,0.0
12,3,2.0,0.469
3,2,17.0,0.0
12,1,1.0,0.009
2,3,4.0,0.108
7,2,7.0,0.0
11,3,17.0,0.0
7,1,14.0,0.0
11,2,25.0,0.005
7,3,8.0,0.0
12,2,27.0,0.0
11,3,18.0,0.002
7,3,25.0,0.0
4,2,4.0,0.048
6,2,25.0,0.0
11,3,7.0,0.074
2,1,14.0,0.0
9,3,3.0,0.058
1,2,14.0,0.0
5,1,3.0,0.172
11,3,27.0,0.0
6,1,3.0,0.036
2,1,1.0,0.074
4,3,8.0,0.001
4,3,17.0,0.0
10,2,1.0,0.223
3,2,25.0,0.0
4,3,14.0,0.0
6,2,27.0,0.0
9,2,4.0,0.007
12,2,14.0,0.0
1,1,25.0,0.001
9,1,7.0,0.006
2,2,18.0,0.001
8,3,4.0,0.001
11,1,18.0,0.0
12,1,8.0,0.024
3,2,14.0,0.0
9,1,2.0,0.214
6,1,8.0,0.005
9,2,25.0,0.0
1,1,27.0,0.0
5,3,2.0,0.412
8,2,27.0,0.0
12,3,1.0,0.072
5,3,25.0,0.0
7,3,14.0,0.0
12,2,1.0,0.06
1,2,25.0,0.001
5,3,17.0,0.0
7,2,4.0,0.0
10,3,8.0,0.004
5,1,14.0,0.0
9,3,9.0,0.002
3,2,9.0,0.001
4,3,18.0,0.0
9,2,3.0,0.021
2,2,3.0,0.226
7,2,25.0,0.0
1,3,3.0,0.28
10,2,7.0,0.013
4,2,1.0,0.356
9,2,18.0,0.0
2,1,17.0,0.0
11,1,14.0,0.0
10,1,1.0,0.468
3,1,8.0,0.011
2,3,18.0,0.002
2,3,25.0,0.001
1,3,7.0,0.08
12,3,14.0,0.0
12,2,2.0,0.428
6,1,7.0,0.006
11,3,2.0,0.475
2,3,8.0,0.03
7,3,2.0,0.067
12,3,3.0,0.296
9,2,17.0,0.0
9,1,3.0,0.017
12,1,9.0,0.001
10,3,27.0,0.0
10,3,4.0,0.018
10,1,3.0,0.038
6,1,1.0,0.634
11,2,9.0,0.01
12,3,17.0,0.0
5,3,27.0,0.001
3,2,2.0,0.602
2,2,2.0,0.546
1,1,2.0,0.48
4,3,25.0,0.0
2,1,2.0,0.512
8,3,3.0,0.01
3,3,1.0,0.266
8,1,14.0,0.0
7,3,7.0,0.001
8,2,4.0,0.0
8,2,14.0,0.0
10,3,17.0,0.0
1,2,27.0,0.0
3,3,9.0,0.001
11,2,4.0,0.038
4,1,17.0,0.0
12,3,8.0,0.02
12,2,9.0,0.0
5,3,18.0,0.0
11,3,1.0,0.042
2,3,7.0,0.044
10,2,4.0,0.015
9,1,18.0,0.002
12,3,18.0,0.004
2,1,3.0,0.253
7,2,8.0,0.0
9,2,9.0,0.0
8,1,8.0,0.0
9,3,2.0,0.372
1,3,14.0,0.0
9,1,27.0,0.0
2,1,27.0,0.001
8,1,4.0,0.0
6,1,18.0,0.0
12,3,7.0,0.078
3,1,17.0,0.0
8,1,17.0,0.0
10,1,7.0,0.013
7,1,2.0,0.079
3,1,2.0,0.532
