m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,9.2,11.8,14.6,13.9,17.0,0.54,115.0
2,9.2,12.2,15.6,15.7,13.0,0.46,104.0
3,10.4,13.5,17.3,16.7,12.0,0.37,49.0
4,12.9,16.2,20.5,13.6,7.0,0.23,10.0
5,17.1,20.6,24.2,13.3,7.0,0.23,18.0
6,21.0,24.7,28.6,13.1,2.0,0.06,3.0
7,23.6,27.2,30.9,11.7,1.0,0.03,0.0
8,23.7,26.9,30.0,12.1,2.0,0.08,0.0
9,20.9,23.8,27.2,11.5,6.0,0.21,20.0
10,17.4,20.3,23.4,8.9,9.0,0.28,37.0
11,14.6,17.3,20.4,10.5,12.0,0.39,56.0
12,11.2,13.8,16.6,10.5,16.0,0.5,143.0
