m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,10.4,12.1,15.0,3.5,6.2,0.71
1,1,2,9.5,12.0,15.5,4.0,15.9,0.57
1,1,3,9.5,12.6,17.0,0.5,14.5,0.43
1,1,4,9.7,13.4,17.5,1.2,15.6,0.29
1,1,5,10.4,13.1,16.8,1.5,12.9,0.29
1,1,6,7.3,10.8,14.0,9.6,11.2,0.43
1,1,7,8.8,10.5,13.4,3.0,18.8,0.71
1,1,8,9.2,11.2,13.6,4.1,15.7,0.57
1,1,9,9.4,11.5,16.0,5.2,11.0,0.71
1,1,10,10.5,12.3,15.3,3.9,9.4,0.57
1,2,11,10.4,12.9,16.2,0.4,11.7,0.43
1,2,12,10.0,13.0,16.6,12.6,12.3,0.57
1,2,13,9.0,11.5,13.8,13.8,18.3,0.86
1,2,14,9.0,11.1,13.6,2.1,15.9,0.71
1,2,15,9.6,11.7,13.5,2.4,15.5,0.86
1,2,16,9.6,11.5,14.2,4.2,17.8,0.57
1,2,17,8.5,12.0,14.7,2.7,14.8,0.43
1,2,18,9.6,12.1,14.3,2.3,13.0,0.43
1,2,19,9.9,12.0,14.1,0.6,9.8,0.43
1,2,20,8.2,11.4,14.3,0.5,10.4,0.29
1,3,21,9.3,12.2,16.2,1.2,9.6,0.71
1,3,22,8.5,11.8,14.7,4.8,11.2,0.43
1,3,23,7.9,12.2,14.6,2.0,16.3,0.43
1,3,24,8.1,10.9,14.3,3.0,9.9,0.57
1,3,25,7.2,11.1,16.7,0.9,13.8,0.57
1,3,26,9.2,12.3,15.5,4.3,11.4,0.57
1,3,27,8.4,10.8,15.0,1.2,13.3,0.43
1,3,28,8.3,11.4,14.2,1.3,13.6,0.43
1,3,29,8.9,11.8,14.7,3.0,14.6,0.43
1,3,30,10.5,11.8,13.8,7.7,18.4,0.71
1,3,31,9.2,12.3,14.7,7.1,16.1,0.57
2,1,1,9.4,11.7,14.5,4.3,15.9,0.43
2,1,2,8.9,12.3,15.6,0.0,8.9,0.14
2,1,3,9.4,12.3,15.9,4.0,13.7,0.43
2,1,4,9.5,12.7,16.2,1.7,18.2,0.43
2,1,5,9.9,11.8,15.1,1.4,22.6,0.29
2,1,6,9.3,12.2,15.1,4.3,23.9,0.57
2,1,7,7.7,10.8,14.7,10.9,16.6,0.43
2,1,8,8.7,11.6,14.6,6.7,17.2,0.71
2,1,9,8.8,11.7,14.7,6.0,16.3,0.71
2,1,10,8.2,12.1,14.7,0.7,14.2,0.43
2,2,11,9.3,12.2,15.1,1.2,20.3,0.5
2,2,12,9.6,11.9,14.9,0.4,13.5,0.33
2,2,13,9.5,11.8,13.7,2.4,15.6,0.5
2,2,14,9.3,11.3,14.3,12.8,15.6,0.71
2,2,15,8.3,10.0,12.3,8.5,16.7,0.57
2,2,16,8.8,10.5,13.5,8.7,18.7,0.57
2,2,17,8.8,10.8,13.0,4.1,13.6,0.71
2,2,18,8.2,11.3,14.9,0.4,12.8,0.29
2,2,19,8.3,12.1,15.2,0.0,7.9,0.14
2,2,20,9.2,12.1,16.0,1.0,16.8,0.33
2,3,21,9.9,11.8,14.1,1.7,13.1,0.57
2,3,22,8.8,11.5,14.7,0.5,13.5,0.71
2,3,23,8.0,11.5,14.2,2.3,12.2,0.57
2,3,24,8.7,11.5,15.3,1.7,11.9,0.43
2,3,25,9.8,12.1,15.4,3.9,16.8,0.57
2,3,26,9.2,12.9,16.8,9.0,14.5,0.43
2,3,27,11.1,13.5,18.7,2.3,14.0,0.43
2,3,28,11.0,13.9,17.2,0.6,17.4,0.57
2,3,29,10.2,13.9,16.9,0.3,20.6,0.5
