m,coco,coco_pct
9,5.0,0.0
4,27.0,0.0
7,17.0,0.0
7,26.0,0.0
3,8.0,0.012
10,17.0,0.0
10,23.0,0.001
7,7.0,0.001
8,18.0,0.0
8,5.0,0.0
6,9.0,0.0
6,23.0,0.001
6,3.0,0.062
8,1.0,0.859
11,7.0,0.044
8,9.0,0.0
5,25.0,0.002
11,18.0,0.002
1,4.0,0.087
2,3.0,0.216
10,9.0,0.002
2,27.0,0.0
5,17.0,0.0
11,4.0,0.047
2,17.0,0.0
8,7.0,0.001
2,8.0,0.024
3,7.0,0.055
12,2.0,0.305
6,2.0,0.351
10,18.0,0.002
3,25.0,0.005
9,7.0,0.006
10,8.0,0.009
1,23.0,0.002
9,25.0,0.0
8,23.0,0.0
3,3.0,0.233
6,27.0,0.0
1,8.0,0.039
2,18.0,0.001
6,26.0,0.0
5,2.0,0.386
2,23.0,0.001
1,18.0,0.001
9,4.0,0.003
9,18.0,0.0
1,7.0,0.092
10,25.0,0.007
2,1.0,0.251
11,3.0,0.226
4,17.0,0.0
12,18.0,0.001
9,1.0,0.714
8,2.0,0.129
4,25.0,0.0
1,17.0,0.0
2,26.0,0.0
3,9.0,0.007
9,26.0,0.0
4,23.0,0.001
5,27.0,0.0
9,8.0,0.002
4,2.0,0.329
3,26.0,0.0
11,8.0,0.025
1,3.0,0.313
7,18.0,0.0
6,7.0,0.004
3,4.0,0.087
12,7.0,0.087
11,5.0,0.0
5,4.0,0.073
10,4.0,0.014
8,25.0,0.001
6,18.0,0.0
8,8.0,0.0
11,26.0,0.0
7,25.0,0.0
4,7.0,0.019
1,27.0,0.0
4,1.0,0.294
12,4.0,0.058
12,23.0,0.002
4,26.0,0.0
10,1.0,0.534
9,9.0,0.0
5,5.0,0.0
10,7.0,0.013
7,9.0,0.0
7,4.0,0.0
10,2.0,0.313
5,7.0,0.009
5,18.0,0.0
3,27.0,0.0
1,5.0,0.0
5,26.0,0.0
7,3.0,0.007
11,27.0,0.001
9,27.0,0.0
12,25.0,0.029
10,27.0,0.0
8,17.0,0.0
2,4.0,0.078
12,8.0,0.05
7,27.0,0.0
7,8.0,0.0
8,4.0,0.0
5,3.0,0.185
3,2.0,0.385
10,26.0,0.0
10,3.0,0.104
5,1.0,0.343
12,9.0,0.016
4,18.0,0.001
9,17.0,0.0
3,23.0,0.001
4,9.0,0.001
1,9.0,0.022
3,5.0,0.0
6,5.0,0.0
5,8.0,0.001
3,17.0,0.0
6,25.0,0.0
4,5.0,0.0
3,18.0,0.0
1,25.0,0.015
11,23.0,0.002
11,25.0,0.02
11,9.0,0.009
1,1.0,0.178
12,1.0,0.153
6,8.0,0.001
10,5.0,0.0
1,2.0,0.251
2,5.0,0.0
12,3.0,0.3
4,8.0,0.01
4,4.0,0.1
6,17.0,0.0
12,26.0,0.0
7,5.0,0.0
9,2.0,0.23
8,3.0,0.01
11,17.0,0.0
9,3.0,0.044
2,2.0,0.363
4,3.0,0.244
11,2.0,0.344
12,27.0,0.0
5,23.0,0.001
2,7.0,0.055
12,17.0,0.0
12,5.0,0.0
7,1.0,0.904
8,27.0,0.0
1,26.0,0.0
11,1.0,0.282
6,1.0,0.573
7,2.0,0.087
6,4.0,0.007
3,1.0,0.217
2,9.0,0.005
9,23.0,0.0
8,26.0,0.0
7,23.0,0.0
5,9.0,0.0
2,25.0,0.006
