m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,10.8,14.4,12.7,76.5,10.3,0.11
1,1,11.0,14.0,12.5,77.5,11.0,0.13
1,2,11.0,14.0,12.5,79.5,11.9,0.13
1,3,10.6,14.2,12.2,76.5,11.0,0.13
1,4,11.0,14.0,12.0,77.5,11.0,0.1
1,5,10.0,14.0,12.0,76.5,11.0,0.1
1,6,10.2,14.2,12.3,75.5,9.9,0.12
1,7,11.0,16.0,13.0,72.5,11.0,0.12
1,8,12.0,16.0,14.0,72.0,10.3,0.14
1,9,12.6,17.0,15.0,66.0,11.9,0.12
1,10,13.0,18.0,15.0,65.5,13.0,0.18
1,11,14.0,18.0,15.5,65.5,12.2,0.16
1,12,13.6,17.8,15.6,64.0,13.7,0.14
1,13,13.0,18.0,15.5,64.0,13.0,0.17
1,14,13.0,18.0,15.0,64.0,14.1,0.15
1,15,12.5,16.8,14.5,68.0,13.0,0.12
1,16,12.0,16.0,13.5,74.0,12.2,0.13
1,17,12.0,15.0,13.5,73.0,11.2,0.12
1,18,11.6,15.4,13.3,75.0,11.9,0.14
1,19,11.0,15.0,13.0,74.5,11.0,0.15
1,20,11.0,15.0,13.0,75.0,10.4,0.13
1,21,11.0,15.2,13.2,75.0,10.3,0.13
1,22,11.0,15.0,12.5,75.5,11.0,0.13
1,23,10.0,15.0,12.5,75.5,11.0,0.13
2,0,10.8,14.4,12.4,69.0,11.0,0.03
2,1,10.0,14.0,12.0,71.5,11.2,0.03
2,2,10.0,14.0,12.0,72.5,11.9,0.03
2,3,10.2,13.6,12.0,71.0,11.2,0.05
2,4,10.0,14.0,12.0,71.5,11.3,0.07
2,5,10.0,13.0,11.5,73.0,11.2,0.06
2,6,9.7,14.0,12.1,73.5,10.2,0.06
2,7,11.0,16.0,13.5,69.5,11.0,0.06
2,8,13.0,16.0,14.5,65.5,11.2,0.03
2,9,13.0,17.4,15.2,61.5,13.0,0.03
2,10,14.0,17.0,15.5,60.0,13.9,0.1
2,11,13.0,18.0,15.5,60.0,14.8,0.13
2,12,13.5,17.6,15.9,58.0,15.9,0.13
2,13,13.0,18.0,15.5,60.0,15.0,0.1
2,14,14.0,18.0,16.0,59.0,15.0,0.14
2,15,13.0,17.2,15.4,61.5,14.3,0.09
2,16,13.0,16.0,14.0,66.0,13.8,0.05
2,17,12.0,16.0,13.5,68.0,13.7,0.09
2,18,12.0,15.4,13.6,68.5,12.8,0.05
2,19,12.0,15.0,13.5,69.5,11.9,0.07
2,20,11.0,15.0,13.0,69.0,11.2,0.07
2,21,11.0,14.6,12.8,69.0,11.2,0.08
2,22,11.0,14.0,12.5,70.0,11.9,0.08
2,23,11.0,14.0,12.5,71.0,11.2,0.05
3,0,12.4,15.0,13.5,73.0,11.0,0.04
3,1,12.0,15.0,13.5,73.5,11.0,0.04
3,2,12.0,15.0,13.5,75.5,11.0,0.06
3,3,12.0,14.8,13.4,74.5,12.1,0.1
3,4,12.0,15.0,13.5,75.0,10.3,0.11
3,5,12.0,15.0,13.0,77.5,10.1,0.07
3,6,12.0,15.4,13.7,73.0,11.2,0.05
3,7,13.0,17.0,15.0,68.5,13.0,0.09
3,8,14.0,18.0,15.5,66.0,14.1,0.08
3,9,15.0,18.0,16.4,62.5,14.7,0.11
3,10,15.0,19.0,16.5,60.5,15.9,0.13
3,11,15.0,19.0,17.0,59.0,16.8,0.1
3,12,15.6,19.0,17.2,58.5,16.8,0.13
3,13,16.0,19.0,17.5,58.5,17.6,0.06
3,14,15.0,19.0,17.5,59.0,17.6,0.06
3,15,15.4,18.2,16.8,59.0,17.0,0.03
3,16,15.0,18.0,16.5,61.5,15.9,0.02
3,17,14.0,17.0,15.5,68.0,13.0,0.06
3,18,13.4,16.0,14.8,70.0,13.0,0.08
3,19,13.0,16.0,14.5,69.5,13.0,0.09
3,20,13.0,16.0,14.5,72.0,13.0,0.08
3,21,12.8,15.5,14.1,71.5,12.1,0.06
3,22,13.0,15.0,14.0,72.5,11.9,0.07
3,23,13.0,15.0,14.0,74.5,11.0,0.07
4,0,14.8,17.2,16.0,75.3,11.5,0.03
4,1,15.0,17.0,16.0,76.5,11.0,0.02
4,2,14.5,17.0,16.0,77.3,10.3,0.03
4,3,14.1,16.8,15.4,78.0,11.0,0.08
4,4,14.0,17.0,15.5,78.3,11.0,0.08
4,5,15.0,17.0,16.0,75.3,11.1,0.08
4,6,15.8,18.8,17.6,70.5,13.0,0.07
4,7,17.0,20.0,18.5,68.5,14.8,0.05
4,8,18.0,20.0,19.0,64.0,16.3,0.1
4,9,18.2,21.1,19.7,60.8,17.7,0.1
4,10,19.0,21.5,20.0,60.3,19.1,0.05
4,11,19.0,22.0,20.5,57.8,20.0,0.07
4,12,19.1,22.3,20.8,56.0,20.4,0.07
4,13,19.0,22.0,20.8,57.8,21.9,0.03
4,14,19.0,22.0,20.5,57.0,21.4,0.05
4,15,18.5,21.8,20.2,59.8,20.5,0.03
4,16,18.0,21.0,19.3,64.5,20.4,0.03
4,17,17.0,20.0,18.0,70.5,17.7,0.05
4,18,16.4,18.9,17.7,70.0,14.4,0.03
4,19,16.0,18.5,17.3,71.0,13.9,0.02
4,20,16.0,18.0,17.0,73.0,12.6,0.02
4,21,15.6,17.9,16.7,72.8,11.9,0.05
4,22,15.0,18.0,16.5,73.5,12.0,0.08
4,23,15.0,17.0,16.0,74.5,11.9,0.03
5,0,18.0,21.0,19.4,74.0,11.2,0.04
5,1,18.0,21.0,19.0,75.5,11.0,0.03
5,2,17.0,20.0,19.0,76.0,11.2,0.03
5,3,17.2,20.4,19.1,77.0,11.2,0.02
5,4,18.0,21.0,19.5,76.0,11.0,0.01
5,5,19.0,22.0,20.5,73.5,12.1,0.05
5,6,19.6,23.2,21.8,69.5,14.8,0.06
5,7,20.0,24.0,22.5,66.5,16.7,0.05
5,8,21.0,25.0,23.5,63.0,17.7,0.06
5,9,22.0,25.4,23.7,59.0,18.5,0.11
5,10,22.0,26.0,24.0,57.5,18.6,0.08
5,11,23.0,27.0,24.5,56.5,21.3,0.07
5,12,22.6,26.5,24.9,56.5,22.4,0.08
5,13,23.0,26.0,24.5,56.5,22.4,0.09
5,14,23.0,26.0,24.5,58.0,22.2,0.06
5,15,22.0,25.4,23.9,61.0,20.4,0.03
5,16,21.0,25.0,23.5,63.0,20.4,0.04
5,17,21.0,24.0,22.0,67.0,17.7,0.06
5,18,19.8,23.2,21.7,69.0,14.8,0.03
5,19,19.0,23.0,21.0,70.5,13.0,0.04
5,20,19.0,22.0,21.0,71.0,13.0,0.0
5,21,19.0,22.0,20.5,70.5,12.1,0.03
5,22,19.0,22.0,20.5,71.0,13.0,0.03
5,23,18.0,21.0,20.0,72.5,11.2,0.05
6,0,22.0,24.4,23.3,75.0,13.5,0.0
6,1,21.5,24.0,23.0,74.3,13.5,0.01
6,2,21.5,24.0,23.0,76.0,13.0,0.0
6,3,21.5,23.9,22.9,75.5,11.2,0.02
6,4,22.0,24.0,23.0,75.3,12.1,0.0
6,5,23.0,25.5,24.0,72.3,13.9,0.0
6,6,23.2,26.1,24.9,70.0,16.7,0.03
6,7,24.0,27.0,25.8,67.3,17.7,0.02
6,8,24.5,28.0,26.3,65.3,18.6,0.01
6,9,25.0,28.5,26.8,62.3,19.5,0.0
6,10,25.5,29.0,27.5,60.0,21.3,0.03
6,11,26.0,30.0,28.0,59.3,24.0,0.06
6,12,26.0,29.6,27.9,57.5,25.0,0.01
6,13,26.0,30.0,28.0,58.5,26.1,0.01
6,14,26.0,29.5,28.0,59.0,25.9,0.02
6,15,25.8,29.0,27.4,59.8,26.8,0.01
6,16,25.0,28.5,26.5,62.5,24.2,0.01
6,17,24.0,28.0,26.0,66.0,20.9,0.01
6,18,24.0,26.6,25.1,68.3,19.5,0.0
6,19,23.5,26.0,24.5,69.8,16.8,0.02
6,20,23.0,26.0,24.0,70.3,15.3,0.01
6,21,22.7,25.4,23.9,70.3,14.8,0.0
6,22,22.5,25.0,24.0,72.3,14.4,0.0
6,23,22.0,24.5,23.5,73.8,13.9,0.0
7,0,24.4,27.6,26.0,69.5,14.8,0.0
7,1,24.0,27.0,25.5,70.5,14.8,0.0
7,2,24.0,27.0,25.5,72.0,13.0,0.0
7,3,24.0,26.8,25.4,71.5,13.0,0.0
7,4,24.0,27.0,25.5,72.0,13.9,0.0
7,5,25.0,28.0,26.5,70.0,14.8,0.0
7,6,26.0,29.0,27.4,66.5,16.8,0.0
7,7,27.0,30.0,28.0,63.0,18.6,0.0
7,8,28.0,31.0,29.0,61.0,18.6,0.0
7,9,28.4,31.2,29.7,57.5,20.4,0.01
7,10,29.0,32.0,30.0,56.0,23.0,0.01
7,11,29.0,32.0,30.5,56.0,25.0,0.01
7,12,29.4,32.4,30.9,55.0,25.9,0.01
7,13,29.0,32.0,31.0,54.5,27.9,0.0
7,14,29.0,32.0,31.0,55.5,28.8,0.0
7,15,28.6,32.2,30.7,56.5,27.9,0.0
7,16,28.0,31.0,30.0,58.0,26.8,0.0
7,17,27.0,31.0,29.0,61.0,24.0,0.0
7,18,26.4,30.0,28.2,64.0,20.4,0.0
7,19,26.0,29.0,27.5,65.5,18.6,0.0
7,20,25.0,29.0,27.0,66.0,16.6,0.0
7,21,25.4,28.4,26.8,66.0,15.7,0.0
7,22,25.0,28.0,26.5,67.5,15.0,0.0
7,23,25.0,28.0,26.5,69.0,14.8,0.0
8,0,25.0,27.2,26.2,76.0,15.7,0.0
8,1,25.0,27.0,26.0,77.5,15.7,0.0
8,2,25.0,27.0,26.0,76.5,15.7,0.0
8,3,24.8,26.6,25.7,77.5,15.0,0.0
8,4,25.0,26.0,25.5,79.0,14.8,0.0
8,5,25.0,27.0,26.5,76.0,15.0,0.0
8,6,26.6,28.2,27.5,73.0,18.6,0.0
8,7,28.0,29.0,28.5,70.5,18.6,0.01
8,8,28.0,30.0,29.0,67.5,20.4,0.02
8,9,28.7,31.0,29.8,64.5,21.3,0.03
8,10,29.0,31.0,30.0,64.0,22.2,0.01
8,11,29.0,32.0,30.5,61.0,23.3,0.02
8,12,29.4,32.0,30.7,62.0,25.0,0.02
8,13,30.0,32.0,30.5,61.0,27.0,0.01
8,14,29.0,32.0,30.5,62.5,27.9,0.01
8,15,29.0,31.6,30.0,63.0,27.9,0.02
8,16,28.0,31.0,29.5,64.5,25.9,0.0
8,17,27.0,30.0,28.5,68.0,23.2,0.01
8,18,26.8,28.8,27.9,69.0,20.4,0.01
8,19,26.0,28.0,27.5,73.5,18.6,0.0
8,20,26.0,28.0,27.0,72.5,17.5,0.0
8,21,26.0,27.8,26.8,73.0,16.8,0.0
8,22,26.0,28.0,26.5,74.5,16.7,0.0
8,23,25.0,27.0,26.5,75.0,15.9,0.0
9,0,23.9,25.6,24.6,73.5,14.0,0.01
9,1,23.5,25.0,24.0,73.8,13.9,0.01
9,2,23.5,25.0,24.0,73.8,13.9,0.0
9,3,23.5,25.2,24.3,74.8,13.0,0.01
9,4,24.0,25.0,24.5,74.0,13.0,0.01
9,5,24.0,25.5,24.5,74.0,12.0,0.03
9,6,25.0,26.6,25.9,68.8,14.4,0.02
9,7,26.0,28.0,26.8,65.5,16.3,0.01
9,8,26.7,29.0,27.5,62.0,17.7,0.01
9,9,27.3,29.2,28.3,59.0,18.6,0.03
9,10,27.0,30.0,28.5,57.0,19.5,0.07
9,11,28.0,30.0,29.0,57.0,22.2,0.06
9,12,28.0,30.0,28.9,56.0,23.2,0.04
9,13,28.0,30.0,28.8,56.8,24.1,0.01
9,14,27.5,30.0,28.5,57.0,25.0,0.02
9,15,27.2,29.2,28.1,59.0,25.0,0.01
9,16,26.0,28.0,27.0,62.3,22.6,0.01
9,17,25.0,27.0,26.5,66.0,21.3,0.0
9,18,24.9,26.9,26.0,66.5,19.1,0.0
9,19,24.5,27.0,25.5,68.0,15.9,0.0
9,20,24.0,26.0,25.5,69.5,15.7,0.0
9,21,24.1,26.0,25.1,69.5,14.8,0.01
9,22,24.0,26.0,24.9,69.5,14.8,0.01
9,23,24.0,26.0,24.5,71.5,14.8,0.02
10,0,20.4,22.4,21.4,76.0,8.3,0.01
10,1,20.0,22.0,21.5,77.5,9.2,0.01
10,2,20.0,22.0,21.0,76.0,8.3,0.01
10,3,20.0,21.8,20.9,76.5,7.4,0.01
10,4,20.0,22.0,20.5,78.0,8.3,0.0
10,5,20.0,22.0,21.0,76.0,8.3,0.01
10,6,20.6,23.0,21.7,73.0,9.2,0.0
10,7,22.0,24.0,23.0,69.0,11.0,0.0
10,8,23.0,25.0,24.0,65.0,12.1,0.01
10,9,23.5,25.8,24.5,62.0,13.0,0.02
10,10,23.0,26.0,24.5,60.0,14.8,0.02
10,11,24.0,27.0,25.0,58.0,15.0,0.05
10,12,24.4,26.4,25.3,56.0,15.9,0.05
10,13,24.0,26.0,25.5,56.5,17.7,0.05
10,14,24.0,26.0,25.0,58.5,18.6,0.03
10,15,23.4,25.2,24.5,62.0,16.8,0.03
10,16,22.0,24.0,23.0,66.0,15.0,0.01
10,17,22.0,24.0,23.0,68.0,13.7,0.02
10,18,21.4,23.6,22.5,68.5,12.1,0.02
10,19,21.0,23.0,22.5,71.0,11.1,0.02
10,20,20.0,23.0,22.0,71.5,11.0,0.01
10,21,20.4,22.8,21.9,73.0,9.2,0.01
10,22,20.0,23.0,21.5,75.5,9.3,0.01
10,23,20.0,22.0,21.0,75.5,8.3,0.02
11,0,16.4,19.2,17.7,77.8,8.3,0.12
11,1,16.0,19.0,18.0,78.0,6.5,0.12
11,2,16.0,19.0,17.5,78.3,7.0,0.12
11,3,16.0,19.1,17.5,79.0,8.3,0.11
11,4,16.0,19.0,17.5,80.0,8.3,0.11
11,5,16.0,19.0,17.5,79.0,7.4,0.12
11,6,16.3,19.8,17.9,76.3,7.4,0.08
11,7,18.0,20.5,19.5,73.5,9.2,0.08
11,8,19.0,22.0,20.5,69.3,10.1,0.07
11,9,19.4,22.2,20.8,64.0,11.2,0.12
11,10,20.0,22.0,21.0,62.8,12.1,0.19
11,11,20.0,23.0,21.5,61.5,12.1,0.15
11,12,20.4,23.0,21.5,61.5,12.1,0.23
11,13,20.0,23.0,21.3,62.3,13.0,0.14
11,14,20.0,22.5,21.0,63.8,11.2,0.13
11,15,19.0,21.3,20.1,67.3,11.0,0.1
11,16,18.0,20.5,19.5,70.0,10.1,0.09
11,17,17.0,20.0,18.5,70.5,8.9,0.11
11,18,17.2,19.7,18.5,72.5,9.2,0.1
11,19,17.0,19.5,18.0,73.3,8.3,0.1
11,20,17.0,19.0,18.0,75.5,8.3,0.08
11,21,16.4,19.4,17.9,74.8,7.4,0.1
11,22,16.0,19.0,17.8,75.8,8.3,0.09
11,23,16.0,19.0,17.5,76.0,8.3,0.11
12,0,12.8,16.2,14.4,77.5,11.0,0.11
12,1,13.0,16.0,14.5,80.0,10.1,0.14
12,2,13.0,16.0,14.0,80.0,9.2,0.18
12,3,12.6,15.6,14.4,79.0,10.3,0.17
12,4,13.0,16.0,14.0,78.0,10.1,0.11
12,5,12.0,16.0,14.0,80.0,10.1,0.16
12,6,12.7,16.0,14.4,78.5,9.4,0.12
12,7,13.0,16.0,15.0,77.5,8.3,0.14
12,8,14.0,17.0,16.0,74.5,10.1,0.16
12,9,15.2,18.2,16.8,69.5,10.1,0.15
12,10,15.0,19.0,16.5,67.0,11.0,0.17
12,11,15.0,19.0,17.0,66.0,12.1,0.22
12,12,15.6,19.4,17.5,66.0,12.1,0.22
12,13,16.0,19.0,17.5,66.0,13.0,0.18
12,14,16.0,19.0,17.0,68.0,11.2,0.15
12,15,14.2,17.6,16.0,71.0,11.0,0.06
12,16,13.0,17.0,15.0,72.0,11.0,0.07
12,17,13.0,17.0,15.0,75.0,11.0,0.14
12,18,13.4,17.0,15.1,75.5,11.0,0.15
12,19,13.0,17.0,15.0,77.0,10.1,0.14
12,20,13.0,17.0,14.5,77.5,11.0,0.16
12,21,12.8,16.0,14.4,77.0,10.1,0.12
12,22,13.0,16.0,14.5,79.5,9.2,0.14
