m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,12.0,14.2,17.0,8.7,5.0,0.5,9.0
1,2,10.8,12.9,16.0,12.0,6.0,0.57,6.0
1,3,10.3,13.4,16.0,12.6,6.0,0.51,6.0
2,1,10.9,13.2,16.0,14.0,3.0,0.33,6.0
2,2,10.5,13.4,16.3,11.3,3.0,0.27,3.0
2,3,12.0,14.4,17.0,12.3,2.0,0.26,1.0
3,1,12.1,15.0,17.6,12.1,5.0,0.47,12.0
3,2,12.3,14.6,17.6,15.6,4.0,0.42,10.0
3,3,13.0,15.8,19.0,14.0,5.0,0.41,7.0
4,1,14.5,17.0,20.1,13.9,4.0,0.35,16.0
4,2,14.9,18.2,21.8,15.6,3.0,0.25,6.0
4,3,16.0,19.3,22.8,15.7,2.0,0.2,3.0
5,1,17.5,20.5,23.9,16.5,4.0,0.4,5.0
5,2,18.7,22.3,26.4,15.6,3.0,0.25,1.0
5,3,19.5,22.3,26.0,15.6,5.0,0.41,7.0
6,1,21.1,24.0,27.5,16.5,1.0,0.07,0.0
6,2,22.4,25.3,28.0,18.9,2.0,0.23,0.0
6,3,24.0,27.1,29.6,19.2,0.0,0.0,0.0
7,1,25.0,27.8,30.8,19.2,0.0,0.03,0.0
7,2,24.8,28.0,31.2,19.6,0.0,0.0,0.0
7,3,25.9,28.6,32.1,19.6,0.0,0.0,0.0
8,1,25.9,28.6,31.6,20.5,0.0,0.03,0.0
8,2,25.3,28.1,31.0,20.7,0.0,0.03,0.0
8,3,25.2,27.5,30.5,18.7,1.0,0.09,0.0
9,1,24.9,27.2,30.3,19.2,2.0,0.22,1.0
9,2,24.0,26.2,29.3,17.2,1.0,0.1,1.0
9,3,22.7,25.2,27.9,16.5,1.0,0.13,0.0
10,1,21.4,24.2,27.0,13.5,1.0,0.1,0.0
10,2,20.5,22.9,25.6,13.2,2.0,0.23,0.0
10,3,18.9,21.4,24.8,8.5,1.0,0.09,0.0
11,1,17.8,20.7,24.0,8.6,2.0,0.17,0.0
11,2,16.3,19.0,22.0,10.4,5.0,0.47,4.0
11,3,15.0,17.2,20.2,10.1,7.0,0.67,12.0
12,1,13.9,16.1,18.9,10.5,7.0,0.65,27.0
12,2,13.0,15.6,18.3,10.2,4.0,0.42,18.0
12,3,11.7,14.4,17.0,11.9,5.0,0.48,9.0
