m,m3,coco,coco_pct
1,3,25.0,0.0
1,2,16.0,0.001
3,3,27.0,0.0
4,1,23.0,0.001
8,3,25.0,0.009
11,3,14.0,0.0
9,1,3.0,0.109
11,3,27.0,0.0
8,2,14.0,0.0
8,3,12.0,0.0
10,1,5.0,0.0
12,2,27.0,0.0
3,3,26.0,0.0
8,2,2.0,0.424
6,3,14.0,0.0
12,3,12.0,0.0
11,1,16.0,0.0
10,3,25.0,0.0
2,3,17.0,0.0
12,3,3.0,0.21
2,1,7.0,0.043
2,2,25.0,0.0
4,2,14.0,0.0
3,3,18.0,0.0
1,2,18.0,0.001
10,2,15.0,0.0
1,1,8.0,0.02
7,3,10.0,0.0
12,2,10.0,0.0
1,1,14.0,0.018
5,2,1.0,0.149
4,1,8.0,0.031
8,1,25.0,0.009
10,2,16.0,0.0
4,3,13.0,0.0
1,2,7.0,0.06
9,2,25.0,0.005
5,1,26.0,0.0
7,1,3.0,0.086
7,1,27.0,0.0
12,2,4.0,0.212
7,3,25.0,0.002
12,1,15.0,0.0
4,2,13.0,0.0
11,3,8.0,0.023
12,3,14.0,0.0
5,1,10.0,0.0
8,1,14.0,0.0
11,1,2.0,0.348
8,2,3.0,0.136
1,3,2.0,0.285
6,1,15.0,0.0
3,2,25.0,0.0
2,1,13.0,0.0
4,3,15.0,0.0
7,2,13.0,0.0
3,2,14.0,0.0
2,1,12.0,0.0
3,3,5.0,0.019
11,3,17.0,0.0
7,3,14.0,0.0
4,2,15.0,0.0
6,2,2.0,0.427
9,3,16.0,0.0
3,1,16.0,0.0
1,1,13.0,0.0
3,2,13.0,0.0
7,2,18.0,0.0
7,3,15.0,0.0
6,1,4.0,0.042
12,2,13.0,0.0
3,2,7.0,0.067
9,3,17.0,0.003
7,3,2.0,0.363
8,3,8.0,0.008
3,3,2.0,0.345
4,2,23.0,0.002
12,2,15.0,0.0
3,3,13.0,0.0
2,1,18.0,0.0
3,3,7.0,0.094
1,1,10.0,0.005
2,1,23.0,0.0
5,2,16.0,0.0
1,1,27.0,0.0
3,2,23.0,0.0
12,2,9.0,0.002
8,1,17.0,0.001
1,3,15.0,0.0
3,3,1.0,0.231
