m,coco,coco_pct
6,7.0,0.011
5,8.0,0.003
10,25.0,0.002
11,27.0,0.0
2,23.0,0.0
2,2.0,0.356
12,5.0,0.0
3,17.0,0.0
3,23.0,0.001
3,3.0,0.227
9,2.0,0.214
6,9.0,0.0
6,26.0,0.0
4,17.0,0.0
7,17.0,0.0
3,4.0,0.094
1,25.0,0.011
4,3.0,0.211
2,18.0,0.0
11,10.0,0.0
9,26.0,0.0
8,23.0,0.0
12,1.0,0.134
3,2.0,0.382
11,3.0,0.226
7,7.0,0.0
6,17.0,0.0
5,2.0,0.413
4,4.0,0.098
3,18.0,0.0
1,5.0,0.0
12,2.0,0.312
12,18.0,0.001
7,26.0,0.0
8,9.0,0.0
5,7.0,0.014
12,10.0,0.0
2,7.0,0.053
9,3.0,0.063
5,10.0,0.0
1,18.0,0.002
8,5.0,0.0
5,1.0,0.357
4,26.0,0.0
8,17.0,0.0
10,5.0,0.0
10,8.0,0.006
4,9.0,0.003
4,10.0,0.0
5,26.0,0.0
8,26.0,0.0
9,27.0,0.0
10,3.0,0.103
6,23.0,0.001
8,2.0,0.079
11,5.0,0.0
2,1.0,0.215
1,2.0,0.281
10,10.0,0.0
9,4.0,0.005
8,3.0,0.007
5,18.0,0.0
5,9.0,0.0
7,18.0,0.0
9,9.0,0.0
8,25.0,0.0
8,4.0,0.001
4,27.0,0.0
7,9.0,0.0
10,9.0,0.001
1,10.0,0.0
11,7.0,0.059
7,27.0,0.0
7,2.0,0.088
11,25.0,0.007
11,17.0,0.0
5,5.0,0.0
6,2.0,0.293
3,5.0,0.0
12,7.0,0.094
10,18.0,0.001
1,9.0,0.026
9,10.0,0.0
4,7.0,0.03
4,18.0,0.0
3,25.0,0.005
2,27.0,0.001
9,18.0,0.0
2,3.0,0.234
4,23.0,0.0
1,26.0,0.001
10,7.0,0.015
4,1.0,0.322
8,18.0,0.0
4,2.0,0.319
10,2.0,0.342
9,25.0,0.0
11,8.0,0.026
5,3.0,0.163
6,5.0,0.0
10,1.0,0.514
7,5.0,0.0
2,26.0,0.0
8,1.0,0.912
9,23.0,0.0
1,3.0,0.268
2,5.0,0.0
10,23.0,0.0
2,8.0,0.029
11,4.0,0.069
12,3.0,0.287
12,17.0,0.0
11,2.0,0.297
7,25.0,0.0
3,1.0,0.22
12,26.0,0.0
1,7.0,0.082
8,27.0,0.0
9,1.0,0.705
12,9.0,0.019
11,26.0,0.0
12,8.0,0.057
5,17.0,0.0
6,25.0,0.002
11,9.0,0.009
2,10.0,0.0
6,3.0,0.071
6,8.0,0.002
5,23.0,0.001
12,23.0,0.0
7,1.0,0.902
12,27.0,0.0
11,1.0,0.304
10,17.0,0.0
6,1.0,0.613
2,4.0,0.097
4,8.0,0.016
3,10.0,0.0
6,27.0,0.0
12,25.0,0.011
7,4.0,0.001
7,3.0,0.01
8,10.0,0.0
3,8.0,0.02
5,27.0,0.0
2,25.0,0.01
5,25.0,0.0
11,18.0,0.001
3,9.0,0.004
1,8.0,0.06
9,5.0,0.0
7,8.0,0.0
6,10.0,0.0
10,27.0,0.0
9,7.0,0.007
6,18.0,0.001
1,4.0,0.108
8,8.0,0.0
10,4.0,0.017
4,25.0,0.001
10,26.0,0.0
2,9.0,0.006
3,7.0,0.048
6,4.0,0.008
2,17.0,0.0
9,8.0,0.004
4,5.0,0.0
8,7.0,0.0
3,27.0,0.0
1,27.0,0.0
1,17.0,0.0
7,10.0,0.0
12,4.0,0.083
9,17.0,0.0
3,26.0,0.0
11,23.0,0.001
1,1.0,0.161
1,23.0,0.001
7,23.0,0.0
5,4.0,0.048
