m,m3,coco,coco_pct
9,2,1.0,0.642
7,2,8.0,0.0
10,3,2.0,0.476
3,1,1.0,0.062
9,3,25.0,0.0
8,2,25.0,0.0
9,3,18.0,0.0
1,3,9.0,0.004
3,2,1.0,0.076
2,2,4.0,0.042
5,3,1.0,0.426
11,3,3.0,0.332
7,2,1.0,0.913
12,1,9.0,0.001
9,3,7.0,0.014
8,2,17.0,0.0
7,1,4.0,0.0
2,3,1.0,0.043
1,3,1.0,0.02
11,1,3.0,0.126
5,1,2.0,0.469
10,2,3.0,0.116
7,1,17.0,0.0
12,1,8.0,0.01
1,2,17.0,0.0
2,1,18.0,0.001
3,2,18.0,0.0
5,2,2.0,0.369
7,3,3.0,0.0
2,2,3.0,0.257
1,1,7.0,0.09
11,2,17.0,0.0
8,2,18.0,0.0
7,1,2.0,0.092
7,3,8.0,0.0
9,1,1.0,0.713
8,1,2.0,0.073
11,3,1.0,0.005
3,3,9.0,0.019
10,2,1.0,0.178
2,1,3.0,0.289
1,1,8.0,0.014
11,1,17.0,0.0
3,3,8.0,0.011
3,3,1.0,0.253
3,2,7.0,0.042
3,3,2.0,0.446
3,2,17.0,0.0
1,3,4.0,0.049
7,2,4.0,0.0
7,3,2.0,0.082
11,1,2.0,0.528
5,3,7.0,0.001
3,2,4.0,0.021
3,1,3.0,0.252
2,3,2.0,0.541
5,2,9.0,0.0
12,3,25.0,0.0
3,1,25.0,0.0
6,3,17.0,0.001
3,2,25.0,0.0
9,2,9.0,0.0
6,3,7.0,0.002
10,2,17.0,0.0
8,2,2.0,0.029
2,3,25.0,0.0
11,1,7.0,0.004
12,2,9.0,0.0
12,3,4.0,0.031
7,1,7.0,0.0
4,3,7.0,0.0
5,2,18.0,0.0
5,3,3.0,0.08
8,2,8.0,0.0
7,2,2.0,0.081
6,1,8.0,0.001
6,2,25.0,0.0
6,1,18.0,0.0
6,1,1.0,0.605
5,3,9.0,0.0
5,1,18.0,0.0
6,3,8.0,0.0
4,2,9.0,0.0
11,1,9.0,0.0
1,2,9.0,0.011
8,2,9.0,0.0
7,1,9.0,0.0
1,2,7.0,0.069
12,2,7.0,0.097
4,3,1.0,0.362
11,3,8.0,0.013
1,3,7.0,0.082
8,3,9.0,0.0
10,1,4.0,0.005
5,1,9.0,0.0
9,1,3.0,0.027
12,2,2.0,0.48
1,3,25.0,0.0
8,1,3.0,0.0
3,2,9.0,0.0
7,3,1.0,0.918
4,1,9.0,0.005
6,3,4.0,0.0
10,3,7.0,0.022
2,3,4.0,0.056
6,1,2.0,0.345
1,1,17.0,0.0
10,1,17.0,0.0
11,2,1.0,0.061
7,1,3.0,0.0
4,3,9.0,0.0
8,1,4.0,0.0
12,2,18.0,0.002
7,3,4.0,0.0
1,2,8.0,0.019
9,1,2.0,0.246
8,1,17.0,0.0
10,3,1.0,0.388
9,2,2.0,0.328
2,2,2.0,0.555
12,3,7.0,0.056
1,2,2.0,0.397
9,2,7.0,0.0
6,3,25.0,0.0
6,2,1.0,0.644
6,3,1.0,0.901
12,3,18.0,0.001
6,2,7.0,0.002
3,3,3.0,0.189
11,3,7.0,0.061
11,3,9.0,0.004
8,1,8.0,0.0
4,1,2.0,0.434
8,2,7.0,0.0
6,2,9.0,0.0
10,1,2.0,0.547
11,1,4.0,0.017
4,3,3.0,0.165
7,2,17.0,0.0
3,3,4.0,0.036
3,1,17.0,0.0
12,1,2.0,0.543
11,1,25.0,0.001
9,3,3.0,0.048
5,1,7.0,0.003
2,1,7.0,0.062
8,3,3.0,0.011
4,2,17.0,0.0
3,3,7.0,0.047
3,1,9.0,0.006
3,2,8.0,0.002
12,1,25.0,0.0
11,1,8.0,0.0
12,1,17.0,0.0
6,2,3.0,0.021
7,2,7.0,0.0
5,2,17.0,0.0
6,3,3.0,0.0
1,2,3.0,0.429
6,3,18.0,0.0
4,2,25.0,0.0
12,1,18.0,0.0
3,1,18.0,0.0
9,1,17.0,0.0
4,1,4.0,0.059
10,3,17.0,0.0
10,1,18.0,0.0
5,3,18.0,0.0
11,3,17.0,0.0
8,1,25.0,0.0
1,2,4.0,0.041
5,3,4.0,0.028
9,3,8.0,0.001
4,3,25.0,0.0
2,3,17.0,0.0
6,1,25.0,0.0
8,2,1.0,0.971
10,1,1.0,0.4
5,3,2.0,0.465
4,2,3.0,0.158
6,1,7.0,0.009
10,3,9.0,0.001
6,2,4.0,0.0
10,3,25.0,0.0
12,1,4.0,0.023
3,3,17.0,0.0
1,1,25.0,0.0
7,3,17.0,0.0
1,1,18.0,0.0
7,2,9.0,0.0
3,1,8.0,0.021
6,3,9.0,0.0
5,2,3.0,0.119
9,2,25.0,0.0
4,1,8.0,0.015
8,1,1.0,0.927
2,3,8.0,0.026
12,3,17.0,0.0
