m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,12.6,14.4,16.4,1.2,15.2,0.75
1,1,2,12.2,14.8,17.7,0.0,11.1,0.2
1,1,3,11.8,14.6,17.8,0.0,12.7,0.0
1,1,4,12.3,14.7,17.0,0.1,12.1,0.4
1,1,5,12.6,14.6,17.1,0.7,16.8,0.4
1,1,6,11.8,14.6,17.7,0.1,12.9,0.4
1,1,7,11.7,14.2,18.0,0.1,11.4,0.4
1,1,8,12.7,15.0,18.1,0.0,14.9,0.0
1,1,9,11.7,14.0,16.7,0.2,15.4,0.4
1,1,10,11.6,13.4,16.4,2.9,18.7,0.6
1,2,11,10.8,13.1,16.0,0.9,18.3,0.6
1,2,12,11.0,13.5,16.8,3.4,18.7,0.8
1,2,13,11.4,13.0,14.2,3.2,32.8,0.8
1,2,14,9.3,12.1,14.0,1.4,28.0,0.8
1,2,15,10.0,12.7,15.9,2.1,19.6,0.8
1,2,16,10.1,13.1,16.4,0.3,22.2,0.8
1,2,17,10.5,12.6,15.5,0.4,20.3,0.4
1,2,18,11.6,13.9,16.1,1.3,24.0,0.6
1,2,19,11.3,12.5,14.0,0.4,26.8,0.4
1,2,20,10.1,12.6,16.1,0.4,18.1,0.6
1,3,21,11.5,13.2,17.0,5.8,14.5,0.6
1,3,22,10.2,12.8,15.7,5.9,17.6,0.6
1,3,23,10.3,12.8,14.7,0.2,18.5,0.8
1,3,24,11.4,13.5,15.6,0.8,14.2,0.6
1,3,25,11.1,13.5,15.9,0.7,18.8,0.4
1,3,26,12.2,14.2,16.3,1.1,30.0,0.8
1,3,27,9.7,12.9,16.3,3.7,26.0,0.6
1,3,28,9.3,10.7,12.6,1.0,22.5,0.75
1,3,29,8.2,10.9,14.6,3.6,14.7,0.75
1,3,30,9.1,11.0,13.4,2.9,23.5,1.0
1,3,31,8.6,10.9,13.0,5.2,21.5,0.75
2,1,1,9.8,12.4,14.3,1.8,28.3,0.75
2,1,2,10.4,12.6,15.3,0.2,23.0,0.5
2,1,3,10.3,12.1,14.4,3.8,22.2,1.0
2,1,4,9.8,12.1,15.0,1.5,25.6,0.75
2,1,5,10.4,13.3,17.0,0.0,20.6,0.25
2,1,6,10.8,14.2,18.4,0.0,11.1,0.25
2,1,7,10.6,14.0,17.8,0.0,14.3,0.25
2,1,8,10.1,13.9,17.4,1.2,24.7,0.75
2,1,9,9.6,12.1,14.6,0.3,20.5,0.5
2,1,10,10.5,13.0,15.5,0.0,19.0,0.25
2,2,11,10.9,13.9,16.2,0.0,23.1,0.25
2,2,12,10.1,13.4,16.2,0.2,22.5,0.5
2,2,13,9.9,12.7,16.0,0.3,16.2,0.5
2,2,14,11.0,12.5,14.6,1.5,27.5,0.75
2,2,15,10.5,11.5,12.6,6.4,32.9,0.75
2,2,16,9.6,11.7,13.3,8.0,33.0,0.5
2,2,17,9.5,11.9,13.7,4.7,25.3,0.75
2,2,18,8.6,12.3,15.0,0.3,16.4,0.75
2,2,19,10.8,12.9,15.0,0.0,22.0,0.25
2,2,20,9.9,13.0,16.3,0.0,12.8,0.25
2,3,21,10.9,13.3,16.5,0.0,13.3,0.25
2,3,22,10.5,13.1,16.4,0.8,10.3,0.75
2,3,23,10.5,13.4,15.9,0.6,10.4,0.75
2,3,24,10.1,13.9,16.3,0.4,18.2,0.5
2,3,25,10.4,13.5,16.3,0.3,25.6,0.75
2,3,26,12.3,14.3,16.5,0.8,22.1,0.5
2,3,27,11.0,13.9,16.9,1.1,14.5,0.75
2,3,28,12.9,15.0,18.2,0.8,24.2,1.0
2,3,29,13.0,15.9,19.6,0.0,30.4,0.0
3,1,1,11.8,13.8,16.3,1.4,20.4,0.5
3,1,2,10.1,12.8,14.5,3.3,19.2,1.0
3,1,3,9.6,12.5,14.7,3.3,26.5,1.0
3,1,4,10.2,13.6,17.0,0.3,14.6,0.5
3,1,5,10.2,13.6,17.2,0.3,17.3,0.5
3,1,6,11.0,14.1,16.6,0.5,18.9,0.75
3,1,7,10.9,13.9,17.3,0.3,14.0,0.75
3,1,8,10.3,13.2,16.6,0.1,15.9,0.5
3,1,9,11.1,13.9,16.9,0.6,16.1,0.5
3,1,10,11.3,14.4,17.2,0.7,16.2,0.5
3,2,11,10.6,14.2,19.0,3.1,26.7,0.75
3,2,12,12.0,13.4,15.8,1.6,24.6,0.75
3,2,13,10.8,13.0,15.7,0.8,21.0,0.75
3,2,14,10.7,12.8,14.8,3.6,24.8,1.0
3,2,15,10.0,13.7,17.5,1.3,19.7,0.75
3,2,16,10.0,13.2,16.4,0.8,15.4,0.75
3,2,17,9.9,12.4,15.3,0.6,17.9,0.75
3,2,18,10.7,12.3,14.0,0.1,33.7,0.5
3,2,19,10.2,13.2,16.0,0.5,32.5,0.75
3,2,20,11.7,13.8,16.0,0.9,26.0,0.75
3,3,21,11.0,13.7,16.9,0.3,21.8,0.5
3,3,22,12.4,15.0,19.0,0.7,17.3,1.0
3,3,23,10.5,12.9,15.0,6.3,20.2,0.75
3,3,24,9.9,12.1,14.3,1.8,27.4,0.75
3,3,25,11.0,14.6,17.4,0.0,22.3,0.25
3,3,26,11.8,15.0,18.6,0.0,16.1,0.25
3,3,27,12.7,15.6,19.0,0.1,16.4,0.5
3,3,28,12.6,15.5,19.7,0.0,22.6,0.0
3,3,29,11.4,14.1,17.0,0.0,18.7,0.25
3,3,30,11.8,14.2,16.7,0.0,16.1,0.25
3,3,31,11.1,14.9,18.7,0.0,17.0,0.25
4,1,1,13.1,17.2,21.7,0.1,21.3,0.5
4,1,2,14.7,18.7,24.5,0.0,12.1,0.0
4,1,3,15.1,18.6,21.8,0.0,14.9,0.0
4,1,4,13.7,17.7,21.9,0.0,22.9,0.25
4,1,5,15.8,19.1,22.0,0.0,24.5,0.25
4,1,6,14.6,17.3,19.8,0.0,19.6,0.25
4,1,7,13.2,17.2,20.2,0.8,18.0,0.75
4,1,8,13.2,15.9,18.2,1.9,18.5,0.75
4,1,9,12.0,15.7,18.2,0.7,21.6,0.75
4,1,10,12.5,15.8,18.3,0.0,30.9,0.25
4,2,11,12.2,13.6,15.3,0.6,30.6,0.5
4,2,12,12.1,14.1,16.8,0.0,27.2,0.25
4,2,13,13.1,15.5,19.4,0.0,18.7,0.0
4,2,14,13.3,16.9,21.2,0.0,18.8,0.0
4,2,15,14.5,17.2,19.7,0.0,17.9,0.0
4,2,16,13.4,17.2,21.8,0.0,11.6,0.25
4,2,17,16.2,19.6,24.4,0.0,21.6,0.25
4,2,18,14.5,17.4,20.4,0.3,13.1,0.5
4,2,19,13.4,16.6,19.8,0.7,15.6,0.5
4,2,20,13.2,15.5,18.1,0.2,22.7,0.5
4,3,21,12.2,16.0,20.1,0.0,14.7,0.25
4,3,22,13.7,17.3,21.4,0.0,11.3,0.25
4,3,23,14.8,18.6,23.5,0.0,14.6,0.0
4,3,24,14.9,17.9,22.5,0.0,12.2,0.25
4,3,25,14.6,18.2,22.5,0.0,14.6,0.25
4,3,26,14.3,17.2,21.4,0.2,21.1,0.5
4,3,27,13.8,17.5,22.0,0.0,19.2,0.25
4,3,28,16.6,18.6,21.2,0.0,26.7,0.25
4,3,29,16.4,18.1,20.9,0.1,29.9,0.5
4,3,30,16.4,17.5,19.4,0.0,22.4,0.25
5,1,1,16.4,17.7,19.5,0.3,16.5,0.75
