m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,12.5,13.9,15.5,16.7,3.0,0.3,7.0
1,2,9.7,11.0,12.9,23.5,6.0,0.62,25.0
1,3,9.8,11.4,12.7,25.5,6.0,0.53,35.0
2,1,10.4,11.7,13.5,20.5,5.0,0.52,14.0
2,2,10.1,11.8,13.2,21.6,5.0,0.52,12.0
2,3,11.4,13.1,14.5,17.8,4.0,0.49,7.0
3,1,10.9,12.4,13.7,19.2,5.0,0.52,12.0
3,2,10.8,12.3,13.7,18.7,6.0,0.55,14.0
3,3,12.1,13.7,15.8,15.9,4.0,0.39,13.0
4,1,12.8,15.2,18.1,19.4,4.0,0.38,1.0
4,2,13.4,14.7,17.1,14.3,3.0,0.3,8.0
4,3,14.8,16.4,18.9,14.0,3.0,0.28,3.0
5,1,15.4,17.4,19.4,14.3,4.0,0.38,3.0
5,2,16.3,18.9,22.0,11.0,3.0,0.28,1.0
5,3,18.9,21.1,24.0,10.8,2.0,0.16,0.0
6,1,21.1,23.4,26.2,10.2,1.0,0.1,0.0
6,2,22.0,24.1,26.5,12.4,3.0,0.33,5.0
6,3,23.9,27.0,30.0,8.9,1.0,0.05,0.0
7,1,24.6,27.1,29.9,12.4,2.0,0.15,0.0
7,2,26.0,28.6,31.6,10.3,1.0,0.05,0.0
7,3,25.9,28.8,32.0,9.4,1.0,0.07,0.0
8,1,25.8,28.6,30.9,11.0,2.0,0.15,0.0
8,2,25.5,28.0,30.3,11.3,3.0,0.25,0.0
8,3,25.3,27.7,30.1,11.7,3.0,0.24,1.0
9,1,22.4,24.7,26.8,13.2,5.0,0.53,19.0
9,2,21.7,24.2,27.0,10.3,2.0,0.2,0.0
9,3,20.0,22.8,25.0,9.9,4.0,0.35,6.0
10,1,19.4,21.3,23.0,14.1,3.0,0.25,1.0
10,2,17.7,19.6,21.0,15.8,5.0,0.48,18.0
10,3,17.0,19.2,21.3,16.3,3.0,0.27,1.0
11,1,16.8,18.2,20.0,15.7,2.0,0.2,0.0
11,2,14.0,15.7,16.9,20.9,5.0,0.45,9.0
11,3,13.8,15.4,16.8,23.2,5.0,0.48,8.0
12,1,12.6,14.3,15.9,19.2,6.0,0.57,24.0
12,2,11.6,12.6,14.1,25.1,5.0,0.52,15.0
12,3,11.9,13.0,14.9,18.1,4.0,0.39,3.0
