m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.2,7.3,12.4,11.6,3.0,0.27,10.0
1,2,1.9,6.0,10.6,14.8,2.0,0.24,13.0
1,3,2.6,7.2,11.2,11.3,3.0,0.27,6.0
2,1,3.3,7.3,13.2,11.1,2.0,0.16,1.0
2,2,3.5,8.2,12.5,11.7,2.0,0.2,1.0
2,3,4.5,10.0,14.7,11.3,3.0,0.28,4.0
3,1,5.5,10.5,15.2,10.0,4.0,0.4,17.0
3,2,5.2,10.9,15.6,10.9,2.0,0.24,6.0
3,3,6.1,11.1,16.0,10.8,3.0,0.29,3.0
4,1,7.7,13.3,18.6,11.8,2.0,0.24,9.0
4,2,9.2,14.5,20.4,10.0,3.0,0.29,9.0
4,3,10.2,16.1,22.6,9.1,3.0,0.3,3.0
5,1,12.0,17.7,22.6,10.3,3.0,0.31,18.0
5,2,14.3,19.8,25.0,10.1,3.0,0.25,4.0
5,3,15.5,21.2,27.2,11.1,4.0,0.33,7.0
6,1,17.6,23.7,29.7,10.6,2.0,0.25,7.0
6,2,19.0,24.2,29.5,10.5,4.0,0.35,15.0
6,3,21.0,26.5,31.9,10.9,3.0,0.26,16.0
7,1,21.4,27.3,32.8,13.0,2.0,0.21,1.0
7,2,21.5,27.1,33.2,12.0,1.0,0.1,0.0
7,3,22.0,28.1,34.5,11.9,1.0,0.09,1.0
8,1,21.9,27.6,33.7,12.0,1.0,0.12,0.0
8,2,21.9,27.2,32.6,11.0,2.0,0.19,2.0
8,3,20.5,26.3,32.7,9.9,1.0,0.11,1.0
9,1,19.7,24.5,29.5,10.5,2.0,0.24,12.0
9,2,17.5,23.2,29.2,10.8,1.0,0.11,1.0
9,3,15.9,20.8,26.9,10.2,2.0,0.18,6.0
10,1,14.8,19.4,24.5,9.9,1.0,0.14,2.0
10,2,13.0,17.4,22.8,8.7,2.0,0.2,3.0
10,3,10.6,16.3,22.1,7.9,0.0,0.04,0.0
11,1,10.1,15.2,20.6,8.1,2.0,0.23,4.0
11,2,9.2,12.9,17.2,9.7,3.0,0.31,4.0
11,3,7.3,11.6,15.2,10.0,4.0,0.35,12.0
12,1,6.6,9.9,13.1,8.6,5.0,0.48,22.0
12,2,6.3,8.9,12.1,11.6,5.0,0.5,24.0
12,3,4.5,8.2,12.5,12.7,1.0,0.13,1.0
