m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,8.0,13.0,15.8,9.6,4.0,0.41,49.0
1,2,7.8,12.4,15.1,13.4,3.0,0.34,27.0
1,3,7.5,12.4,14.9,15.4,5.0,0.46,38.0
2,1,7.3,12.1,15.4,12.8,2.0,0.24,5.0
2,2,6.9,12.5,15.4,11.8,3.0,0.3,12.0
2,3,7.2,13.0,16.1,10.8,3.0,0.34,9.0
3,1,8.0,13.8,17.0,9.5,4.0,0.36,16.0
3,2,8.7,14.1,17.2,11.5,2.0,0.24,4.0
3,3,9.5,15.0,17.9,11.9,2.0,0.22,7.0
4,1,11.2,16.1,19.5,12.0,2.0,0.21,5.0
4,2,10.3,17.5,20.5,10.5,2.0,0.24,5.0
4,3,11.7,18.6,22.4,10.4,1.0,0.12,0.0
5,1,13.0,19.4,22.9,8.9,2.0,0.19,3.0
5,2,15.3,21.0,24.7,9.8,1.0,0.13,2.0
5,3,15.9,22.7,26.5,8.0,1.0,0.08,1.0
6,1,17.6,24.9,29.3,8.5,0.0,0.03,0.0
6,2,19.4,26.0,30.1,9.0,1.0,0.1,1.0
6,3,21.2,28.0,32.7,8.2,1.0,0.06,0.0
7,1,21.7,28.5,33.1,11.5,0.0,0.01,0.0
7,2,22.1,29.4,33.7,9.3,0.0,0.01,0.0
7,3,22.4,29.9,35.0,10.3,0.0,0.0,0.0
8,1,22.4,29.6,34.2,9.8,0.0,0.01,0.0
8,2,23.0,29.3,34.2,9.6,0.0,0.04,0.0
8,3,22.3,28.7,32.8,8.8,1.0,0.05,1.0
9,1,21.3,27.0,31.0,10.1,1.0,0.14,6.0
9,2,19.6,25.7,29.7,9.1,2.0,0.18,7.0
9,3,18.1,23.9,27.3,7.3,1.0,0.14,3.0
10,1,16.7,22.6,25.9,8.8,2.0,0.24,17.0
10,2,15.7,21.1,24.4,10.2,2.0,0.2,36.0
10,3,14.0,20.4,24.0,8.5,1.0,0.09,0.0
11,1,13.3,19.8,23.2,8.6,2.0,0.22,7.0
11,2,12.9,17.4,20.5,10.9,4.0,0.45,66.0
11,3,11.0,16.0,19.0,13.7,5.0,0.54,39.0
12,1,10.6,14.7,17.5,13.0,5.0,0.53,74.0
12,2,8.7,13.8,17.2,12.5,5.0,0.49,74.0
12,3,8.0,12.7,16.2,7.1,2.0,0.22,16.0
