m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,24.3,27.2,30.9,6.8,31.0,1.0,331.0
2,24.4,27.2,31.2,7.3,29.0,0.99,277.0
3,24.4,27.4,31.0,7.1,30.0,0.98,343.0
4,24.8,27.6,31.2,6.4,30.0,0.98,223.0
5,25.0,27.9,30.8,6.2,31.0,0.98,233.0
6,24.6,27.5,30.2,6.2,30.0,0.99,170.0
7,24.5,27.3,29.8,9.0,31.0,0.99,153.0
8,24.8,27.5,30.2,8.2,30.0,0.98,220.0
9,25.0,27.8,30.8,7.9,28.0,0.95,132.0
10,24.8,28.0,31.1,6.8,31.0,1.0,162.0
11,24.5,27.6,31.1,6.0,30.0,1.0,288.0
12,24.5,27.6,31.3,6.3,30.0,0.98,275.0
