m,m3,coco,coco_pct
5,2,2.0,0.077
7,1,1.0,0.004
1,2,25.0,0.003
4,1,7.0,0.08
1,1,9.0,0.094
11,1,8.0,0.082
7,2,5.0,0.013
1,2,17.0,0.036
11,3,25.0,0.008
5,1,18.0,0.002
11,3,9.0,0.105
10,3,7.0,0.065
10,1,2.0,0.101
9,1,25.0,0.007
4,2,5.0,0.045
1,3,17.0,0.05
2,2,3.0,0.566
5,1,1.0,0.01
11,3,8.0,0.114
3,1,8.0,0.145
5,1,2.0,0.019
3,3,3.0,0.417
8,3,25.0,0.003
2,2,8.0,0.095
2,2,5.0,0.026
7,2,1.0,0.015
7,3,25.0,0.01
10,1,17.0,0.038
7,1,9.0,0.1
8,3,1.0,0.039
10,2,17.0,0.048
8,2,8.0,0.043
5,2,8.0,0.098
3,1,5.0,0.052
7,3,5.0,0.012
9,3,2.0,0.108
9,3,7.0,0.078
5,1,25.0,0.001
10,3,26.0,0.0
3,2,18.0,0.01
8,2,2.0,0.147
7,2,25.0,0.008
3,3,8.0,0.155
10,2,8.0,0.095
1,1,1.0,0.0
12,2,7.0,0.127
9,2,18.0,0.006
4,2,18.0,0.011
7,3,8.0,0.081
8,2,18.0,0.015
1,2,2.0,0.0
7,3,2.0,0.113
6,3,17.0,0.067
5,3,3.0,0.511
12,2,17.0,0.076
1,3,26.0,0.002
4,2,26.0,0.001
6,3,9.0,0.049
11,3,26.0,0.001
4,3,17.0,0.083
9,2,9.0,0.057
10,1,5.0,0.026
7,2,18.0,0.004
8,2,3.0,0.545
1,2,8.0,0.122
11,1,26.0,0.0
3,2,1.0,0.009
3,2,8.0,0.084
8,1,2.0,0.13
12,2,18.0,0.017
1,3,5.0,0.034
6,2,9.0,0.078
2,1,25.0,0.01
4,1,5.0,0.027
12,3,2.0,0.017
10,1,9.0,0.069
8,3,3.0,0.41
11,2,17.0,0.057
11,1,9.0,0.075
5,2,26.0,0.0
9,1,1.0,0.038
9,1,2.0,0.095
3,2,26.0,0.0
2,1,9.0,0.105
3,1,17.0,0.039
5,1,3.0,0.451
8,2,17.0,0.084
3,1,2.0,0.01
4,1,26.0,0.0
11,1,17.0,0.053
10,3,9.0,0.048
4,3,5.0,0.078
7,3,7.0,0.11
1,1,7.0,0.13
12,1,17.0,0.05
11,1,5.0,0.05
10,1,26.0,0.0
11,1,1.0,0.011
10,3,25.0,0.002
9,2,8.0,0.052
4,2,17.0,0.108
7,2,7.0,0.101
5,3,17.0,0.072
4,3,2.0,0.008
12,1,25.0,0.006
8,1,8.0,0.075
12,2,9.0,0.114
2,3,8.0,0.145
12,2,5.0,0.042
9,2,1.0,0.036
12,3,7.0,0.101
7,2,8.0,0.086
6,2,1.0,0.005
6,2,25.0,0.002
10,3,3.0,0.589
11,3,3.0,0.489
4,1,8.0,0.118
3,1,7.0,0.13
4,3,8.0,0.125
1,3,3.0,0.415
9,3,17.0,0.061
12,3,8.0,0.103
6,3,7.0,0.158
9,1,8.0,0.068
2,2,18.0,0.009
3,3,9.0,0.103
6,1,1.0,0.008
2,3,2.0,0.031
2,3,26.0,0.0
2,3,3.0,0.475
2,1,2.0,0.022
8,3,5.0,0.01
4,2,7.0,0.076
8,2,5.0,0.022
11,2,18.0,0.011
4,3,25.0,0.003
5,3,7.0,0.143
10,3,5.0,0.025
11,3,7.0,0.139
2,2,9.0,0.088
6,2,18.0,0.021
2,1,1.0,0.004
12,3,25.0,0.001
5,3,5.0,0.034
11,2,26.0,0.0
4,1,18.0,0.033
6,1,8.0,0.152
7,1,7.0,0.135
2,3,7.0,0.105
8,2,9.0,0.033
5,1,9.0,0.135
7,2,2.0,0.124
8,3,8.0,0.133
12,1,5.0,0.041
1,1,2.0,0.019
9,3,5.0,0.019
10,2,9.0,0.058
7,2,3.0,0.521
10,2,3.0,0.562
6,3,26.0,0.0
6,1,26.0,0.001
3,3,1.0,0.021
4,1,2.0,0.033
4,2,1.0,0.013
11,3,2.0,0.012
1,2,18.0,0.008
3,2,25.0,0.008
12,2,1.0,0.0
4,3,9.0,0.093
8,1,17.0,0.119
10,2,2.0,0.035
1,2,3.0,0.493
6,3,25.0,0.002
2,1,3.0,0.575
10,1,8.0,0.126
3,3,17.0,0.089
2,2,1.0,0.025
5,2,5.0,0.022
6,3,5.0,0.024
8,1,5.0,0.01
6,3,2.0,0.078
7,3,26.0,0.001
7,3,1.0,0.018
11,2,1.0,0.007
6,3,18.0,0.01
5,2,18.0,0.013
8,3,7.0,0.132
10,3,18.0,0.004
1,1,25.0,0.001
8,2,1.0,0.019
7,3,17.0,0.118
3,2,17.0,0.073
1,1,26.0,0.0
6,1,5.0,0.022
9,3,8.0,0.049
7,1,18.0,0.01
12,2,26.0,0.001
11,2,3.0,0.54
8,1,9.0,0.032
8,2,25.0,0.005
2,1,5.0,0.026
9,2,3.0,0.601
11,1,25.0,0.003
9,3,25.0,0.01
11,1,3.0,0.554
1,1,18.0,0.011
6,2,17.0,0.071
5,3,25.0,0.003
1,3,1.0,0.0
5,3,26.0,0.0
9,3,1.0,0.04
3,1,18.0,0.011
2,3,5.0,0.022
6,2,7.0,0.13
10,1,25.0,0.009
10,2,7.0,0.132
3,2,7.0,0.115
12,1,8.0,0.133
1,2,7.0,0.151
10,3,2.0,0.106
2,2,25.0,0.014
9,1,18.0,0.0
4,1,9.0,0.102
9,3,18.0,0.005
1,3,7.0,0.151
3,3,18.0,0.008
3,2,2.0,0.026
4,2,9.0,0.07
3,1,25.0,0.008
6,1,25.0,0.006
6,2,26.0,0.0
2,3,9.0,0.142
1,3,8.0,0.17
1,3,25.0,0.009
9,1,3.0,0.557
3,2,3.0,0.485
8,1,26.0,0.0
2,3,25.0,0.003
6,1,7.0,0.094
6,1,9.0,0.098
5,2,17.0,0.108
2,1,26.0,0.001
9,1,5.0,0.015
3,1,3.0,0.484
9,2,17.0,0.053
2,3,18.0,0.014
6,2,2.0,0.053
1,1,8.0,0.115
7,1,2.0,0.026
1,2,1.0,0.001
6,1,18.0,0.004
2,3,17.0,0.052
3,1,1.0,0.0
8,2,26.0,0.0
8,3,18.0,0.004
10,1,18.0,0.007
12,3,18.0,0.011
12,2,8.0,0.108
7,1,25.0,0.004
8,3,9.0,0.113
9,3,3.0,0.593
12,3,9.0,0.074
12,3,26.0,0.0
12,2,2.0,0.01
2,1,18.0,0.022
7,2,26.0,0.0
12,2,3.0,0.501
7,2,17.0,0.099
11,2,9.0,0.093
5,3,18.0,0.004
5,1,5.0,0.033
6,1,2.0,0.066
10,1,3.0,0.453
2,1,8.0,0.065
2,2,7.0,0.11
3,3,7.0,0.113
2,2,2.0,0.019
12,1,3.0,0.49
10,2,26.0,0.001
7,1,3.0,0.468
4,3,7.0,0.084
4,3,3.0,0.508
5,3,2.0,0.069
12,3,3.0,0.596
8,1,18.0,0.008
3,1,9.0,0.121
5,2,25.0,0.007
12,2,25.0,0.002
10,1,1.0,0.037
5,1,17.0,0.061
2,1,7.0,0.116
10,1,7.0,0.134
12,1,2.0,0.004
4,2,2.0,0.056
11,2,8.0,0.096
11,2,7.0,0.133
8,3,26.0,0.0
6,2,8.0,0.14
9,3,26.0,0.0
8,3,2.0,0.1
12,1,7.0,0.133
6,2,5.0,0.033
3,3,5.0,0.034
11,1,18.0,0.011
5,3,1.0,0.008
1,3,2.0,0.011
12,1,9.0,0.124
7,1,17.0,0.051
11,1,7.0,0.113
12,1,26.0,0.001
5,1,8.0,0.157
12,3,1.0,0.003
10,3,17.0,0.075
1,2,26.0,0.0
1,1,17.0,0.05
8,3,17.0,0.056
1,1,3.0,0.538
6,3,1.0,0.019
9,2,2.0,0.078
2,2,17.0,0.049
5,2,9.0,0.06
2,2,26.0,0.0
2,1,17.0,0.054
6,1,3.0,0.474
11,3,1.0,0.001
10,3,1.0,0.045
3,3,26.0,0.0
9,1,9.0,0.059
9,2,25.0,0.0
6,1,17.0,0.075
4,2,8.0,0.08
9,2,26.0,0.0
8,1,3.0,0.466
7,1,26.0,0.0
5,2,1.0,0.006
1,2,5.0,0.032
1,2,9.0,0.154
11,3,5.0,0.061
11,3,17.0,0.057
4,2,25.0,0.011
7,1,8.0,0.153
10,2,1.0,0.019
3,2,5.0,0.04
12,3,17.0,0.057
8,1,7.0,0.109
3,2,9.0,0.15
4,3,1.0,0.0
9,2,5.0,0.018
1,3,18.0,0.006
5,3,8.0,0.111
10,2,18.0,0.004
4,1,17.0,0.076
8,2,7.0,0.087
5,2,7.0,0.112
9,1,7.0,0.097
5,3,9.0,0.045
7,1,5.0,0.049
11,3,18.0,0.014
1,1,5.0,0.042
3,3,2.0,0.043
7,2,9.0,0.029
9,2,7.0,0.099
10,3,8.0,0.041
6,2,3.0,0.468
7,3,9.0,0.034
11,2,2.0,0.015
1,3,9.0,0.152
8,1,25.0,0.001
11,2,5.0,0.047
11,1,2.0,0.046
6,3,3.0,0.488
4,3,26.0,0.0
2,3,1.0,0.011
3,3,25.0,0.018
4,2,3.0,0.528
5,1,7.0,0.13
8,1,1.0,0.05
12,1,1.0,0.0
12,1,18.0,0.018
7,3,18.0,0.007
9,3,9.0,0.035
9,1,17.0,0.063
12,3,5.0,0.036
4,1,25.0,0.011
5,1,26.0,0.0
4,3,18.0,0.018
9,1,26.0,0.0
6,3,8.0,0.105
5,2,3.0,0.497
4,1,1.0,0.017
3,1,26.0,0.0
10,2,5.0,0.042
11,2,25.0,0.001
10,2,25.0,0.004
4,1,3.0,0.503
7,3,3.0,0.496
