m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,19.1,22.5,27.9,8.8,30.0,0.97,144.0
2,19.3,22.3,27.2,8.8,28.0,0.97,239.0
3,18.8,22.6,28.1,6.9,30.0,0.95,190.0
4,18.7,22.7,28.1,6.3,29.0,0.97,165.0
5,18.7,23.0,28.5,6.4,29.0,0.94,110.0
6,17.9,22.2,28.0,6.3,26.0,0.87,93.0
7,17.2,22.0,28.0,7.8,20.0,0.65,36.0
8,17.2,22.5,28.9,8.7,20.0,0.64,32.0
9,17.9,22.8,28.9,8.6,22.0,0.73,103.0
10,18.3,23.2,29.4,7.5,26.0,0.84,97.0
11,19.0,22.6,28.3,6.1,29.0,0.95,293.0
12,19.1,22.6,28.0,7.1,30.0,0.97,176.0
