m,coco,coco_pct
6,7.0,0.035
7,5.0,0.028
6,3.0,0.594
4,3.0,0.656
6,2.0,0.136
10,17.0,0.056
6,9.0,0.023
8,8.0,0.019
5,7.0,0.045
9,3.0,0.582
7,8.0,0.04
4,7.0,0.065
5,5.0,0.016
10,9.0,0.043
3,1.0,0.018
3,18.0,0.011
7,3.0,0.522
6,8.0,0.032
11,7.0,0.062
1,1.0,0.011
4,9.0,0.067
2,9.0,0.08
11,5.0,0.014
2,2.0,0.027
12,9.0,0.077
8,1.0,0.158
7,18.0,0.007
9,2.0,0.112
9,17.0,0.059
3,7.0,0.085
10,2.0,0.105
3,5.0,0.042
1,3.0,0.643
6,5.0,0.018
5,1.0,0.12
7,1.0,0.127
9,1.0,0.133
5,18.0,0.01
3,9.0,0.085
8,7.0,0.02
6,1.0,0.089
1,2.0,0.018
11,2.0,0.04
10,18.0,0.005
1,7.0,0.099
12,7.0,0.093
4,1.0,0.019
12,8.0,0.105
6,17.0,0.066
12,17.0,0.031
2,17.0,0.05
10,1.0,0.084
1,8.0,0.094
1,5.0,0.017
12,18.0,0.005
1,17.0,0.043
3,3.0,0.589
12,3.0,0.635
10,5.0,0.003
11,3.0,0.643
8,9.0,0.006
12,5.0,0.024
8,2.0,0.166
5,17.0,0.086
8,5.0,0.017
10,8.0,0.051
2,5.0,0.027
8,17.0,0.06
10,3.0,0.61
9,5.0,0.013
7,17.0,0.063
11,1.0,0.02
11,9.0,0.093
11,17.0,0.056
5,2.0,0.129
1,9.0,0.071
3,2.0,0.032
3,17.0,0.039
2,1.0,0.009
4,8.0,0.061
2,8.0,0.13
7,7.0,0.028
7,9.0,0.025
12,2.0,0.02
5,3.0,0.487
10,7.0,0.043
2,18.0,0.01
12,1.0,0.011
3,8.0,0.101
4,17.0,0.053
4,18.0,0.013
9,7.0,0.024
1,18.0,0.004
2,3.0,0.571
4,5.0,0.026
9,8.0,0.042
5,9.0,0.053
7,2.0,0.16
9,9.0,0.025
9,18.0,0.009
8,18.0,0.004
2,7.0,0.096
8,3.0,0.548
11,8.0,0.068
5,8.0,0.054
4,2.0,0.04
11,18.0,0.005
6,18.0,0.007
