m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,21.0,22.6,21.9,90.0,6.5,0.14
1,1,22.0,22.6,22.4,81.5,5.8,0.18
1,2,23.4,24.1,23.8,76.5,7.9,0.22
1,3,24.8,26.8,25.8,71.0,13.9,0.29
1,4,24.7,26.1,25.6,70.0,10.8,0.48
1,5,24.5,26.2,25.4,71.5,12.3,0.66
1,6,25.4,28.6,26.9,69.0,19.5,0.82
1,7,23.5,25.2,24.2,77.5,12.5,0.83
1,8,23.1,24.6,23.8,79.0,11.3,0.83
1,9,23.1,26.8,25.1,76.0,17.5,0.79
1,10,22.2,22.9,22.6,84.0,8.6,0.7
1,11,21.5,22.2,21.9,88.5,6.3,0.52
1,12,21.8,23.8,22.8,88.0,10.3,0.38
1,13,20.6,21.2,20.9,91.0,5.8,0.26
1,14,20.4,21.0,20.7,91.0,5.4,0.22
1,15,21.2,23.0,22.1,89.5,8.5,0.16
1,16,20.0,20.8,20.5,91.0,5.3,0.17
1,17,19.9,20.5,20.2,90.5,5.6,0.2
1,18,20.8,22.2,21.5,90.0,5.6,0.23
1,19,19.5,20.1,19.8,92.0,5.8,0.19
1,20,19.2,19.9,19.6,92.5,6.0,0.13
1,21,20.2,21.6,20.9,91.0,5.6,0.12
1,22,19.0,19.9,19.4,91.5,5.6,0.15
1,23,19.1,19.9,19.5,92.0,5.6,0.13
2,0,21.0,22.0,21.5,92.0,6.5,0.2
2,1,22.0,22.4,22.3,84.0,6.9,0.22
2,2,23.2,23.9,23.5,78.5,8.6,0.34
2,3,24.0,26.8,25.5,73.0,14.3,0.53
2,4,24.8,25.7,25.3,73.0,11.9,0.64
2,5,24.7,25.7,25.2,74.0,12.6,0.79
2,6,25.3,28.4,26.9,68.0,20.4,0.88
2,7,23.8,24.7,24.3,78.5,13.0,0.91
2,8,23.4,23.8,23.6,81.5,12.8,0.9
2,9,23.4,26.2,24.8,78.5,19.5,0.9
2,10,22.1,22.5,22.3,86.5,8.6,0.74
2,11,21.5,21.7,21.6,89.5,6.9,0.61
2,12,22.0,23.4,22.8,87.5,10.3,0.46
2,13,20.7,21.0,20.9,92.5,5.9,0.26
2,14,20.6,20.9,20.8,91.5,5.6,0.23
2,15,21.5,22.6,22.1,90.5,7.4,0.19
2,16,20.2,20.5,20.5,92.0,5.6,0.2
2,17,20.0,20.3,20.1,92.5,5.9,0.25
2,18,21.0,21.9,21.3,92.0,5.2,0.29
2,19,19.8,20.1,19.9,92.0,6.3,0.26
2,20,19.6,20.0,19.8,93.0,6.1,0.22
