m,m3,coco,coco_pct
5,1,7.0,0.007
6,3,1.0,0.0
1,3,1.0,0.0
1,1,18.0,0.01
6,1,17.0,0.0
12,1,7.0,0.12
2,1,25.0,0.045
11,1,8.0,0.014
1,2,17.0,0.0
8,1,17.0,0.0
3,1,17.0,0.001
12,2,18.0,0.015
3,3,2.0,0.565
2,2,27.0,0.004
2,2,1.0,0.0
2,3,25.0,0.054
10,3,17.0,0.001
3,1,7.0,0.127
11,2,4.0,0.0
12,2,3.0,0.395
4,1,9.0,0.001
2,3,3.0,0.246
3,2,25.0,0.044
8,3,1.0,0.002
8,2,1.0,0.01
6,1,25.0,0.0
7,1,27.0,0.0
3,1,8.0,0.091
6,3,17.0,0.0
8,3,8.0,0.008
7,3,7.0,0.002
3,1,4.0,0.001
12,3,25.0,0.023
4,1,2.0,0.463
1,2,1.0,0.0
7,3,1.0,0.001
11,3,25.0,0.091
4,3,2.0,0.792
8,2,27.0,0.0
7,2,27.0,0.0
8,1,4.0,0.001
7,2,17.0,0.0
10,1,8.0,0.032
5,3,1.0,0.0
1,2,2.0,0.242
8,1,3.0,0.294
5,1,3.0,0.115
7,1,3.0,0.366
2,3,18.0,0.02
10,1,9.0,0.004
11,1,18.0,0.039
1,1,2.0,0.217
5,3,7.0,0.05
2,3,9.0,0.085
1,2,9.0,0.063
10,2,4.0,0.0
12,1,4.0,0.004
11,2,17.0,0.001
12,2,17.0,0.001
7,1,8.0,0.038
5,2,9.0,0.0
6,2,17.0,0.001
6,3,8.0,0.019
1,1,8.0,0.114
3,3,25.0,0.04
4,2,17.0,0.001
9,2,3.0,0.189
5,2,1.0,0.002
12,2,7.0,0.123
8,2,7.0,0.019
5,2,27.0,0.0
9,3,25.0,0.0
6,3,7.0,0.052
7,2,25.0,0.0
12,3,9.0,0.105
12,3,3.0,0.386
11,2,7.0,0.055
7,1,18.0,0.0
1,2,27.0,0.0
1,1,9.0,0.039
6,3,9.0,0.005
5,3,2.0,0.784
6,1,9.0,0.002
1,1,4.0,0.003
6,3,3.0,0.296
6,2,18.0,0.001
3,3,9.0,0.001
10,2,25.0,0.017
2,3,27.0,0.009
11,2,8.0,0.021
9,1,27.0,0.0
9,1,18.0,0.002
12,2,2.0,0.303
10,2,3.0,0.184
3,3,18.0,0.024
3,1,9.0,0.033
8,2,4.0,0.0
5,3,9.0,0.002
3,1,2.0,0.23
10,1,3.0,0.217
10,3,25.0,0.027
8,1,1.0,0.002
8,1,18.0,0.0
7,2,7.0,0.013
4,1,8.0,0.026
8,3,9.0,0.0
11,1,1.0,0.0
4,2,2.0,0.713
8,1,25.0,0.0
10,2,2.0,0.739
5,3,4.0,0.0
10,3,27.0,0.0
9,2,7.0,0.027
1,1,7.0,0.205
11,3,27.0,0.009
3,1,27.0,0.007
4,1,25.0,0.021
9,2,1.0,0.008
11,1,2.0,0.552
4,2,4.0,0.0
6,1,4.0,0.0
6,2,9.0,0.005
7,3,18.0,0.001
5,2,4.0,0.0
3,2,17.0,0.001
6,3,18.0,0.002
1,1,1.0,0.0
6,2,3.0,0.248
11,2,18.0,0.011
5,2,17.0,0.0
4,2,8.0,0.016
7,3,17.0,0.0
8,1,27.0,0.0
10,3,7.0,0.021
7,3,9.0,0.0
4,3,27.0,0.0
6,2,4.0,0.001
1,3,18.0,0.01
6,1,27.0,0.0
11,1,27.0,0.002
2,3,7.0,0.145
2,2,8.0,0.079
12,2,8.0,0.097
1,3,3.0,0.307
9,3,27.0,0.0
3,2,3.0,0.241
3,3,7.0,0.056
8,2,18.0,0.0
1,2,8.0,0.152
1,3,27.0,0.0
10,3,3.0,0.248
3,1,1.0,0.0
6,2,7.0,0.053
5,1,18.0,0.004
12,1,17.0,0.001
9,3,9.0,0.002
6,2,25.0,0.0
5,1,27.0,0.0
5,1,1.0,0.0
11,2,27.0,0.0
10,1,1.0,0.0
4,3,3.0,0.141
5,3,25.0,0.008
7,3,2.0,0.737
4,2,18.0,0.012
4,1,4.0,0.0
3,2,18.0,0.022
7,2,18.0,0.001
8,3,3.0,0.227
12,3,2.0,0.248
4,1,17.0,0.0
11,3,9.0,0.005
2,1,18.0,0.008
8,3,4.0,0.0
11,3,17.0,0.0
12,1,27.0,0.0
4,1,18.0,0.022
10,1,2.0,0.672
7,2,1.0,0.007
3,2,4.0,0.0
3,2,9.0,0.013
2,2,25.0,0.047
9,3,3.0,0.198
3,2,7.0,0.085
6,2,27.0,0.0
2,1,3.0,0.422
7,2,3.0,0.331
11,3,3.0,0.285
3,2,8.0,0.081
9,2,17.0,0.0
4,3,17.0,0.0
3,1,18.0,0.022
5,3,17.0,0.0
8,1,8.0,0.019
12,2,4.0,0.001
3,3,27.0,0.005
5,2,2.0,0.836
7,1,9.0,0.017
9,1,3.0,0.274
5,1,9.0,0.0
9,1,17.0,0.0
2,3,2.0,0.318
6,1,8.0,0.007
12,3,27.0,0.0
11,3,4.0,0.0
6,3,25.0,0.003
11,1,17.0,0.001
2,2,3.0,0.365
1,3,2.0,0.247
1,1,25.0,0.063
12,2,25.0,0.036
1,3,25.0,0.032
12,3,1.0,0.0
8,3,27.0,0.0
11,3,1.0,0.0
2,2,9.0,0.016
9,1,1.0,0.002
7,1,2.0,0.528
3,2,2.0,0.507
7,2,8.0,0.003
11,2,1.0,0.0
4,3,4.0,0.0
12,3,18.0,0.005
2,1,8.0,0.126
3,3,1.0,0.001
10,2,17.0,0.002
6,2,1.0,0.001
5,3,8.0,0.013
1,2,4.0,0.003
2,1,1.0,0.0
5,1,4.0,0.0
11,1,3.0,0.31
9,3,2.0,0.79
10,3,18.0,0.015
6,2,8.0,0.026
8,3,18.0,0.001
8,1,7.0,0.023
7,2,4.0,0.0
1,2,7.0,0.163
7,2,2.0,0.643
5,2,25.0,0.006
6,1,3.0,0.302
4,3,8.0,0.011
9,2,27.0,0.0
10,2,27.0,0.0
6,3,4.0,0.0
10,2,8.0,0.017
6,1,2.0,0.674
2,3,17.0,0.0
9,1,25.0,0.003
4,2,1.0,0.0
