m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,25.2,27.9,31.3,7.6,9.1,1.0
1,1,2,25.0,27.9,30.5,18.3,12.9,1.0
1,1,3,25.2,27.8,30.8,19.2,14.5,1.0
1,1,4,25.2,27.8,30.3,1.5,18.7,1.0
1,1,5,25.1,27.7,30.0,7.6,17.0,1.0
1,1,6,25.0,27.6,30.2,1.0,14.2,1.0
1,1,7,25.0,27.9,31.0,2.2,14.0,1.0
1,1,8,25.2,28.1,30.6,6.0,10.6,1.0
1,1,9,25.5,28.3,30.7,6.6,11.8,1.0
1,1,10,25.5,28.5,30.9,1.6,10.2,1.0
1,2,11,25.7,28.1,30.8,0.8,11.5,1.0
1,2,12,25.5,27.6,30.5,0.6,14.1,1.0
1,2,13,25.1,28.6,30.9,1.4,14.6,0.67
1,2,14,25.6,28.6,31.3,2.6,15.0,0.67
1,2,15,25.5,27.9,30.4,2.6,15.4,1.0
1,2,16,24.3,27.9,30.3,2.7,14.0,1.0
1,2,17,24.6,28.2,31.3,1.6,12.3,1.0
1,2,18,25.1,28.1,30.8,14.0,12.0,1.0
1,2,19,25.0,27.9,30.6,4.7,13.7,1.0
1,2,20,24.8,27.9,30.4,4.1,15.1,1.0
1,3,21,25.4,28.0,30.6,2.5,15.4,1.0
1,3,22,25.6,28.3,30.6,2.3,17.7,1.0
1,3,23,24.9,28.1,30.8,8.6,18.7,0.75
1,3,24,26.0,28.4,30.9,1.4,16.4,1.0
1,3,25,25.5,29.0,31.3,3.8,17.0,1.0
1,3,26,25.7,28.2,31.4,14.1,17.9,1.0
1,3,27,25.1,27.7,31.0,14.8,16.1,1.0
1,3,28,24.9,28.2,30.8,14.6,12.8,1.0
1,3,29,25.7,28.4,31.5,4.9,10.3,1.0
1,3,30,25.2,27.9,30.8,7.9,12.1,1.0
1,3,31,24.3,27.9,30.9,8.5,15.3,0.67
2,1,1,24.7,28.0,31.5,5.7,14.1,1.0
2,1,2,25.0,28.5,31.1,0.0,11.6,0.33
2,1,3,25.5,28.3,31.1,1.6,11.7,1.0
2,1,4,25.5,28.3,31.1,3.0,12.4,0.67
2,1,5,24.8,28.6,30.9,8.2,16.9,1.0
2,1,6,24.3,27.5,30.5,2.0,13.8,1.0
2,1,7,25.5,28.3,31.5,6.9,11.5,1.0
2,1,8,25.4,28.0,30.8,5.2,12.6,1.0
2,1,9,25.0,27.8,31.0,1.1,11.7,1.0
2,1,10,25.0,27.9,30.4,3.7,11.9,1.0
2,2,11,25.2,27.9,30.5,6.3,10.0,1.0
2,2,12,25.2,28.1,30.4,18.5,11.1,1.0
2,2,13,25.0,28.3,31.1,8.0,13.8,1.0
2,2,14,25.9,28.5,31.4,3.3,9.4,1.0
2,2,15,25.6,28.3,31.2,9.0,8.7,1.0
2,2,16,24.8,28.5,31.3,14.9,8.7,1.0
2,2,17,25.7,28.3,31.1,12.1,12.9,1.0
2,2,18,25.8,28.3,31.2,6.6,13.5,1.0
2,2,19,25.4,28.3,31.0,3.9,9.8,1.0
2,2,20,24.8,28.4,30.9,4.4,11.7,1.0
2,3,21,25.8,28.2,30.8,4.1,14.7,1.0
2,3,22,25.8,28.0,31.0,4.1,14.3,1.0
2,3,23,24.6,27.7,30.5,4.2,13.4,1.0
2,3,24,24.5,28.4,31.3,8.0,11.8,1.0
2,3,25,25.0,28.0,31.3,3.6,11.0,1.0
2,3,26,25.2,27.9,30.7,14.7,11.4,1.0
2,3,27,24.9,28.1,31.7,2.3,9.8,1.0
2,3,28,25.8,28.3,31.0,3.2,10.3,1.0
2,3,29,27.0,29.5,32.2,2.4,11.9,1.0
3,1,1,25.2,28.4,31.4,6.5,10.1,1.0
3,1,2,25.6,28.7,32.1,3.5,8.0,1.0
3,1,3,25.7,28.5,31.6,2.5,8.7,1.0
3,1,4,25.4,28.2,31.3,3.7,10.4,1.0
3,1,5,25.1,28.1,31.1,6.6,11.5,1.0
3,1,6,25.4,28.2,31.1,11.9,10.3,1.0
3,1,7,25.4,28.0,30.9,1.3,9.9,1.0
3,1,8,24.7,27.8,30.7,1.2,9.0,1.0
3,1,9,25.1,28.3,31.2,1.0,9.6,1.0
3,1,10,25.3,27.8,31.0,3.6,10.9,1.0
3,2,11,25.0,28.3,31.3,1.5,8.4,0.67
3,2,12,25.2,28.3,31.4,2.1,7.4,1.0
3,2,13,25.0,27.9,32.0,0.6,9.3,1.0
3,2,14,25.4,28.2,31.6,5.6,9.1,0.5
3,2,15,25.3,27.9,31.0,4.2,8.6,0.5
3,2,16,25.1,28.2,31.1,0.9,8.8,1.0
3,2,17,25.1,28.2,31.2,1.9,9.9,1.0
3,2,18,25.1,28.2,31.4,2.0,8.7,1.0
3,2,19,24.9,28.6,31.2,1.0,12.8,1.0
3,2,20,25.0,28.7,31.5,3.6,11.1,1.0
3,3,21,25.9,28.6,31.6,1.5,10.6,1.0
3,3,22,25.5,28.3,31.6,0.6,10.4,1.0
3,3,23,25.1,28.3,31.5,1.8,8.2,0.5
3,3,24,25.2,28.4,31.4,1.2,7.1,1.0
