m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,24.3,27.2,30.9,6.9,31.0,1.0,344.0,indonesië,balikpapan
2,24.4,27.4,31.1,7.6,29.0,0.99,297.0,indonesië,balikpapan
3,24.4,27.4,31.0,7.1,30.0,0.98,344.0,indonesië,balikpapan
4,24.8,27.6,31.2,6.4,30.0,0.98,223.0,indonesië,balikpapan
5,25.0,27.9,30.8,6.2,31.0,0.98,233.0,indonesië,balikpapan
6,24.6,27.5,30.2,6.2,30.0,0.99,170.0,indonesië,balikpapan
7,24.5,27.3,29.8,9.0,31.0,0.99,153.0,indonesië,balikpapan
8,24.8,27.5,30.2,8.2,30.0,0.98,220.0,indonesië,balikpapan
9,25.0,27.8,30.8,7.9,28.0,0.95,132.0,indonesië,balikpapan
10,24.8,28.0,31.1,6.8,31.0,1.0,162.0,indonesië,balikpapan
11,24.5,27.6,31.1,6.0,30.0,1.0,288.0,indonesië,balikpapan
12,24.5,27.6,31.3,6.3,30.0,0.98,275.0,indonesië,balikpapan
1,19.1,22.5,27.9,8.8,30.0,0.97,144.0,indonesië,bandung
2,19.3,22.3,27.2,8.8,28.0,0.97,239.0,indonesië,bandung
3,18.8,22.6,28.1,6.9,30.0,0.95,190.0,indonesië,bandung
4,18.7,22.7,28.1,6.3,29.0,0.97,165.0,indonesië,bandung
5,18.7,23.0,28.5,6.4,29.0,0.94,110.0,indonesië,bandung
6,17.9,22.2,28.0,6.3,26.0,0.87,93.0,indonesië,bandung
7,17.2,22.0,28.0,7.8,20.0,0.65,36.0,indonesië,bandung
8,17.2,22.5,28.9,8.7,20.0,0.64,32.0,indonesië,bandung
9,17.9,22.8,28.9,8.6,22.0,0.73,103.0,indonesië,bandung
10,18.3,23.2,29.4,7.5,26.0,0.84,97.0,indonesië,bandung
11,19.0,22.6,28.3,6.1,29.0,0.95,293.0,indonesië,bandung
12,19.1,22.6,28.0,7.1,30.0,0.97,176.0,indonesië,bandung
1,25.2,28.0,30.8,14.2,30.0,0.96,190.0,indonesië,denpasar
2,25.2,28.3,31.1,11.7,28.0,0.97,171.0,indonesië,denpasar
3,25.3,28.3,31.3,9.0,28.0,0.91,92.0,indonesië,denpasar
4,25.4,28.5,31.1,8.9,28.0,0.93,138.0,indonesië,denpasar
5,25.7,28.0,30.4,11.1,24.0,0.78,51.0,indonesië,denpasar
6,24.9,27.4,29.8,12.5,25.0,0.85,63.0,indonesië,denpasar
7,24.7,26.7,29.1,14.0,26.0,0.85,45.0,indonesië,denpasar
