m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct,country,place
1,1,1,25.2,27.8,31.6,4.6,6.6,1.0,indonesië,balikpapan
1,1,2,24.5,27.0,31.0,9.9,5.8,1.0,indonesië,balikpapan
1,1,3,24.0,26.9,31.0,10.7,6.5,1.0,indonesië,balikpapan
1,1,4,24.0,27.3,30.9,7.8,6.9,1.0,indonesië,balikpapan
1,1,5,24.5,27.6,31.3,14.2,8.0,1.0,indonesië,balikpapan
1,1,6,24.4,27.6,30.8,7.4,6.8,1.0,indonesië,balikpapan
1,1,7,24.7,27.5,30.7,16.5,6.4,1.0,indonesië,balikpapan
1,1,8,24.4,27.0,29.6,5.4,6.6,1.0,indonesië,balikpapan
1,1,9,24.2,27.3,31.2,12.8,7.3,1.0,indonesië,balikpapan
1,1,10,24.4,27.5,31.2,7.7,5.2,1.0,indonesië,balikpapan
1,2,11,24.2,27.4,31.5,18.4,6.5,1.0,indonesië,balikpapan
1,2,12,24.3,26.9,30.8,17.0,6.9,1.0,indonesië,balikpapan
1,2,13,24.6,26.9,30.0,10.1,6.6,1.0,indonesië,balikpapan
1,2,14,24.5,26.7,31.2,8.4,7.5,1.0,indonesië,balikpapan
1,2,15,24.3,26.8,30.2,13.3,7.1,1.0,indonesië,balikpapan
1,2,16,24.4,27.1,31.6,8.8,7.8,1.0,indonesië,balikpapan
1,2,17,24.1,27.4,31.3,3.6,8.2,1.0,indonesië,balikpapan
1,2,18,24.8,27.9,31.9,7.8,8.9,1.0,indonesië,balikpapan
1,2,19,24.4,27.7,31.0,12.0,6.0,1.0,indonesië,balikpapan
1,2,20,24.0,27.4,30.7,5.6,6.8,1.0,indonesië,balikpapan
1,3,21,24.3,26.9,30.7,13.0,6.1,1.0,indonesië,balikpapan
1,3,22,23.7,26.9,30.6,10.0,8.9,1.0,indonesië,balikpapan
1,3,23,23.9,27.0,30.5,21.0,5.9,1.0,indonesië,balikpapan
1,3,24,23.8,27.1,30.7,13.7,6.0,1.0,indonesië,balikpapan
1,3,25,24.5,27.2,30.6,12.5,7.5,1.0,indonesië,balikpapan
1,3,26,23.8,27.0,29.8,12.7,8.2,1.0,indonesië,balikpapan
1,3,27,25.0,27.2,30.9,11.1,7.3,1.0,indonesië,balikpapan
1,3,28,24.1,27.4,31.1,18.8,7.1,1.0,indonesië,balikpapan
1,3,29,24.0,27.1,30.1,8.5,8.1,1.0,indonesië,balikpapan
1,3,30,24.3,27.2,31.0,5.1,6.9,1.0,indonesië,balikpapan
1,3,31,24.2,26.9,30.4,15.3,6.9,1.0,indonesië,balikpapan
2,1,1,24.1,27.1,30.5,11.2,7.2,1.0,indonesië,balikpapan
2,1,2,24.4,27.6,31.1,5.3,6.7,1.0,indonesië,balikpapan
2,1,3,24.5,27.1,31.3,5.8,6.9,1.0,indonesië,balikpapan
2,1,4,24.1,27.5,31.1,9.9,7.3,1.0,indonesië,balikpapan
2,1,5,24.5,27.4,31.5,13.1,6.9,1.0,indonesië,balikpapan
2,1,6,24.1,27.1,30.0,16.2,7.7,1.0,indonesië,balikpapan
2,1,7,24.0,26.9,30.7,8.6,7.0,1.0,indonesië,balikpapan
2,1,8,24.4,27.3,31.2,5.8,6.8,1.0,indonesië,balikpapan
2,1,9,24.5,27.0,30.0,12.4,7.0,1.0,indonesië,balikpapan
2,1,10,24.4,27.4,31.5,8.5,6.7,1.0,indonesië,balikpapan
2,2,11,24.5,27.8,31.1,21.8,8.6,1.0,indonesië,balikpapan
2,2,12,24.4,27.1,30.2,11.8,7.8,1.0,indonesië,balikpapan
2,2,13,24.4,27.4,31.8,6.4,8.1,1.0,indonesië,balikpapan
2,2,14,24.8,27.8,31.5,3.3,9.8,1.0,indonesië,balikpapan
2,2,15,24.4,27.3,31.0,11.8,7.2,1.0,indonesië,balikpapan
2,2,16,24.1,27.4,31.4,10.9,9.3,1.0,indonesië,balikpapan
2,2,17,24.2,27.2,30.9,13.4,7.1,1.0,indonesië,balikpapan
2,2,18,24.0,26.9,30.1,14.1,8.9,1.0,indonesië,balikpapan
2,2,19,24.3,27.5,31.3,3.7,7.2,1.0,indonesië,balikpapan
2,2,20,24.0,27.1,30.4,9.9,6.5,1.0,indonesië,balikpapan
2,3,21,24.5,27.8,31.9,5.7,9.2,1.0,indonesië,balikpapan
2,3,22,24.0,27.9,31.6,11.2,6.5,1.0,indonesië,balikpapan
2,3,23,24.2,27.2,30.7,19.2,8.1,1.0,indonesië,balikpapan
2,3,24,23.9,27.1,30.7,14.9,9.1,1.0,indonesië,balikpapan
2,3,25,24.6,27.4,30.8,8.2,7.6,1.0,indonesië,balikpapan
2,3,26,24.2,27.5,31.5,15.7,8.6,0.8,indonesië,balikpapan
2,3,27,24.5,27.9,31.1,8.1,8.9,1.0,indonesië,balikpapan
2,3,28,24.9,27.9,31.7,9.5,7.9,1.0,indonesië,balikpapan
2,3,29,25.7,29.3,34.1,0.9,13.0,1.0,indonesië,balikpapan
3,1,1,25.0,27.8,31.7,7.1,8.9,1.0,indonesië,balikpapan
3,1,2,24.8,28.0,31.6,6.4,9.4,1.0,indonesië,balikpapan
3,1,3,24.5,27.7,31.1,13.7,7.2,1.0,indonesië,balikpapan
3,1,4,24.2,27.3,30.8,11.9,7.4,1.0,indonesië,balikpapan
3,1,5,24.8,26.8,29.7,11.4,7.0,1.0,indonesië,balikpapan
3,1,6,24.5,27.5,31.3,13.2,9.1,0.83,indonesië,balikpapan
3,1,7,24.5,27.3,30.6,12.9,8.4,1.0,indonesië,balikpapan
3,1,8,24.5,27.6,31.3,8.0,8.1,1.0,indonesië,balikpapan
3,1,9,24.9,27.6,31.3,15.0,6.7,1.0,indonesië,balikpapan
3,1,10,24.4,27.1,30.1,12.3,6.9,1.0,indonesië,balikpapan
3,2,11,24.0,27.5,31.5,5.7,7.6,0.8,indonesië,balikpapan
3,2,12,24.9,27.7,31.0,20.9,7.0,1.0,indonesië,balikpapan
3,2,13,24.8,27.5,31.0,17.9,7.1,1.0,indonesië,balikpapan
3,2,14,24.1,27.0,30.4,5.2,7.1,1.0,indonesië,balikpapan
3,2,15,24.2,27.6,32.1,1.8,7.7,1.0,indonesië,balikpapan
3,2,16,23.8,27.6,31.1,13.0,6.9,1.0,indonesië,balikpapan
3,2,17,24.6,27.7,31.6,8.9,8.0,0.75,indonesië,balikpapan
3,2,18,24.2,27.6,30.3,8.1,7.1,1.0,indonesië,balikpapan
3,2,19,23.9,28.0,32.0,10.1,6.5,1.0,indonesië,balikpapan
3,2,20,24.2,27.2,30.5,18.8,6.7,1.0,indonesië,balikpapan
3,3,21,23.8,27.1,31.6,10.0,4.9,1.0,indonesië,balikpapan
3,3,22,23.5,26.7,30.0,16.2,6.7,1.0,indonesië,balikpapan
3,3,23,24.1,27.4,30.6,8.3,7.0,1.0,indonesië,balikpapan
3,3,24,24.3,27.4,32.0,2.2,8.3,1.0,indonesië,balikpapan
3,3,25,24.7,27.1,30.1,11.4,9.1,1.0,indonesië,balikpapan
3,3,26,24.5,27.6,31.1,7.2,8.0,1.0,indonesië,balikpapan
3,3,27,24.4,27.0,30.8,29.4,6.5,1.0,indonesië,balikpapan
3,3,28,24.3,26.9,30.7,11.8,5.7,1.0,indonesië,balikpapan
3,3,29,24.8,27.2,31.1,8.1,5.8,1.0,indonesië,balikpapan
3,3,30,24.5,27.1,30.3,6.9,6.2,1.0,indonesië,balikpapan
