m,coco,coco_pct
2,7.0,0.112
7,9.0,0.022
3,17.0,0.06
11,8.0,0.077
6,2.0,0.059
12,2.0,0.043
1,18.0,0.005
1,8.0,0.209
8,1.0,0.093
7,3.0,0.346
4,18.0,0.003
7,17.0,0.048
2,17.0,0.032
5,17.0,0.089
6,3.0,0.305
1,5.0,0.271
2,3.0,0.218
9,8.0,0.028
4,8.0,0.133
3,7.0,0.075
12,17.0,0.059
5,18.0,0.0
2,8.0,0.215
12,8.0,0.125
3,9.0,0.125
12,7.0,0.08
8,18.0,0.004
9,7.0,0.031
1,7.0,0.114
10,2.0,0.102
6,5.0,0.359
12,3.0,0.355
5,3.0,0.3
6,18.0,0.002
1,2.0,0.013
12,1.0,0.016
7,7.0,0.047
12,9.0,0.094
2,9.0,0.135
5,2.0,0.079
4,17.0,0.043
2,1.0,0.009
6,8.0,0.088
8,7.0,0.041
6,9.0,0.018
10,7.0,0.039
8,3.0,0.354
11,2.0,0.079
11,9.0,0.045
8,8.0,0.06
11,3.0,0.47
10,17.0,0.087
5,7.0,0.048
9,9.0,0.008
7,1.0,0.027
2,2.0,0.022
11,5.0,0.111
10,3.0,0.37
9,2.0,0.118
5,9.0,0.011
1,1.0,0.003
4,7.0,0.089
2,5.0,0.25
4,3.0,0.33
5,5.0,0.372
7,8.0,0.073
3,18.0,0.002
9,18.0,0.001
4,2.0,0.022
7,5.0,0.373
9,1.0,0.114
11,17.0,0.09
3,2.0,0.045
1,9.0,0.103
9,17.0,0.084
3,8.0,0.165
10,1.0,0.152
10,18.0,0.003
6,1.0,0.046
3,5.0,0.202
12,18.0,0.003
3,3.0,0.288
10,9.0,0.021
11,1.0,0.064
4,1.0,0.01
8,2.0,0.086
11,7.0,0.056
1,3.0,0.245
3,1.0,0.039
10,8.0,0.043
7,2.0,0.06
6,7.0,0.059
2,18.0,0.006
8,9.0,0.018
6,17.0,0.065
12,5.0,0.226
8,5.0,0.291
5,1.0,0.04
9,3.0,0.382
8,17.0,0.053
1,17.0,0.036
9,5.0,0.233
11,18.0,0.006
10,5.0,0.181
5,8.0,0.061
4,9.0,0.08
4,5.0,0.29
7,18.0,0.003
