m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,19.6,25.2,29.2,6.5,10.0,1.0,84.0
1,2,19.8,25.3,29.1,7.7,10.0,1.0,74.0
1,3,19.7,25.3,28.9,9.1,11.0,0.98,102.0
2,1,19.5,25.0,28.3,9.3,10.0,1.0,106.0
2,2,19.8,25.2,29.5,7.2,10.0,1.0,91.0
2,3,20.0,25.5,29.3,8.0,9.0,1.0,95.0
3,1,20.2,25.9,30.1,5.9,10.0,0.98,99.0
3,2,20.0,25.7,30.4,5.4,10.0,1.0,85.0
3,3,19.6,25.7,30.5,4.8,11.0,1.0,68.0
4,1,19.7,25.6,30.2,5.2,10.0,1.0,66.0
4,2,20.1,25.6,30.5,5.7,10.0,1.0,45.0
4,3,20.4,26.1,30.8,5.8,9.0,0.93,30.0
5,1,20.6,26.0,30.8,6.7,10.0,1.0,20.0
5,2,19.9,25.7,30.4,6.7,9.0,0.87,14.0
5,3,20.0,25.4,30.7,6.1,10.0,0.94,20.0
6,1,19.6,25.4,30.1,5.7,10.0,0.97,29.0
6,2,18.5,25.0,30.2,6.3,8.0,0.8,10.0
6,3,19.3,25.2,30.2,6.7,10.0,0.97,29.0
7,1,19.1,24.9,29.3,6.3,8.0,0.83,32.0
7,2,18.5,24.2,29.5,7.5,7.0,0.7,6.0
7,3,18.1,24.3,29.9,6.5,9.0,0.8,18.0
8,1,18.4,24.5,30.8,6.3,9.0,0.85,16.0
8,2,18.6,24.4,30.3,6.3,9.0,0.88,26.0
8,3,18.7,24.5,31.2,6.9,10.0,0.9,16.0
9,1,19.1,25.1,31.8,6.6,9.0,0.88,15.0
9,2,19.2,25.4,31.7,7.3,10.0,0.98,16.0
9,3,19.5,25.8,32.8,6.4,9.0,0.85,12.0
10,1,20.0,26.0,32.6,6.4,10.0,0.98,18.0
10,2,19.9,26.4,32.7,6.5,9.0,0.93,18.0
10,3,20.2,26.7,33.0,5.8,11.0,0.98,27.0
11,1,20.4,26.6,31.8,5.2,10.0,0.98,38.0
11,2,19.7,26.2,31.5,4.8,10.0,1.0,65.0
11,3,19.6,26.0,31.0,5.3,10.0,1.0,59.0
12,1,20.0,25.9,31.0,5.4,10.0,0.98,72.0
12,2,20.2,26.1,31.0,6.3,10.0,1.0,44.0
12,3,19.7,25.4,29.1,7.4,11.0,0.98,85.0
