m,m3,coco,coco_pct
4,2,8.0,0.119
1,3,5.0,0.215
9,2,8.0,0.043
10,1,8.0,0.037
3,2,17.0,0.058
11,2,17.0,0.105
1,1,1.0,0.01
2,3,7.0,0.093
1,2,9.0,0.075
6,1,1.0,0.044
4,3,3.0,0.302
6,3,2.0,0.061
5,3,3.0,0.29
2,1,7.0,0.142
1,1,18.0,0.007
4,3,8.0,0.113
12,3,17.0,0.047
11,3,18.0,0.011
9,3,9.0,0.004
8,3,2.0,0.066
12,1,7.0,0.076
8,2,17.0,0.029
1,3,7.0,0.116
6,2,9.0,0.003
11,1,17.0,0.097
8,2,5.0,0.254
8,3,9.0,0.004
11,2,8.0,0.076
6,1,9.0,0.025
10,3,5.0,0.098
8,3,17.0,0.074
3,1,18.0,0.006
1,3,18.0,0.004
7,2,8.0,0.053
9,3,18.0,0.003
9,2,17.0,0.067
9,1,18.0,0.001
5,2,5.0,0.313
12,3,5.0,0.265
1,3,9.0,0.139
4,2,3.0,0.323
1,3,3.0,0.27
1,1,2.0,0.026
4,3,5.0,0.348
10,2,17.0,0.083
6,1,3.0,0.24
10,3,17.0,0.1
10,3,18.0,0.004
1,3,17.0,0.01
10,2,1.0,0.093
2,2,9.0,0.117
7,2,9.0,0.004
8,2,2.0,0.083
12,2,3.0,0.43
11,1,18.0,0.006
2,2,1.0,0.004
8,3,18.0,0.005
6,1,8.0,0.129
8,1,9.0,0.012
5,3,9.0,0.008
5,3,17.0,0.1
8,2,3.0,0.34
7,3,5.0,0.3
6,1,17.0,0.067
10,1,2.0,0.108
8,1,18.0,0.001
2,2,8.0,0.194
5,3,2.0,0.085
3,3,3.0,0.403
6,2,7.0,0.05
8,2,1.0,0.114
8,3,5.0,0.355
3,3,9.0,0.081
6,2,18.0,0.0
4,2,17.0,0.054
6,3,5.0,0.324
12,2,7.0,0.081
4,2,1.0,0.013
5,2,18.0,0.0
7,1,1.0,0.012
12,3,8.0,0.182
4,3,18.0,0.002
12,3,1.0,0.006
2,2,2.0,0.017
10,2,7.0,0.036
5,1,9.0,0.013
2,2,17.0,0.029
9,3,2.0,0.133
7,1,3.0,0.279
3,2,5.0,0.138
3,1,1.0,0.039
8,1,7.0,0.042
6,2,8.0,0.049
5,2,17.0,0.069
4,2,9.0,0.069
8,3,3.0,0.359
8,2,9.0,0.04
3,1,2.0,0.042
12,2,18.0,0.0
9,1,1.0,0.074
11,1,9.0,0.026
8,2,8.0,0.081
1,2,7.0,0.132
7,2,18.0,0.0
1,1,5.0,0.271
3,1,3.0,0.24
7,3,18.0,0.008
3,3,8.0,0.104
4,2,18.0,0.002
6,2,1.0,0.046
9,2,7.0,0.033
1,1,9.0,0.092
1,3,1.0,0.0
12,3,18.0,0.004
5,3,5.0,0.341
11,1,5.0,0.086
2,3,8.0,0.188
9,1,5.0,0.286
3,2,9.0,0.169
2,2,7.0,0.101
9,3,5.0,0.211
11,3,1.0,0.028
1,1,3.0,0.267
10,1,9.0,0.039
6,2,17.0,0.057
1,1,8.0,0.162
12,1,1.0,0.018
12,1,2.0,0.043
9,2,1.0,0.128
8,3,8.0,0.05
2,3,2.0,0.034
5,2,8.0,0.042
3,1,8.0,0.161
10,2,3.0,0.399
7,1,18.0,0.001
2,2,3.0,0.219
7,1,5.0,0.421
2,1,9.0,0.178
9,1,7.0,0.043
9,2,5.0,0.203
2,1,17.0,0.029
3,3,5.0,0.205
3,3,18.0,0.0
3,2,1.0,0.062
10,2,8.0,0.047
5,1,2.0,0.038
7,2,1.0,0.044
6,1,7.0,0.06
10,3,8.0,0.045
6,3,1.0,0.047
11,1,3.0,0.435
1,3,8.0,0.237
8,1,17.0,0.053
12,3,7.0,0.083
4,1,8.0,0.169
11,2,3.0,0.447
8,2,7.0,0.051
9,2,2.0,0.096
10,1,7.0,0.05
12,2,5.0,0.2
4,3,7.0,0.069
12,1,8.0,0.097
3,2,2.0,0.061
6,1,2.0,0.042
7,2,7.0,0.032
9,2,9.0,0.018
12,2,17.0,0.072
12,1,18.0,0.004
1,1,17.0,0.072
12,2,2.0,0.058
4,1,1.0,0.0
6,3,9.0,0.026
12,1,5.0,0.208
9,3,7.0,0.017
11,2,1.0,0.058
3,3,7.0,0.076
1,2,2.0,0.006
1,1,7.0,0.093
7,3,9.0,0.025
11,3,5.0,0.128
12,2,8.0,0.092
12,3,9.0,0.145
2,3,17.0,0.039
7,3,8.0,0.067
3,2,3.0,0.208
9,1,2.0,0.124
11,1,7.0,0.064
9,2,18.0,0.0
5,1,7.0,0.058
2,3,18.0,0.006
7,3,2.0,0.079
10,2,18.0,0.0
10,2,2.0,0.1
6,3,7.0,0.065
8,3,7.0,0.032
8,2,18.0,0.007
2,1,1.0,0.006
8,1,5.0,0.257
2,1,8.0,0.258
5,1,17.0,0.096
9,1,3.0,0.357
12,1,3.0,0.407
4,1,17.0,0.021
7,1,2.0,0.044
5,2,2.0,0.115
11,3,9.0,0.054
2,3,1.0,0.019
8,1,8.0,0.049
12,2,9.0,0.044
7,1,9.0,0.037
5,2,9.0,0.013
11,1,8.0,0.056
3,3,17.0,0.078
2,1,18.0,0.006
1,2,18.0,0.006
9,2,3.0,0.413
3,1,7.0,0.08
1,2,5.0,0.333
4,1,7.0,0.119
2,1,2.0,0.018
11,3,3.0,0.528
4,1,2.0,0.002
3,2,7.0,0.067
5,3,1.0,0.057
9,3,17.0,0.099
4,1,18.0,0.004
3,1,9.0,0.128
2,3,5.0,0.228
10,1,17.0,0.078
4,3,9.0,0.05
3,1,5.0,0.262
11,1,2.0,0.124
3,3,2.0,0.034
3,2,8.0,0.235
5,2,1.0,0.046
2,1,5.0,0.207
6,2,2.0,0.074
7,2,17.0,0.042
4,2,7.0,0.079
7,1,7.0,0.065
4,1,9.0,0.121
9,3,3.0,0.376
6,3,17.0,0.072
9,1,17.0,0.087
10,2,9.0,0.014
9,3,1.0,0.14
10,1,1.0,0.136
10,1,3.0,0.319
12,3,3.0,0.239
6,2,3.0,0.358
12,1,17.0,0.059
10,1,5.0,0.226
11,2,9.0,0.056
4,2,2.0,0.021
11,3,2.0,0.029
3,1,17.0,0.042
11,3,17.0,0.068
7,3,1.0,0.024
5,2,7.0,0.031
4,3,2.0,0.044
11,3,8.0,0.1
4,3,17.0,0.054
12,3,2.0,0.029
4,1,3.0,0.365
10,3,2.0,0.098
2,2,18.0,0.006
11,1,1.0,0.107
6,1,5.0,0.392
1,2,17.0,0.028
11,2,2.0,0.083
5,3,7.0,0.053
8,3,1.0,0.056
10,1,18.0,0.006
2,1,3.0,0.157
5,2,3.0,0.373
5,1,18.0,0.0
10,3,1.0,0.221
1,2,3.0,0.197
7,2,5.0,0.404
7,3,17.0,0.062
11,2,7.0,0.051
7,2,2.0,0.056
12,1,9.0,0.087
7,3,3.0,0.389
6,1,18.0,0.002
4,1,5.0,0.2
10,3,3.0,0.39
11,3,7.0,0.054
9,3,8.0,0.017
6,3,8.0,0.085
8,1,2.0,0.11
7,1,8.0,0.099
7,2,3.0,0.365
5,3,18.0,0.0
11,2,18.0,0.003
7,1,17.0,0.04
8,1,3.0,0.364
4,3,1.0,0.019
1,3,2.0,0.009
11,2,5.0,0.119
4,2,5.0,0.321
1,2,1.0,0.0
10,3,9.0,0.01
2,3,9.0,0.108
1,2,8.0,0.224
2,3,3.0,0.285
3,3,1.0,0.019
5,3,8.0,0.066
3,2,18.0,0.002
6,3,18.0,0.003
10,3,7.0,0.033
6,3,3.0,0.317
7,3,7.0,0.045
5,1,3.0,0.24
5,1,8.0,0.075
10,2,5.0,0.228
12,2,1.0,0.024
6,2,5.0,0.363
2,2,5.0,0.313
8,1,1.0,0.112
5,1,1.0,0.015
5,1,5.0,0.467
9,1,8.0,0.026
9,1,9.0,0.001
