m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,20.7,25.9,29.2,13.3,6.2,1.0
1,1,2,20.7,25.9,29.4,11.1,5.6,1.0
1,1,3,20.6,25.7,29.2,10.9,5.3,1.0
1,1,4,20.0,25.9,29.6,5.3,5.8,1.0
1,1,5,19.9,25.7,28.7,7.8,8.0,1.0
1,1,6,20.0,25.9,29.8,7.5,8.3,1.0
1,1,7,20.4,26.2,30.6,3.0,6.3,1.0
1,1,8,20.5,26.2,30.7,5.7,5.9,1.0
1,1,9,20.4,25.9,31.1,14.4,6.0,1.0
1,1,10,21.0,25.9,29.8,4.8,6.1,1.0
1,2,11,20.4,26.1,29.8,3.7,6.9,1.0
1,2,12,20.8,26.3,30.4,4.4,7.1,1.0
1,2,13,20.8,26.2,31.4,2.7,6.8,1.0
1,2,14,20.0,26.2,30.2,3.1,9.2,1.0
1,2,15,20.6,25.9,30.3,5.0,9.2,1.0
1,2,16,19.9,25.5,28.8,8.5,10.4,1.0
1,2,17,20.1,25.8,29.1,10.3,8.8,1.0
1,2,18,20.2,25.8,29.0,15.6,8.2,1.0
1,2,19,20.3,25.5,29.1,9.4,8.3,1.0
1,2,20,20.0,25.4,28.7,11.4,7.1,1.0
1,3,21,19.9,25.6,28.7,6.7,8.1,1.0
1,3,22,20.1,25.4,29.8,13.4,9.7,1.0
1,3,23,20.3,25.6,30.2,3.9,7.9,1.0
1,3,24,20.0,25.5,30.3,5.2,9.5,1.0
1,3,25,20.0,25.5,29.4,14.7,8.3,1.0
1,3,26,20.0,25.7,29.4,22.2,9.8,1.0
1,3,27,19.9,25.5,28.4,10.6,9.9,1.0
1,3,28,19.6,25.5,29.4,4.8,8.1,1.0
1,3,29,20.6,25.6,30.1,5.7,6.7,1.0
1,3,30,20.2,25.5,29.2,2.9,7.6,1.0
1,3,31,20.2,25.3,29.5,5.5,7.0,0.67
2,1,1,19.7,25.1,29.0,7.3,7.3,1.0
2,1,2,20.0,25.6,28.8,4.9,7.0,1.0
2,1,3,20.4,25.6,30.3,8.2,9.1,1.0
2,1,4,19.2,25.0,28.7,11.0,10.1,1.0
2,1,5,19.8,25.0,27.9,23.9,9.3,1.0
2,1,6,19.6,25.1,28.5,9.5,7.8,1.0
2,1,7,19.8,25.1,28.6,16.6,6.4,1.0
2,1,8,19.9,25.4,29.2,12.4,7.2,1.0
2,1,9,19.0,25.5,30.0,8.3,6.2,1.0
2,1,10,18.8,24.8,28.3,5.0,7.7,1.0
2,2,11,19.8,25.2,29.8,16.4,6.9,1.0
2,2,12,19.6,25.1,29.5,13.4,6.9,1.0
2,2,13,19.4,25.1,28.7,10.1,6.7,1.0
2,2,14,20.8,25.5,30.4,6.9,6.0,1.0
2,2,15,19.4,25.3,30.5,7.7,5.5,1.0
2,2,16,19.6,25.2,29.9,8.7,5.7,1.0
2,2,17,19.6,25.6,29.6,11.8,5.5,1.0
2,2,18,20.0,25.5,31.4,5.2,6.1,1.0
2,2,19,20.4,25.9,30.9,4.8,6.3,1.0
2,2,20,20.6,25.4,30.0,4.8,5.3,1.0
2,3,21,20.2,25.4,29.7,5.8,6.7,1.0
2,3,22,19.2,25.1,28.4,7.8,7.5,1.0
2,3,23,19.0,24.8,28.5,15.5,8.1,1.0
2,3,24,19.6,25.1,28.6,13.2,9.4,1.0
2,3,25,19.4,25.5,29.3,11.3,8.9,1.0
2,3,26,18.6,24.3,26.8,14.1,10.5,1.0
2,3,27,18.8,25.0,28.5,6.6,10.3,1.0
2,3,28,19.6,25.3,29.9,7.1,10.8,1.0
2,3,29,21.1,26.7,31.2,7.6,6.4,1.0
3,1,1,19.6,25.2,28.4,8.4,10.5,1.0
3,1,2,19.2,24.8,27.3,10.8,11.7,1.0
3,1,3,19.2,25.5,28.5,14.8,6.7,1.0
3,1,4,19.6,25.8,30.2,15.2,8.4,1.0
3,1,5,20.3,25.6,30.0,9.7,4.5,1.0
3,1,6,19.6,25.7,30.7,7.8,6.0,1.0
3,1,7,20.2,25.9,30.0,8.9,5.6,1.0
3,1,8,19.4,25.6,29.6,8.3,5.2,1.0
3,1,9,20.0,25.5,29.7,10.9,5.7,1.0
3,1,10,19.4,25.4,29.9,5.3,5.9,0.67
3,2,11,19.8,25.7,31.1,2.8,5.4,1.0
3,2,12,21.0,26.3,30.6,2.5,5.2,1.0
3,2,13,20.2,25.7,29.8,12.1,5.4,1.0
3,2,14,19.0,25.3,30.3,13.7,5.4,1.0
3,2,15,19.4,25.2,30.8,3.9,5.3,1.0
3,2,16,20.0,25.7,30.5,4.5,5.7,1.0
3,2,17,20.0,25.6,31.1,18.2,4.7,1.0
3,2,18,19.9,25.5,29.3,12.6,5.1,1.0
3,2,19,18.8,25.6,29.0,4.3,7.5,1.0
3,2,20,20.4,25.8,30.3,6.3,6.0,1.0
3,3,21,19.4,25.7,30.5,5.2,4.8,1.0
3,3,22,19.4,25.7,30.8,5.3,4.6,1.0
3,3,23,19.5,25.7,30.1,5.5,5.2,1.0
3,3,24,19.6,25.9,30.3,6.0,5.3,1.0
3,3,25,20.0,26.1,31.1,3.7,5.0,1.0
3,3,26,19.0,25.6,30.3,5.3,5.0,1.0
3,3,27,19.8,25.5,30.3,8.9,4.6,1.0
3,3,28,19.6,25.3,30.8,7.2,4.4,1.0
3,3,29,20.8,25.9,31.4,5.9,5.0,1.0
3,3,30,19.2,25.6,30.7,2.9,4.6,1.0
3,3,31,19.8,26.1,30.5,11.7,4.6,1.0
4,1,1,19.3,25.6,30.6,12.7,5.2,1.0
4,1,2,19.8,25.8,30.0,4.8,5.1,1.0
4,1,3,19.7,25.3,30.2,2.2,4.8,1.0
4,1,4,19.2,25.4,28.8,8.6,4.7,1.0
4,1,5,19.2,25.3,30.3,8.9,5.8,1.0
4,1,6,19.2,25.5,30.0,6.2,4.7,1.0
4,1,7,19.8,25.8,30.6,4.5,6.4,1.0
4,1,8,19.7,25.9,30.1,4.7,6.5,1.0
4,1,9,20.3,25.6,30.3,3.3,5.3,1.0
4,1,10,19.8,25.0,30.2,10.5,4.7,1.0
4,2,11,19.2,25.4,31.2,0.5,5.8,1.0
4,2,12,19.4,25.5,31.3,1.5,6.7,1.0
4,2,13,20.2,26.0,31.7,3.6,6.5,1.0
4,2,14,20.2,25.6,30.5,2.9,5.6,1.0
