m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,20.1,21.6,20.9,86.3,6.5,0.23
1,1,1,27.5,28.1,27.9,85.0,8.2,0.57
1,1,2,27.9,29.3,28.5,82.5,9.3,0.75
1,1,3,21.8,24.3,22.9,83.5,10.3,0.88
1,1,4,27.6,29.2,28.4,84.0,10.0,0.95
1,1,5,27.6,28.7,28.3,87.0,9.0,0.98
1,1,6,21.2,24.3,22.8,87.3,10.2,1.0
1,1,7,27.3,28.1,27.7,90.0,8.2,0.98
1,1,8,27.1,27.5,27.3,89.8,8.2,0.98
1,1,9,19.9,21.9,20.9,94.3,7.4,0.8
1,1,10,26.1,26.5,26.3,95.0,5.8,0.53
1,1,11,25.5,25.8,25.7,97.3,4.1,0.23
1,1,12,19.3,20.5,19.8,95.0,4.1,0.2
1,1,13,25.0,25.7,25.3,97.5,4.8,0.13
1,1,14,25.3,25.5,25.4,97.5,4.7,0.1
1,1,15,25.1,25.7,25.2,97.5,4.8,0.08
1,1,16,25.3,25.6,25.5,97.8,5.0,0.08
1,1,17,25.3,25.5,25.4,98.0,4.8,0.15
1,1,18,25.2,25.4,25.3,98.0,5.2,0.13
1,1,19,25.1,25.2,25.1,98.0,5.6,0.13
1,1,20,24.9,25.4,25.2,98.3,5.6,0.18
1,1,21,24.8,25.2,25.0,97.8,5.3,0.15
1,1,22,25.0,25.3,25.1,96.8,5.2,0.13
1,1,23,25.6,26.3,25.9,94.8,5.1,0.13
1,2,0,20.0,21.3,20.8,86.3,5.6,0.4
1,2,1,27.3,28.4,27.9,86.0,9.1,0.55
1,2,2,27.5,29.3,28.4,82.3,10.4,0.68
1,2,3,22.5,24.2,23.3,82.0,10.3,0.83
1,2,4,27.4,29.2,28.5,83.3,11.6,0.95
1,2,5,27.4,29.8,28.5,86.5,10.8,0.93
1,2,6,21.6,24.6,23.1,86.0,12.1,0.95
1,2,7,27.1,28.4,27.9,86.8,10.2,0.88
1,2,8,27.2,28.5,27.7,88.0,10.4,0.88
1,2,9,20.2,23.0,21.5,89.0,7.4,0.8
1,2,10,26.1,26.9,26.5,93.8,6.9,0.65
1,2,11,25.6,26.1,25.8,98.0,5.5,0.43
1,2,12,19.6,20.5,20.1,95.0,3.7,0.28
1,2,13,25.0,25.7,25.3,98.5,5.6,0.33
1,2,14,25.2,25.6,25.4,98.5,6.0,0.33
1,2,15,24.7,25.5,25.1,98.5,5.9,0.28
1,2,16,25.3,25.9,25.5,99.0,6.6,0.3
