m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,25.2,27.0,26.2,87.0,3.8,0.27
1,1,25.7,27.6,26.7,84.5,8.9,0.26
1,2,27.0,28.7,27.8,78.5,10.2,0.36
1,3,28.0,30.6,29.1,74.0,8.3,0.57
1,4,28.3,30.5,29.3,72.5,12.6,0.56
1,5,28.4,30.7,29.5,72.0,13.5,0.62
1,6,28.4,31.6,29.9,71.0,13.9,0.75
1,7,28.0,30.6,29.3,73.5,13.9,0.79
1,8,27.6,30.3,28.9,74.5,13.3,0.77
1,9,28.2,30.6,29.3,73.5,11.2,0.76
1,10,26.7,29.4,28.0,79.0,10.9,0.68
1,11,26.0,28.8,27.3,82.5,9.5,0.44
1,12,27.0,29.2,28.0,79.5,4.7,0.34
1,13,25.2,28.1,26.7,86.0,9.6,0.27
1,14,25.0,27.8,26.5,86.0,8.7,0.27
1,15,26.0,28.6,27.3,83.5,4.0,0.22
1,16,24.6,27.4,25.9,88.0,9.2,0.26
1,17,24.2,27.1,25.7,89.0,9.0,0.3
1,18,25.4,27.6,26.5,86.0,3.8,0.26
1,19,23.9,26.6,25.2,91.0,9.2,0.32
1,20,23.7,26.5,25.0,91.0,9.4,0.33
1,21,25.0,26.8,26.0,88.0,2.7,0.32
1,22,23.6,26.3,25.0,92.0,8.3,0.32
1,23,23.6,26.4,25.0,92.0,8.4,0.3
2,0,25.4,26.8,26.1,89.0,2.7,0.42
2,1,25.7,27.4,26.4,86.0,7.4,0.46
2,2,26.8,28.6,27.8,80.0,8.7,0.56
2,3,27.6,30.0,28.9,75.5,8.3,0.63
2,4,28.6,30.0,29.2,74.5,12.1,0.69
2,5,28.4,30.3,29.3,73.5,13.2,0.77
2,6,28.6,31.0,29.9,72.5,12.1,0.82
2,7,28.4,30.1,29.3,74.5,13.7,0.9
2,8,28.1,30.2,29.2,75.0,12.1,0.8
2,9,28.6,30.4,29.5,73.0,11.2,0.7
2,10,26.7,29.4,28.0,79.5,9.8,0.66
2,11,26.1,28.4,27.3,84.0,7.6,0.55
2,12,27.2,29.2,28.1,81.5,3.8,0.41
2,13,25.1,27.9,26.5,88.0,6.3,0.33
2,14,24.8,27.7,26.3,88.0,5.8,0.3
2,15,26.2,28.2,27.2,85.0,2.2,0.33
2,16,24.5,27.2,25.9,89.5,6.1,0.34
2,17,24.3,26.9,25.7,90.5,6.4,0.35
2,18,25.7,27.4,26.6,87.5,0.0,0.45
2,19,24.0,26.5,25.3,92.0,6.9,0.49
2,20,23.8,26.3,25.1,92.0,6.8,0.44
2,21,25.0,26.6,25.9,89.5,0.0,0.43
2,22,23.7,26.1,25.0,92.0,7.4,0.41
2,23,23.5,26.2,24.9,92.0,6.6,0.41
3,0,25.6,27.0,26.5,87.0,2.7,0.11
3,1,26.4,27.9,27.2,83.0,7.1,0.13
3,2,28.0,29.2,28.6,76.5,8.3,0.22
3,3,29.0,31.0,29.9,71.5,7.4,0.35
3,4,29.4,31.0,30.2,70.5,10.4,0.5
3,5,29.6,31.1,30.4,70.0,11.8,0.65
3,6,29.5,31.8,30.6,68.5,13.9,0.72
3,7,28.8,31.1,30.2,72.5,11.9,0.75
3,8,28.2,30.9,29.5,74.0,11.3,0.77
3,9,29.2,31.0,30.1,71.0,11.2,0.76
3,10,27.1,29.8,28.5,78.0,9.5,0.68
