m,coco,coco_pct
7,9.0,0.004
11,17.0,0.031
7,8.0,0.009
6,8.0,0.013
1,8.0,0.136
8,2.0,0.585
12,26.0,0.0
7,2.0,0.572
2,3.0,0.297
6,7.0,0.032
8,18.0,0.001
5,27.0,0.0
10,8.0,0.029
11,27.0,0.011
9,9.0,0.004
5,17.0,0.025
2,2.0,0.196
5,5.0,0.041
9,25.0,0.002
1,27.0,0.0
9,26.0,0.0
8,27.0,0.0
3,9.0,0.033
3,8.0,0.112
11,4.0,0.0
5,26.0,0.0
10,1.0,0.043
1,17.0,0.024
3,26.0,0.0
9,7.0,0.022
6,4.0,0.0
8,3.0,0.276
2,7.0,0.202
7,27.0,0.0
6,5.0,0.047
4,2.0,0.449
11,2.0,0.32
6,1.0,0.057
11,5.0,0.094
6,27.0,0.0
12,27.0,0.001
5,9.0,0.002
3,4.0,0.0
7,7.0,0.014
1,7.0,0.187
12,18.0,0.01
9,1.0,0.057
2,9.0,0.06
10,5.0,0.032
4,26.0,0.0
6,3.0,0.275
2,25.0,0.037
9,17.0,0.025
12,1.0,0.005
7,5.0,0.026
1,25.0,0.022
10,25.0,0.019
3,2.0,0.227
5,25.0,0.013
4,18.0,0.029
5,3.0,0.18
12,5.0,0.05
8,1.0,0.077
11,25.0,0.054
7,17.0,0.03
4,27.0,0.004
5,1.0,0.052
12,25.0,0.054
3,7.0,0.166
4,17.0,0.02
4,3.0,0.184
4,8.0,0.057
12,2.0,0.225
3,18.0,0.034
7,18.0,0.003
4,9.0,0.025
9,18.0,0.008
3,1.0,0.008
8,25.0,0.0
4,7.0,0.092
2,8.0,0.114
6,18.0,0.005
7,4.0,0.0
5,8.0,0.012
10,27.0,0.0
12,4.0,0.0
12,8.0,0.102
2,4.0,0.001
1,9.0,0.062
10,3.0,0.242
2,18.0,0.009
1,26.0,0.0
5,4.0,0.0
11,18.0,0.014
1,1.0,0.002
9,27.0,0.0
8,4.0,0.0
10,26.0,0.0
11,3.0,0.241
1,2.0,0.194
10,9.0,0.013
4,5.0,0.086
9,3.0,0.302
9,2.0,0.538
8,7.0,0.016
8,8.0,0.005
1,3.0,0.323
6,26.0,0.0
1,4.0,0.001
3,17.0,0.029
10,18.0,0.006
1,5.0,0.044
2,5.0,0.061
5,18.0,0.01
10,4.0,0.0
4,1.0,0.012
9,5.0,0.022
3,3.0,0.22
11,26.0,0.0
12,3.0,0.316
12,9.0,0.055
11,9.0,0.029
11,7.0,0.105
3,5.0,0.086
5,7.0,0.033
8,17.0,0.017
1,18.0,0.006
8,5.0,0.022
6,2.0,0.538
8,26.0,0.0
6,25.0,0.001
7,26.0,0.0
6,9.0,0.002
12,7.0,0.152
6,17.0,0.03
12,17.0,0.028
10,17.0,0.031
3,27.0,0.003
2,17.0,0.022
8,9.0,0.0
7,3.0,0.29
2,27.0,0.0
9,8.0,0.018
7,1.0,0.053
10,7.0,0.039
4,25.0,0.042
2,26.0,0.0
11,8.0,0.09
9,4.0,0.001
4,4.0,0.0
5,2.0,0.633
2,1.0,0.001
7,25.0,0.0
3,25.0,0.082
10,2.0,0.546
11,1.0,0.013
